Majority protein IDs,Protein names,Gene names,Correlation C2 vs C6,M score,R score,Hit with current cut-offs,Endosomal
P43897;P43897-2,"Elongation factor Ts, mitochondrial",TSFM,0.925,0.009,-0.948,0.000,
P11498,"Pyruvate carboxylase, mitochondrial",PC,0.954,0.009,-0.901,0.000,
P61006;P61006-2,Ras-related protein Rab-8A,RAB8A,0.760,0.009,-0.583,0.000,
Q7Z2W4;Q7Z2W4-2,Zinc finger CCCH-type antiviral protein 1,ZC3HAV1,0.761,0.009,-0.870,0.000,
Q92974;Q92974-2;Q92974-3,Rho guanine nucleotide exchange factor 2,ARHGEF2,0.792,0.009,-0.628,0.000,
Q9UHQ9,NADH-cytochrome b5 reductase 1,CYB5R1,0.853,0.009,-0.844,0.000,
P43304;P43304-2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",GPD2,0.960,0.009,-0.931,0.000,
P60660-2,Myosin light polypeptide 6,MYL6,0.810,0.009,-0.498,0.000,
P49591,"Serine--tRNA ligase, cytoplasmic",SARS,0.822,0.009,0.409,0.000,
Q14696,LDLR chaperone MESD,MESDC2,0.874,0.008,0.261,0.000,
Q13813,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1,0.915,0.008,0.318,0.000,
P50579;P50579-3,Methionine aminopeptidase 2,METAP2,0.844,0.008,-0.763,0.000,
Q96AC1;Q96AC1-3;Q96AC1-2,Fermitin family homolog 2,FERMT2,0.783,0.008,-0.713,0.000,
P46779;P46779-2;P46779-4;P46779-5,60S ribosomal protein L28,RPL28,0.754,0.008,-0.144,0.000,
P56385,"ATP synthase subunit e, mitochondrial",ATP5I,0.782,0.008,-0.647,0.000,
Q9BZE4;Q9BZE4-2;Q9BZE4-3,Nucleolar GTP-binding protein 1,GTPBP4,0.752,0.008,-0.082,0.000,
P24752,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,0.969,0.008,-0.721,0.000,
P42704,"Leucine-rich PPR motif-containing protein, mitochondrial",LRPPRC,0.986,0.008,-0.956,0.000,
Q15392;Q15392-2,Delta(24)-sterol reductase,DHCR24,0.940,0.008,-0.879,0.000,
Q14CX7;Q14CX7-2,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",NAA25,0.821,0.008,-0.090,0.000,
P82650,"28S ribosomal protein S22, mitochondrial",MRPS22,0.966,0.008,-0.708,0.000,
Q12849;Q12849-5,G-rich sequence factor 1,GRSF1,0.883,0.007,-0.419,0.000,
Q6DD88,Atlastin-3,ATL3,0.888,0.007,-0.316,0.000,
P11142;P11142-2,Heat shock cognate 71 kDa protein,HSPA8,0.935,0.007,-0.125,0.000,
O00425,Insulin-like growth factor 2 mRNA-binding protein 3,IGF2BP3,0.773,0.006,-0.323,0.000,
P13010,X-ray repair cross-complementing protein 5,XRCC5,0.851,0.006,-0.076,0.000,
P30101,Protein disulfide-isomerase A3,PDIA3,0.824,0.006,0.049,0.000,
P37108,Signal recognition particle 14 kDa protein,SRP14,0.769,0.005,0.086,0.000,
P46777,60S ribosomal protein L5,RPL5,0.773,0.005,-0.506,0.000,
P62424,60S ribosomal protein L7a,RPL7A,0.850,0.004,-0.360,0.000,
Q02878,60S ribosomal protein L6,RPL6,0.893,0.004,0.021,0.000,
P38117;P38117-2,Electron transfer flavoprotein subunit beta,ETFB,0.991,0.004,-0.620,0.000,
O94826,Mitochondrial import receptor subunit TOM70,TOMM70A,0.933,0.004,-0.784,0.000,
P09622;P09622-2;P09622-3,"Dihydrolipoyl dehydrogenase, mitochondrial",DLD,0.834,0.004,-0.913,0.000,
O14975;O14975-2,Very long-chain acyl-CoA synthetase,SLC27A2,0.799,0.004,0.150,0.000,
P14866;P14866-2,Heterogeneous nuclear ribonucleoprotein L,HNRNPL,0.886,0.004,-0.557,0.000,
Q14444;Q14444-2,Caprin-1,CAPRIN1,0.762,0.004,-0.373,0.000,
Q9UJZ1;Q9UJZ1-2,"Stomatin-like protein 2, mitochondrial",STOML2,0.900,0.004,-0.924,0.000,
P62495;P62495-2,Eukaryotic peptide chain release factor subunit 1,ETF1,0.873,0.003,-0.412,0.000,
P62917,60S ribosomal protein L8,RPL8,0.784,0.003,-0.259,0.000,
O00571;O00571-2,ATP-dependent RNA helicase DDX3X,DDX3X,0.803,0.003,-0.860,0.000,
Q6PGP7,Tetratricopeptide repeat protein 37,TTC37,0.815,0.003,0.107,0.000,
P23921,Ribonucleoside-diphosphate reductase large subunit,RRM1,0.793,0.003,-0.671,0.000,
Q8NBN7;Q8NBN7-2,Retinol dehydrogenase 13,RDH13,0.824,0.003,-0.579,0.000,
Q9UBX3;Q9UBX3-2,Mitochondrial dicarboxylate carrier,SLC25A10,0.996,0.002,-0.981,0.000,
O95831;O95831-3;O95831-4,"Apoptosis-inducing factor 1, mitochondrial",AIFM1,0.801,0.002,-0.754,0.000,
P62081,40S ribosomal protein S7,RPS7,0.750,0.002,-0.886,0.000,
P50213;P50213-2,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,0.831,0.002,-0.648,0.000,
P35232,Prohibitin,PHB,0.838,0.002,-0.482,0.000,
P39019,40S ribosomal protein S19,RPS19,0.838,0.001,-0.577,0.000,
Q8TDM6;Q8TDM6-4;Q8TDM6-2,Disks large homolog 5,DLG5,0.749,3.260,-0.146,0.000,
P13804;P13804-2,"Electron transfer flavoprotein subunit alpha, mitochondrial",ETFA,0.749,0.041,-0.654,0.000,
Q9H788;Q9H788-2,SH2 domain-containing protein 4A,SH2D4A,0.749,0.218,-0.450,0.000,
P47985;P0C7P4,"Cytochrome b-c1 complex subunit Rieske, mitochondrial;Cytochrome b-c1 complex subunit 11;Putative cytochrome b-c1 complex subunit Rieske-like protein 1",UQCRFS1;UQCRFS1P1,0.748,1.259,-0.228,0.000,
Q9BQE3,Tubulin alpha-1C chain,TUBA1C,0.747,0.496,0.452,0.000,
O75083;O75083-3,WD repeat-containing protein 1,WDR1,0.746,0.041,-0.101,0.000,
O00592;O00592-2,Podocalyxin,PODXL,0.746,0.235,-0.648,0.000,
P52907,F-actin-capping protein subunit alpha-1,CAPZA1,0.746,0.275,0.051,0.000,
Q86UE4,Protein LYRIC,MTDH,0.745,0.017,-0.767,0.000,
Q96KP1,Exocyst complex component 2,EXOC2,0.745,0.431,0.309,0.000,
O75915,PRA1 family protein 3,ARL6IP5,0.745,0.045,-0.747,0.000,
Q9Y3Q3;Q9Y3Q3-2,Transmembrane emp24 domain-containing protein 3,TMED3,0.744,0.466,-0.147,0.000,
P23284,Peptidyl-prolyl cis-trans isomerase B,PPIB,0.744,0.011,0.671,0.000,
Q9BWM7,Sideroflexin-3,SFXN3,0.743,0.013,-0.622,0.000,
Q6P5R6,60S ribosomal protein L22-like 1,RPL22L1,0.743,0.008,-0.346,0.000,
Q8IUD2;Q8IUD2-3;Q8IUD2-2;Q8IUD2-4;Q8IUD2-5,ELKS/Rab6-interacting/CAST family member 1,ERC1,0.742,0.036,-0.575,0.000,
Q6WKZ4;Q6WKZ4-3,Rab11 family-interacting protein 1,RAB11FIP1,0.742,1.444,-0.617,0.000,
O15372,Eukaryotic translation initiation factor 3 subunit H,EIF3H,0.742,0.086,-0.800,0.000,
Q9ULC4;Q9ULC4-3;Q9ULC4-2,Malignant T-cell-amplified sequence 1,MCTS1,0.741,0.285,-0.566,0.000,
Q9HA77,"Probable cysteine--tRNA ligase, mitochondrial",CARS2,0.741,0.638,-0.427,0.000,
Q01130;Q01130-2,Serine/arginine-rich splicing factor 2,SRSF2,0.741,0.370,-0.595,0.000,
Q8N5K1,CDGSH iron-sulfur domain-containing protein 2,CISD2,0.741,0.043,-0.843,0.000,
Q9UJ83;Q9UJ83-2;Q9UJ83-3;Q9UJ83-4,2-hydroxyacyl-CoA lyase 1,HACL1,0.740,0.075,-0.657,0.000,
Q9NZB2;Q9NZB2-6;Q9NZB2-4,Constitutive coactivator of PPAR-gamma-like protein 1,FAM120A,0.740,0.165,-0.404,0.000,
P62847;P62847-2;P62847-3;P62847-4,40S ribosomal protein S24,RPS24,0.740,0.017,-0.335,0.000,
P62258;P62258-2,14-3-3 protein epsilon,YWHAE,0.740,0.046,-0.352,0.000,
P20290;P20290-2,Transcription factor BTF3,BTF3,0.740,0.012,-0.664,0.000,
P15559;P15559-2,NAD(P)H dehydrogenase [quinone] 1,NQO1,0.738,0.457,-0.473,0.000,
Q8NEB9,Phosphatidylinositol 3-kinase catalytic subunit type 3,PIK3C3,0.738,1.348,-0.095,0.000,
Q9Y314,Nitric oxide synthase-interacting protein,NOSIP,0.738,0.434,-0.686,0.000,
Q9NV70;Q9NV70-2,Exocyst complex component 1,EXOC1,0.738,1.736,-0.028,0.000,
Q70UQ0;Q70UQ0-2,Inhibitor of nuclear factor kappa-B kinase-interacting protein,IKBIP,0.737,0.239,0.114,0.000,
Q13445,Transmembrane emp24 domain-containing protein 1,TMED1,0.737,0.160,0.171,0.000,
Q02543,60S ribosomal protein L18a,RPL18A,0.736,0.018,-0.639,0.000,
Q8WWV3;Q8WWV3-2;Q8WWV3-3,"Reticulon-4-interacting protein 1, mitochondrial",RTN4IP1,0.735,0.232,-0.745,0.000,
P63241;P63241-2;Q6IS14,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-1-like,EIF5A;EIF5AL1,0.735,0.358,-0.324,0.000,
Q9BW91;Q9BW91-2,"ADP-ribose pyrophosphatase, mitochondrial",NUDT9,0.735,0.131,-0.330,0.000,
P51114;P51114-3,Fragile X mental retardation syndrome-related protein 1,FXR1,0.734,0.014,-0.111,0.000,
P01116-2;P01116,"GTPase KRas;GTPase KRas, N-terminally processed",KRAS,0.734,1.722,0.105,0.000,
O15400;O15400-2,Syntaxin-7,STX7,0.733,0.833,-0.499,0.000,
Q14232,Translation initiation factor eIF-2B subunit alpha,EIF2B1,0.733,0.204,-0.427,0.000,
Q99715;Q99715-4;Q99715-2,Collagen alpha-1(XII) chain,COL12A1,0.733,0.106,-0.176,0.000,
P45954;P45954-2,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ACADSB,0.732,0.546,-0.557,0.000,
Q96CW5;Q96CW5-2,Gamma-tubulin complex component 3,TUBGCP3,0.731,0.722,-0.488,0.000,
Q8TEM1,Nuclear pore membrane glycoprotein 210,NUP210,0.731,0.503,-0.720,0.000,
Q13057;Q13057-2,Bifunctional coenzyme A synthase;Phosphopantetheine adenylyltransferase;Dephospho-CoA kinase,COASY,0.731,0.017,-0.747,0.000,
Q8NCL4,Polypeptide N-acetylgalactosaminyltransferase 6,GALNT6,0.731,0.429,-0.738,0.000,
O00220,Tumor necrosis factor receptor superfamily member 10A,TNFRSF10A,0.731,1.353,0.228,0.000,
P35613;P35613-2;P35613-4;P35613-3,Basigin,BSG,0.730,0.630,-0.865,0.000,
Q9H2W6,"39S ribosomal protein L46, mitochondrial",MRPL46,0.730,0.050,-0.400,0.000,
P48960;P48960-3;P48960-2,CD97 antigen;CD97 antigen subunit alpha;CD97 antigen subunit beta,CD97,0.730,0.994,0.389,0.000,
P04632,Calpain small subunit 1,CAPNS1,0.730,1.436,0.167,0.000,
Q9BZH6,WD repeat-containing protein 11,WDR11,0.729,0.475,-0.165,0.000,
P0CW18,Serine protease 56,PRSS56,0.729,0.099,-0.313,0.000,
Q9H9P8;Q9H9P8-2,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",L2HGDH,0.729,0.710,-0.748,0.000,
Q96M27;Q96M27-3;Q96M27-2;Q96M27-5,Protein PRRC1,PRRC1,0.729,0.082,0.236,0.000,
P55084;P55084-2,"Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase",HADHB,0.728,0.014,-0.796,0.000,
P20042,Eukaryotic translation initiation factor 2 subunit 2,EIF2S2,0.728,0.031,-0.801,0.000,
Q13596;Q13596-2;Q13596-3,Sorting nexin-1,SNX1,0.728,0.419,0.256,0.000,
Q92600;Q92600-2,Cell differentiation protein RCD1 homolog,RQCD1,0.727,0.111,0.551,0.000,
P18669,Phosphoglycerate mutase 1,PGAM1,0.727,1.657,-0.177,0.000,
P07355;P07355-2;A6NMY6,Annexin A2;Putative annexin A2-like protein,ANXA2;ANXA2P2,0.727,0.087,-0.544,0.000,
Q5VYK3,Proteasome-associated protein ECM29 homolog,ECM29,0.726,0.930,0.128,0.000,
P01891;P16190,"HLA class I histocompatibility antigen, A-68 alpha chain;HLA class I histocompatibility antigen, A-33 alpha chain",HLA-A,0.726,0.353,0.348,0.000,
Q9Y673;Q9Y673-2,Dolichyl-phosphate beta-glucosyltransferase,ALG5,0.726,0.555,0.045,0.000,
P46782,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",RPS5,0.726,0.008,-0.237,0.000,
Q92973;Q92973-2;Q92973-3,Transportin-1,TNPO1,0.726,1.586,-0.181,0.000,
Q9Y2L5;Q9Y2L5-2,Trafficking protein particle complex subunit 8,TRAPPC8,0.725,1.420,-0.321,0.000,
P31948;P31948-2;P31948-3,Stress-induced-phosphoprotein 1,STIP1,0.725,0.577,-0.481,0.000,
Q7Z4H8;Q7Z4H8-2;Q7Z4H8-3,KDEL motif-containing protein 2,KDELC2,0.725,0.040,-0.062,0.000,
O60763;O60763-2,General vesicular transport factor p115,USO1,0.725,0.616,-0.881,0.000,
Q03001,Dystonin,DST,0.724,0.739,-0.835,0.000,
Q14643;Q14643-3;Q14643-6,"Inositol 1,4,5-trisphosphate receptor type 1",ITPR1,0.724,0.011,-0.817,0.000,
P62244,40S ribosomal protein S15a,RPS15A,0.723,0.001,-0.618,0.000,
Q9H3N1,Thioredoxin-related transmembrane protein 1,TMX1,0.723,0.021,-0.266,0.000,
Q12907,Vesicular integral-membrane protein VIP36,LMAN2,0.722,0.044,-0.206,0.000,
P49327,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,0.721,0.276,-0.062,0.000,
O76094,Signal recognition particle subunit SRP72,SRP72,0.721,0.023,0.257,0.000,
Q13190;Q13190-2;Q13190-4;Q13190-3,Syntaxin-5,STX5,0.721,0.160,-0.494,0.000,
P08133;P08133-2,Annexin A6,ANXA6,0.721,4.293,0.195,0.000,
Q9NSD9;Q9NSD9-2,Phenylalanine--tRNA ligase beta subunit,FARSB,0.720,0.014,-0.136,0.000,
Q15056,Eukaryotic translation initiation factor 4H,EIF4H,0.720,0.363,-0.945,0.000,
P35606;P35606-2,Coatomer subunit beta,COPB2,0.719,0.001,-0.773,0.000,
P40938;P40938-2,Replication factor C subunit 3,RFC3,0.719,0.450,0.262,0.000,
Q96F86,Enhancer of mRNA-decapping protein 3,EDC3,0.718,0.034,-0.011,0.000,
P22830;P22830-2,"Ferrochelatase, mitochondrial",FECH,0.718,0.323,-0.642,0.000,
P58107,Epiplakin,EPPK1,0.718,1.469,-0.475,0.000,
Q6IQ22,Ras-related protein Rab-12,RAB12,0.718,0.190,-0.304,0.000,
P47897;P47897-2,Glutamine--tRNA ligase,QARS,0.718,0.097,-0.043,0.000,
P23458,Tyrosine-protein kinase JAK1,JAK1,0.717,0.302,-0.366,0.000,
Q16576;Q16576-2,Histone-binding protein RBBP7,RBBP7,0.716,2.525,0.662,0.000,
Q15233;Q15233-2,Non-POU domain-containing octamer-binding protein,NONO,0.716,0.041,-0.720,0.000,
Q9Y4I1;Q9Y4I1-2;Q9Y4I1-3,Unconventional myosin-Va,MYO5A,0.716,1.292,0.298,0.000,
Q9Y3E5,"Peptidyl-tRNA hydrolase 2, mitochondrial",PTRH2,0.716,0.012,0.784,0.000,
O14828,Secretory carrier-associated membrane protein 3,SCAMP3,0.716,1.008,-0.239,0.000,
P31946;P31946-2,"14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed",YWHAB,0.716,0.085,-0.229,0.000,
Q08752,Peptidyl-prolyl cis-trans isomerase D,PPID,0.716,5.306,-0.504,0.000,
P62750,60S ribosomal protein L23a,RPL23A,0.716,0.737,-0.638,0.000,
Q9H078-2;Q9H078;Q9H078-5;Q9H078-3;Q9H078-4,Caseinolytic peptidase B protein homolog,CLPB,0.714,0.003,-0.461,0.000,
P20338,Ras-related protein Rab-4A,RAB4A,0.714,0.596,-0.231,0.000,
O00471,Exocyst complex component 5,EXOC5,0.714,3.213,-0.664,0.000,
P62701,"40S ribosomal protein S4, X isoform",RPS4X,0.712,0.018,-0.519,0.000,
O95985;O95985-3;O95985-2,DNA topoisomerase 3-beta-1,TOP3B,0.712,1.120,0.397,0.000,
Q9UDY4,DnaJ homolog subfamily B member 4,DNAJB4,0.712,0.812,-0.065,0.000,
O75794,Cell division cycle protein 123 homolog,CDC123,0.712,1.862,0.186,0.000,
Q5SW79;Q5SW79-2;Q5SW79-3,Centrosomal protein of 170 kDa,CEP170,0.711,5.798,0.066,0.000,
O75127,"Pentatricopeptide repeat-containing protein 1, mitochondrial",PTCD1,0.711,0.281,-0.303,0.000,
Q0VDF9,Heat shock 70 kDa protein 14,HSPA14,0.711,0.296,-0.810,0.000,
Q9BSJ8,Extended synaptotagmin-1,ESYT1,0.711,0.008,-0.878,0.000,
P07942,Laminin subunit beta-1,LAMB1,0.711,0.117,-0.378,0.000,
Q99570,Phosphoinositide 3-kinase regulatory subunit 4,PIK3R4,0.710,0.041,-0.159,0.000,
O15020;O15020-2,"Spectrin beta chain, non-erythrocytic 2",SPTBN2,0.710,2.623,-0.319,0.000,
Q69YN2;Q69YN2-3,CWF19-like protein 1,CWF19L1,0.709,0.170,-0.789,0.000,
Q96DH6;Q96DH6-2;Q96DH6-3,RNA-binding protein Musashi homolog 2,MSI2,0.709,0.011,-0.003,0.000,
Q8NHH9;Q8NHH9-5;Q8NHH9-4;Q8NHH9-2;Q8NHH9-3,Atlastin-2,ATL2,0.709,0.270,-0.300,0.000,
Q9UKK9,ADP-sugar pyrophosphatase,NUDT5,0.709,3.072,-0.418,0.000,
Q9H074;Q9H074-2;Q9H074-3,Polyadenylate-binding protein-interacting protein 1,PAIP1,0.708,1.345,0.272,0.000,
P61981,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",YWHAG,0.707,0.041,-0.139,0.000,
O15371;O15371-3;O15371-2,Eukaryotic translation initiation factor 3 subunit D,EIF3D,0.707,0.015,-0.546,0.000,
P21291,Cysteine and glycine-rich protein 1,CSRP1,0.706,0.038,-0.460,0.000,
P52272;P52272-2,Heterogeneous nuclear ribonucleoprotein M,HNRNPM,0.705,0.013,-0.635,0.000,
O00308;O00308-2;O00308-3,NEDD4-like E3 ubiquitin-protein ligase WWP2,WWP2,0.705,2.538,-0.393,0.000,
Q13442,28 kDa heat- and acid-stable phosphoprotein,PDAP1,0.705,0.275,-0.448,0.000,
Q9Y490,Talin-1,TLN1,0.704,0.190,0.001,0.000,
O43395,U4/U6 small nuclear ribonucleoprotein Prp3,PRPF3,0.704,5.994,-0.476,0.000,
P07954-2;P07954,"Fumarate hydratase, mitochondrial",FH,0.704,0.008,-0.840,0.000,
O14818;O14818-2,Proteasome subunit alpha type-7,PSMA7,0.703,0.376,-0.418,0.000,
Q13443;Q13443-2,Disintegrin and metalloproteinase domain-containing protein 9,ADAM9,0.703,0.644,0.487,0.000,
Q96ER9;Q96ER9-2,Coiled-coil domain-containing protein 51,CCDC51,0.703,0.239,-0.335,0.000,
O14964;O14964-2,Hepatocyte growth factor-regulated tyrosine kinase substrate,HGS,0.703,5.528,0.109,0.000,
Q9Y3U8,60S ribosomal protein L36,RPL36,0.703,2.241,-0.340,0.000,
Q12768,WASH complex subunit strumpellin,KIAA0196,0.702,1.562,0.048,0.000,
P26583,High mobility group protein B2,HMGB2,0.702,0.231,-0.759,0.000,
O00178,GTP-binding protein 1,GTPBP1,0.702,0.956,-0.699,0.000,
P50991;P50991-2,T-complex protein 1 subunit delta,CCT4,0.700,0.238,-0.178,0.000,
Q15185;Q15185-4;Q15185-3;Q15185-2,Prostaglandin E synthase 3,PTGES3,0.700,0.324,-0.668,0.000,
Q969G5,Protein kinase C delta-binding protein,PRKCDBP,0.700,0.544,-0.069,0.000,
Q92499;Q92499-3;Q92499-2,ATP-dependent RNA helicase DDX1,DDX1,0.699,0.004,-0.318,0.000,
Q8NC51;Q8NC51-2,Plasminogen activator inhibitor 1 RNA-binding protein,SERBP1,0.699,0.003,-0.377,0.000,
Q8NBL1,Protein O-glucosyltransferase 1,POGLUT1,0.698,0.147,0.185,0.000,
Q15149;Q15149-6;Q15149-7;Q15149-5,Plectin,PLEC,0.697,0.148,0.187,0.000,
P26368;P26368-2,Splicing factor U2AF 65 kDa subunit,U2AF2,0.697,0.015,-0.384,0.000,
Q8TF74;Q8TF74-2,WAS/WASL-interacting protein family member 2,WIPF2,0.697,0.385,-0.278,0.000,
O43396,Thioredoxin-like protein 1,TXNL1,0.697,0.316,-0.233,0.000,
P61586,Transforming protein RhoA,RHOA,0.696,0.014,-0.079,0.000,
Q9Y5A9;Q9Y5A9-2,YTH domain-containing family protein 2,YTHDF2,0.696,0.021,-0.874,0.000,
Q08AM6,Protein VAC14 homolog,VAC14,0.696,0.492,0.189,0.000,
Q9BT78;Q9BT78-2,COP9 signalosome complex subunit 4,COPS4,0.695,2.032,-0.014,0.000,
P55265;P55265-4;P55265-5,Double-stranded RNA-specific adenosine deaminase,ADAR,0.694,0.071,-0.632,0.000,
Q99797,Mitochondrial intermediate peptidase,MIPEP,0.694,45.907,-0.528,0.000,
Q53EZ4;Q53EZ4-2,Centrosomal protein of 55 kDa,CEP55,0.694,3.173,-0.226,0.000,
O94973;O94973-2;O94973-3,AP-2 complex subunit alpha-2,AP2A2,0.694,3.027,-0.240,0.000,
O43752,Syntaxin-6,STX6,0.694,1.831,0.527,0.000,
Q14118,Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan,DAG1,0.694,1.121,-0.234,0.000,
Q9H6T3;Q9H6T3-2;Q9H6T3-3,RNA polymerase II-associated protein 3,RPAP3,0.694,0.278,-0.238,0.000,
P27635,60S ribosomal protein L10,RPL10,0.693,0.008,-0.343,0.000,
Q15365,Poly(rC)-binding protein 1,PCBP1,0.693,0.131,-0.252,0.000,
Q14157-1;Q14157-4,Ubiquitin-associated protein 2-like,UBAP2L,0.693,0.002,0.044,0.000,
P47914,60S ribosomal protein L29,RPL29,0.693,0.245,0.436,0.000,
P57088,Transmembrane protein 33,TMEM33,0.692,0.167,-0.706,0.000,
P51798;P51798-2,H(+)/Cl(-) exchange transporter 7,CLCN7,0.692,0.095,0.349,0.000,
P62191;P62191-2,26S protease regulatory subunit 4,PSMC1,0.691,0.229,0.172,0.000,
P52732,Kinesin-like protein KIF11,KIF11,0.691,0.461,0.053,0.000,
P07237,Protein disulfide-isomerase,P4HB,0.691,0.009,0.947,0.000,
Q969M3;Q969M3-3;Q969M3-2,Protein YIPF5,YIPF5,0.690,0.506,0.324,0.000,
Q8IWB7,WD repeat and FYVE domain-containing protein 1,WDFY1,0.690,1.224,0.662,0.000,
Q9Y6D5,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,ARFGEF2,0.690,7.788,-0.486,0.000,
P52943;P52943-2,Cysteine-rich protein 2,CRIP2,0.689,0.049,-0.693,0.000,
P17342;P17342-2,Atrial natriuretic peptide receptor 3,NPR3,0.689,2.615,-0.107,0.000,
O75153,Clustered mitochondria protein homolog,CLUH,0.689,0.474,-0.671,0.000,
P51397,Death-associated protein 1,DAP,0.689,2.592,-0.169,0.000,
Q07020;Q07020-2,60S ribosomal protein L18,RPL18,0.688,0.084,-0.310,0.000,
Q9P0L0,Vesicle-associated membrane protein-associated protein A,VAPA,0.687,0.014,-0.550,0.000,
Q9NZI8;Q9NZI8-2,Insulin-like growth factor 2 mRNA-binding protein 1,IGF2BP1,0.687,0.009,-0.026,0.000,
Q15293;Q15293-2,Reticulocalbin-1,RCN1,0.687,0.062,0.691,0.000,
P23396;P23396-2,40S ribosomal protein S3,RPS3,0.687,0.004,-0.422,0.000,
P61513,60S ribosomal protein L37a,RPL37A,0.687,0.213,0.234,0.000,
P63010;P63010-2;P63010-3,AP-2 complex subunit beta,AP2B1,0.687,1.236,0.478,0.000,
Q8WX93;Q8WX93-3;Q8WX93-8;Q8WX93-5;Q8WX93-2;Q8WX93-9;Q8WX93-4;Q8WX93-7,Palladin,PALLD,0.686,0.043,-0.761,0.000,
P43353;P43353-2,Aldehyde dehydrogenase family 3 member B1,ALDH3B1,0.686,0.151,-0.798,0.000,
Q16698;Q16698-2,"2,4-dienoyl-CoA reductase, mitochondrial",DECR1,0.686,0.911,-0.608,0.000,
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic,IDH1,0.686,0.450,-0.471,0.000,
P10599;P10599-2,Thioredoxin,TXN,0.685,0.724,-0.581,0.000,
Q9BVQ7;Q9BVQ7-2,Spermatogenesis-associated protein 5-like protein 1,SPATA5L1,0.685,1.939,-0.267,0.000,
P61160;P61160-2,Actin-related protein 2,ACTR2,0.684,0.363,-0.166,0.000,
Q8N6T3;Q8N6T3-5;Q8N6T3-2;Q8N6T3-3,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,0.684,0.612,-0.708,0.000,
P82979,SAP domain-containing ribonucleoprotein,SARNP,0.684,0.365,-0.629,0.000,
Q6P158,Putative ATP-dependent RNA helicase DHX57,DHX57,0.684,0.889,-0.442,0.000,
Q9H3U1-2;Q9H3U1,Protein unc-45 homolog A,UNC45A,0.684,0.247,-0.843,0.000,
Q9BXJ9;Q9BXJ9-4,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",NAA15,0.683,0.053,-0.434,0.000,
Q7Z739,YTH domain-containing family protein 3,YTHDF3,0.682,0.039,-0.448,0.000,
Q14240;Q14240-2,"Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed",EIF4A2,0.682,0.343,-0.561,0.000,
P40818;P40818-2,Ubiquitin carboxyl-terminal hydrolase 8,USP8,0.681,0.162,0.284,0.000,
Q14254,Flotillin-2,FLOT2,0.681,0.104,-0.131,0.000,
Q9BXS5;Q9BXS5-2,AP-1 complex subunit mu-1,AP1M1,0.681,0.606,0.078,0.000,
P08754,Guanine nucleotide-binding protein G(k) subunit alpha,GNAI3,0.680,0.269,-0.278,0.000,
P55072,Transitional endoplasmic reticulum ATPase,VCP,0.680,0.004,-0.752,0.000,
Q8WVX9,Fatty acyl-CoA reductase 1,FAR1,0.680,0.087,-0.361,0.000,
P47813;O14602,"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal",EIF1AX;EIF1AY,0.680,0.019,-0.426,0.000,
P51991-2;P51991,Heterogeneous nuclear ribonucleoprotein A3,HNRNPA3,0.680,0.113,-0.801,0.000,
Q53EL6;Q53EL6-2,Programmed cell death protein 4,PDCD4,0.680,0.092,-0.771,0.000,
P30050;P30050-2,60S ribosomal protein L12,RPL12,0.679,0.017,-0.282,0.000,
P16615;P16615-5;P16615-2;P16615-3;P16615-4,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2,0.678,0.008,-0.489,0.000,
P20810-10;P20810-6;P20810-9;P20810-7;P20810-5;P20810;P20810-8;P20810-4;P20810-2;P20810-3,Calpastatin,CAST,0.678,0.015,0.151,0.000,
P07858,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,0.678,1.513,0.311,0.000,
Q01105-2;Q01105;Q01105-3;Q01105-4;P0DME0,Protein SET;Protein SETSIP,SET;SETSIP,0.677,3.150,-0.667,0.000,
