UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q8CDG3,Deubiquitinating protein VCIP135 GN=Vcpip1 PE=2 SV=1 - [VCIP1_MOUSE],1,1,0.7,0.306,0.021,0.018,0.000,0.032,0.031,0.031,0.240,0.071,0.250
Q8CDI7,Coiled-coil domain-containing protein 150 GN=Ccdc150 PE=2 SV=2 - [CC150_MOUSE],1,1,0.5,0.000,0.007,0.023,0.015,0.031,0.067,0.369,0.251,0.029,0.207
Q8CDM8,Protein FAM160B1 GN=Fam160b1 PE=2 SV=2 - [F16B1_MOUSE],1,1,1.3,0.480,0.186,0.117,0.058,0.026,0.047,0.014,0.017,0.039,0.016
Q8CE96,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 GN=Trmt6 PE=1 SV=1 - [TRM6_MOUSE],1,1,5.8,0.541,0.031,0.059,0.070,0.032,0.072,0.057,0.036,0.050,0.051
Q8CEI1,BolA-like protein 3 GN=Bola3 PE=2 SV=1 - [BOLA3_MOUSE],1,1,6.4,0.000,0.032,0.033,0.021,0.061,0.099,0.289,0.212,0.030,0.222
Q8CF02,Protein FAM25C GN=Fam25c PE=2 SV=1 - [FM25C_MOUSE],1,1,9.0,0.537,0.201,0.113,0.041,0.049,0.000,0.000,0.000,0.000,0.058
Q8CF89,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 GN=Tab1 PE=1 SV=2 - [TAB1_MOUSE],1,1,2.6,0.250,0.460,0.113,0.063,0.000,0.052,0.061,0.000,0.000,0.000
Q8CFI5,"Probable proline--tRNA ligase, mitochondrial GN=Pars2 PE=2 SV=2 - [SYPM_MOUSE]",1,1,2.3,0.016,0.052,0.055,0.000,0.020,0.123,0.397,0.155,0.026,0.155
Q8CFW7-2,Isoform 2 of Coiled-coil and C2 domain-containing protein 2A GN=Cc2d2a - [C2D2A_MOUSE],1,1,0.5,0.000,0.208,0.150,0.054,0.224,0.142,0.039,0.052,0.030,0.102
Q8CG64,Fukutin-related protein GN=Fkrp PE=1 SV=1 - [FKRP_MOUSE],1,1,3.4,0.000,0.063,0.092,0.028,0.136,0.251,0.109,0.173,0.000,0.148
Q8CGB3-2,Isoform 2 of Uveal autoantigen with coiled-coil domains and ankyrin repeats GN=Uaca - [UACA_MOUSE],1,1,1.6,0.000,0.161,0.121,0.080,0.047,0.147,0.151,0.169,0.042,0.082
Q8CGE9,Regulator of G-protein signaling 12 GN=Rgs12 PE=1 SV=2 - [RGS12_MOUSE],1,1,0.8,0.125,0.350,0.191,0.083,0.073,0.082,0.000,0.097,0.000,0.000
Q8CGP6,Histone H2A type 1-H GN=Hist1h2ah PE=1 SV=3 - [H2A1H_MOUSE],1,1,4.7,0.046,0.000,0.007,0.004,0.013,0.039,0.129,0.303,0.221,0.239
Q8CHC4,Synaptojanin-1 GN=Synj1 PE=1 SV=3 - [SYNJ1_MOUSE],1,1,1.9,0.119,0.209,0.150,0.000,0.000,0.000,0.134,0.175,0.000,0.214
Q8CHG5,Protein KIAA0317 GN=Kiaa0317 PE=2 SV=2 - [K0317_MOUSE],1,1,1.5,0.000,0.077,0.069,0.000,0.084,0.210,0.070,0.215,0.000,0.275
Q8CHG7,Rap guanine nucleotide exchange factor 2 GN=Rapgef2 PE=1 SV=2 - [RPGF2_MOUSE],1,1,2.2,0.091,0.427,0.144,0.083,0.113,0.000,0.142,0.000,0.000,0.000
Q8CHX6,Membrane-bound transcription factor site-2 protease GN=Mbtps2 PE=2 SV=1 - [MBTP2_MOUSE],1,1,1.9,0.016,0.020,0.060,0.068,0.131,0.141,0.060,0.242,0.051,0.210
Q8CHZ9,"Transcription termination factor, mitochondrial GN=Mterf PE=2 SV=1 - [MTERF_MOUSE]",1,1,2.4,0.000,0.092,0.062,0.075,0.069,0.161,0.220,0.179,0.030,0.113
Q8CI61,BAG family molecular chaperone regulator 4 GN=Bag4 PE=1 SV=2 - [BAG4_MOUSE],1,1,6.8,0.582,0.152,0.119,0.037,0.036,0.013,0.006,0.008,0.040,0.007
Q8CI75,DIS3-like exonuclease 2 GN=Dis3l2 PE=1 SV=1 - [DI3L2_MOUSE],1,1,1.8,0.432,0.109,0.090,0.023,0.110,0.049,0.025,0.054,0.054,0.055
Q8CIC2,Nucleoporin-like protein 2 GN=Nupl2 PE=2 SV=1 - [NUPL2_MOUSE],1,1,6.4,0.013,0.000,0.000,0.000,0.014,0.028,0.069,0.286,0.239,0.352
Q8CIG0,DEP domain-containing protein 1A GN=Depdc1a PE=1 SV=1 - [DEP1A_MOUSE],1,1,1.0,0.182,0.020,0.082,0.022,0.051,0.186,0.152,0.128,0.048,0.129
Q8CII8,Nesprin-4 GN=Syne4 PE=1 SV=1 - [SYNE4_MOUSE],1,1,2.6,0.405,0.000,0.034,0.000,0.000,0.000,0.058,0.241,0.082,0.181
Q8CIM3,"D-2-hydroxyglutarate dehydrogenase, mitochondrial GN=D2hgdh PE=2 SV=3 - [D2HDH_MOUSE]",1,1,11.4,0.118,0.000,0.000,0.000,0.077,0.000,0.085,0.344,0.076,0.299
Q8CIV2,Membralin GN=ORF61 PE=1 SV=2 - [MBRL_MOUSE],1,1,2.3,0.000,0.088,0.105,0.070,0.196,0.211,0.053,0.148,0.027,0.101
Q8CIV8,Tubulin-specific chaperone E GN=Tbce PE=1 SV=1 - [TBCE_MOUSE],1,1,8.0,0.012,0.027,0.022,0.000,0.040,0.093,0.102,0.320,0.102,0.283
Q8CJ19,Protein-methionine sulfoxide oxidase MICAL3 GN=Mical3 PE=1 SV=2 - [MICA3_MOUSE],1,1,0.4,0.258,0.102,0.000,0.042,0.062,0.065,0.000,0.230,0.133,0.109
Q8CJ61,CKLF-like MARVEL transmembrane domain-containing protein 4 GN=Cmtm4 PE=2 SV=1 - [CKLF4_MOUSE],1,1,21.2,0.000,0.127,0.141,0.110,0.350,0.141,0.056,0.043,0.000,0.032
Q8CJ96,Ras association domain-containing protein 8 GN=Rassf8 PE=1 SV=1 - [RASF8_MOUSE],1,1,1.9,0.060,0.200,0.050,0.049,0.057,0.146,0.057,0.169,0.044,0.169
Q8JZR0,Long-chain-fatty-acid--CoA ligase 5 GN=Acsl5 PE=2 SV=1 - [ACSL5_MOUSE],1,1,1.8,0.000,0.024,0.021,0.038,0.219,0.281,0.142,0.139,0.000,0.136
Q8JZR6-2,Isoform 2 of Electroneutral sodium bicarbonate exchanger 1 GN=Slc4a8 - [S4A8_MOUSE],1,1,2.2,0.000,0.259,0.195,0.104,0.115,0.170,0.085,0.036,0.006,0.030
Q8JZX3-3,Isoform 3 of POC1 centriolar protein homolog A GN=Poc1a - [POC1A_MOUSE],1,1,2.5,0.000,0.055,0.070,0.064,0.065,0.052,0.091,0.303,0.043,0.257
Q8K010,5-oxoprolinase GN=Oplah PE=2 SV=1 - [OPLA_MOUSE],1,1,0.6,0.034,0.024,0.034,0.024,0.081,0.194,0.145,0.196,0.054,0.215
Q8K072,Receptor expression-enhancing protein 4 GN=Reep4 PE=2 SV=1 - [REEP4_MOUSE],1,1,8.6,0.000,0.000,0.056,0.051,0.115,0.062,0.000,0.322,0.000,0.394
Q8K0C9,"GDP-mannose 4,6 dehydratase GN=Gmds PE=2 SV=1 - [GMDS_MOUSE]",1,1,1.6,0.134,0.109,0.066,0.066,0.149,0.185,0.143,0.072,0.032,0.045
Q8K0H1-2,Isoform 2 of Multidrug and toxin extrusion protein 1 GN=Slc47a1 - [S47A1_MOUSE],1,1,3.3,0.000,0.233,0.101,0.081,0.208,0.096,0.066,0.096,0.048,0.071
Q8K199,COX assembly mitochondrial protein 2 homolog GN=Cmc2 PE=2 SV=1 - [COXM2_MOUSE],1,1,12.7,0.005,0.046,0.031,0.025,0.061,0.074,0.138,0.323,0.046,0.250
Q8K1M6,Dynamin-1-like protein GN=Dnm1l PE=1 SV=2 - [DNM1L_MOUSE],1,1,17.3,0.211,0.033,0.027,0.025,0.055,0.069,0.147,0.241,0.000,0.192
Q8K1N4,Spermatogenesis-associated serine-rich protein 2 GN=Spats2 PE=1 SV=1 - [SPAS2_MOUSE],1,1,6.1,0.267,0.119,0.079,0.033,0.043,0.078,0.070,0.072,0.128,0.111
Q8K1Y2,Serine/threonine-protein kinase D3 GN=Prkd3 PE=1 SV=1 - [KPCD3_MOUSE],1,1,1.9,0.000,0.143,0.169,0.149,0.236,0.117,0.000,0.103,0.000,0.083
Q8K212,Phosphofurin acidic cluster sorting protein 1 GN=Pacs1 PE=1 SV=2 - [PACS1_MOUSE],1,1,0.6,0.094,0.050,0.019,0.022,0.022,0.022,0.075,0.374,0.053,0.267
Q8K215,LYR motif-containing protein 4 GN=Lyrm4 PE=2 SV=1 - [LYRM4_MOUSE],1,1,11.0,0.006,0.020,0.014,0.007,0.034,0.069,0.219,0.338,0.020,0.273
Q8K221,Arfaptin-2 GN=Arfip2 PE=2 SV=2 - [ARFP2_MOUSE],1,1,13.5,0.000,0.130,0.165,0.147,0.317,0.169,0.031,0.000,0.000,0.041
Q8K2A1,PTB domain-containing engulfment adapter protein 1 GN=Gulp1 PE=1 SV=1 - [GULP1_MOUSE],1,1,2.3,0.000,0.033,0.039,0.036,0.187,0.297,0.238,0.039,0.037,0.094
Q8K2H2,OTU domain-containing protein 6B GN=Otud6b PE=2 SV=1 - [OTU6B_MOUSE],1,1,6.5,0.322,0.000,0.000,0.000,0.074,0.000,0.049,0.220,0.086,0.249
Q8K2H6,Anaphase-promoting complex subunit 10 GN=Anapc10 PE=2 SV=1 - [APC10_MOUSE],1,1,4.9,0.175,0.074,0.053,0.041,0.036,0.090,0.127,0.078,0.192,0.136
Q8K2I1,Protein farnesyltransferase subunit beta GN=Fntb PE=1 SV=1 - [FNTB_MOUSE],1,1,2.1,0.392,0.224,0.156,0.054,0.051,0.054,0.026,0.016,0.010,0.017
Q8K2T1-2,Isoform 2 of NmrA-like family domain-containing protein 1 GN=Nmral1 - [NMRL1_MOUSE],1,1,2.5,0.527,0.065,0.065,0.033,0.067,0.035,0.031,0.051,0.051,0.075
Q8K2T4,UPF0723 protein C11orf83 homolog PE=2 SV=1 - [CK083_MOUSE],1,1,10.1,0.035,0.036,0.071,0.041,0.078,0.077,0.110,0.263,0.074,0.215
Q8K2V1,Serine/threonine-protein phosphatase 4 regulatory subunit 1 GN=Ppp4r1 PE=2 SV=2 - [PP4R1_MOUSE],1,1,7.3,0.556,0.178,0.131,0.049,0.056,0.031,0.000,0.000,0.000,0.000
Q8K2X3,CST complex subunit STN1 GN=Obfc1 PE=1 SV=2 - [STN1_MOUSE],1,1,7.9,0.407,0.000,0.057,0.000,0.046,0.064,0.000,0.156,0.084,0.187
Q8K305,Kinetochore-associated protein NSL1 homolog GN=Nsl1 PE=2 SV=1 - [NSL1_MOUSE],1,1,6.0,0.000,0.000,0.108,0.000,0.209,0.081,0.000,0.420,0.099,0.083
Q8K353,Cysteine-rich and transmembrane domain-containing protein 1 GN=Cystm1 PE=2 SV=1 - [CYTM1_MOUSE],1,1,9.6,0.362,0.112,0.126,0.126,0.076,0.097,0.037,0.014,0.015,0.035
Q8K3C0,Ribonuclease kappa GN=Rnasek PE=3 SV=1 - [RNK_MOUSE],1,1,9.2,0.000,0.058,0.063,0.248,0.425,0.137,0.000,0.069,0.000,0.000
Q8K3D3-2,Isoform 2 of DNA repair protein SWI5 homolog GN=Swi5 - [SWI5_MOUSE],1,1,9.9,0.723,0.036,0.098,0.016,0.024,0.012,0.012,0.034,0.007,0.039
Q8K3J5-3,Isoform 3 of Zinc finger protein 131 GN=Znf131 - [ZN131_MOUSE],1,1,2.3,0.107,0.000,0.011,0.000,0.012,0.016,0.075,0.285,0.274,0.220
Q8K3J9,G-protein coupled receptor family C group 5 member C GN=Gprc5c PE=2 SV=2 - [GPC5C_MOUSE],1,1,3.0,0.196,0.025,0.073,0.036,0.039,0.046,0.078,0.128,0.222,0.158
Q8K458,Prokineticin receptor 2 GN=Prokr2 PE=2 SV=1 - [PKR2_MOUSE],1,1,2.1,0.000,0.016,0.000,0.000,0.033,0.165,0.206,0.309,0.043,0.228
Q8K4R4,Cytoplasmic phosphatidylinositol transfer protein 1 GN=Pitpnc1 PE=1 SV=1 - [PITC1_MOUSE],1,1,4.5,0.387,0.200,0.101,0.000,0.119,0.057,0.073,0.063,0.000,0.000
Q8N9S3,Activator of 90 kDa heat shock protein ATPase homolog 2 GN=Ahsa2 PE=2 SV=2 - [AHSA2_MOUSE],1,1,3.0,0.244,0.074,0.050,0.068,0.209,0.113,0.064,0.077,0.000,0.102
Q8QZS3,Folliculin GN=Flcn PE=1 SV=1 - [FLCN_MOUSE],1,1,1.9,0.034,0.068,0.080,0.064,0.189,0.204,0.088,0.151,0.000,0.122
Q8QZV7,Protein asunder homolog GN=Asun PE=2 SV=2 - [ASUN_MOUSE],1,1,6.4,0.155,0.012,0.017,0.000,0.011,0.031,0.078,0.164,0.296,0.237
Q8QZX2,HAUS augmin-like complex subunit 3 GN=Haus3 PE=2 SV=1 - [HAUS3_MOUSE],1,1,1.2,0.169,0.140,0.095,0.059,0.048,0.054,0.101,0.116,0.072,0.147
Q8QZZ7,TP53RK-binding protein GN=Tprkb PE=2 SV=1 - [TPRKB_MOUSE],1,1,4.0,0.569,0.118,0.097,0.020,0.031,0.040,0.018,0.036,0.000,0.072
Q8R092,Uncharacterized protein C1orf43 homolog PE=2 SV=1 - [CA043_MOUSE],1,1,5.1,0.000,0.042,0.040,0.037,0.183,0.336,0.166,0.114,0.000,0.082
Q8R0F5,"RNA-binding motif protein, X-linked 2 GN=Rbmx2 PE=1 SV=1 - [RBMX2_MOUSE]",1,1,4.9,0.215,0.000,0.000,0.000,0.000,0.134,0.040,0.145,0.263,0.204
Q8R0H9,ADP-ribosylation factor-binding protein GGA1 GN=Gga1 PE=1 SV=1 - [GGA1_MOUSE],1,1,2.7,0.344,0.127,0.087,0.099,0.236,0.106,0.000,0.000,0.000,0.000
Q8R0J4-2,Isoform 2 of Transmembrane protein 134 GN=Tmem134 - [TM134_MOUSE],1,1,17.8,0.004,0.132,0.155,0.127,0.338,0.129,0.044,0.042,0.004,0.025
Q8R0J7,Vacuolar protein sorting-associated protein 37B GN=Vps37b PE=2 SV=1 - [VP37B_MOUSE],1,1,11.9,0.050,0.280,0.196,0.085,0.088,0.119,0.097,0.033,0.031,0.022
Q8R0S2-2,Isoform 2 of IQ motif and SEC7 domain-containing protein 1 GN=Iqsec1 - [IQEC1_MOUSE],1,1,1.8,0.050,0.398,0.154,0.117,0.111,0.122,0.000,0.047,0.000,0.000
Q8R0W6,NEDD4 family-interacting protein 1 GN=Ndfip1 PE=1 SV=1 - [NFIP1_MOUSE],1,1,5.9,0.028,0.144,0.287,0.104,0.049,0.050,0.088,0.106,0.041,0.103
Q8R173,Palmitoyltransferase ZDHHC3 GN=Zdhhc3 PE=1 SV=1 - [ZDHC3_MOUSE],1,1,5.4,0.000,0.111,0.041,0.036,0.226,0.194,0.035,0.177,0.000,0.180
Q8R1G2,Carboxymethylenebutenolidase homolog GN=Cmbl PE=2 SV=1 - [CMBL_MOUSE],1,1,2.9,0.024,0.042,0.063,0.045,0.175,0.210,0.096,0.176,0.025,0.144
Q8R1J9,Torsin-2A GN=Tor2a PE=2 SV=1 - [TOR2A_MOUSE],1,1,5.0,0.000,0.055,0.073,0.068,0.157,0.128,0.078,0.267,0.000,0.174
Q8R1L4;Q9CQM2,ER lumen protein retaining receptor 3 GN=Kdelr3 PE=2 SV=1 - [ERD23_MOUSE]|ER lumen protein retaining receptor 2 GN=Kdelr2 PE=2 SV=1 - [ERD22_MOUSE],1,1,8.9,0.000,0.164,0.201,0.169,0.263,0.037,0.000,0.067,0.038,0.061
Q8R1N0,Zinc finger protein 830 GN=Znf830 PE=1 SV=1 - [ZN830_MOUSE],1,1,9.9,0.146,0.004,0.013,0.000,0.013,0.011,0.020,0.073,0.133,0.587
Q8R1T4,UDP-N-acetylglucosamine transporter GN=Slc35a3 PE=2 SV=1 - [S35A3_MOUSE],1,1,4.3,0.000,0.000,0.000,0.048,0.071,0.254,0.192,0.246,0.000,0.189
Q8R1V4;Q99KF1,Transmembrane emp24 domain-containing protein 4 GN=Tmed4 PE=2 SV=1 - [TMED4_MOUSE]|Transmembrane emp24 domain-containing protein 9 GN=Tmed9 PE=2 SV=2 - [TMED9_MOUSE],1,1,20.3,0.000,0.071,0.099,0.068,0.266,0.135,0.047,0.152,0.021,0.141
Q8R1Z9,RING finger protein 121 GN=Rnf121 PE=2 SV=1 - [RN121_MOUSE],1,1,2.1,0.068,0.099,0.115,0.061,0.097,0.173,0.107,0.092,0.040,0.148
Q8R2E9,ERO1-like protein beta GN=Ero1lb PE=2 SV=1 - [ERO1B_MOUSE],1,1,2.4,0.000,0.058,0.074,0.054,0.210,0.362,0.104,0.073,0.000,0.066
Q8R2Y9,SOSS complex subunit B1 GN=Nabp2 PE=2 SV=1 - [SOSB1_MOUSE],1,1,3.3,0.325,0.018,0.021,0.012,0.030,0.018,0.039,0.163,0.219,0.155
Q8R349,Cell division cycle protein 16 homolog GN=Cdc16 PE=2 SV=1 - [CDC16_MOUSE],1,1,5.0,0.488,0.000,0.019,0.000,0.016,0.000,0.019,0.173,0.166,0.119
Q8R3I2-3,Isoform 3 of Lysophospholipid acyltransferase 2 GN=Mboat2 - [MBOA2_MOUSE],1,1,2.1,0.037,0.000,0.020,0.028,0.164,0.160,0.042,0.141,0.269,0.138
Q8R3I3,Conserved oligomeric Golgi complex subunit 6 GN=Cog6 PE=2 SV=2 - [COG6_MOUSE],1,1,2.7,0.417,0.098,0.109,0.059,0.069,0.057,0.013,0.057,0.049,0.072
Q8R3P6,von Willebrand factor A domain-containing protein 9 GN=Vwa9 PE=2 SV=1 - [VWA9_MOUSE],1,1,14.2,0.139,0.032,0.035,0.013,0.010,0.030,0.049,0.130,0.379,0.183
Q8R3P7,Clusterin-associated protein 1 GN=Cluap1 PE=1 SV=1 - [CLUA1_MOUSE],1,1,2.4,0.264,0.224,0.065,0.049,0.066,0.055,0.000,0.117,0.060,0.100
Q8R3Q0,Store-operated calcium entry-associated regulatory factor GN=Tmem66 PE=2 SV=2 - [SARAF_MOUSE],1,1,2.1,0.011,0.080,0.094,0.053,0.113,0.276,0.147,0.103,0.032,0.090
Q8R3V5-1,Isoform 1 of Endophilin-B2 GN=Sh3glb2 - [SHLB2_MOUSE],1,1,5.8,0.147,0.077,0.137,0.084,0.293,0.092,0.037,0.056,0.013,0.063
Q8R4H2,Rho guanine nucleotide exchange factor 12 GN=Arhgef12 PE=1 SV=2 - [ARHGC_MOUSE],1,1,1.3,0.061,0.281,0.136,0.080,0.084,0.119,0.065,0.086,0.019,0.069
Q8R502,Leucine-rich repeat-containing protein 8C GN=Lrrc8c PE=1 SV=1 - [LRC8C_MOUSE],1,1,3.1,0.000,0.271,0.290,0.071,0.000,0.243,0.053,0.000,0.000,0.071
Q8R516-2,Isoform 2 of E3 ubiquitin-protein ligase MIB2 GN=Mib2 - [MIB2_MOUSE],1,1,2.5,0.081,0.149,0.089,0.040,0.094,0.079,0.071,0.133,0.140,0.123
Q8R527,Rho-related GTP-binding protein RhoQ GN=Rhoq PE=1 SV=2 - [RHOQ_MOUSE],1,1,6.8,0.000,0.384,0.277,0.105,0.101,0.074,0.059,0.000,0.000,0.000
Q8R5A3,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein GN=Apbb1ip PE=1 SV=2 - [AB1IP_MOUSE],1,1,1.2,0.202,0.213,0.144,0.110,0.130,0.043,0.034,0.086,0.000,0.038
Q8R5C5,Beta-centractin GN=Actr1b PE=1 SV=1 - [ACTY_MOUSE],1,1,13.8,0.092,0.171,0.089,0.000,0.178,0.000,0.094,0.224,0.000,0.153
Q8R5H6;Q8BH43,Wiskott-Aldrich syndrome protein family member 1 GN=Wasf1 PE=1 SV=2 - [WASF1_MOUSE]|Wiskott-Aldrich syndrome protein family member 2 GN=Wasf2 PE=1 SV=1 - [WASF2_MOUSE],1,1,5.7,0.000,0.212,0.164,0.148,0.125,0.278,0.073,0.000,0.000,0.000
Q8VBZ0,Dehydrogenase/reductase SDR family member on chromosome X homolog GN=Dhrsx PE=2 SV=2 - [DHRSX_MOUSE],1,1,4.5,0.000,0.027,0.078,0.082,0.175,0.142,0.102,0.212,0.000,0.182
Q8VC04,Transmembrane protein 106A GN=Tmem106a PE=2 SV=1 - [T106A_MOUSE],1,1,12.3,0.019,0.147,0.157,0.146,0.322,0.101,0.022,0.041,0.016,0.030
Q8VC65,Nurim GN=Nrm PE=2 SV=1 - [NRM_MOUSE],1,1,5.3,0.000,0.027,0.014,0.017,0.035,0.057,0.102,0.261,0.167,0.320
Q8VC85,U6 snRNA-associated Sm-like protein LSm1 GN=Lsm1 PE=2 SV=1 - [LSM1_MOUSE],1,1,12.0,0.170,0.151,0.125,0.000,0.000,0.000,0.000,0.158,0.170,0.226
Q8VC88,Grancalcin GN=Gca PE=2 SV=1 - [GRAN_MOUSE],1,1,3.2,0.431,0.115,0.129,0.067,0.093,0.066,0.024,0.030,0.012,0.033
Q8VC90,Probable palmitoyltransferase ZDHHC12 GN=Zdhhc12 PE=2 SV=1 - [ZDH12_MOUSE],1,1,3.4,0.000,0.085,0.161,0.148,0.338,0.188,0.025,0.028,0.000,0.028
Q8VCD5,Mediator of RNA polymerase II transcription subunit 17 GN=Med17 PE=1 SV=1 - [MED17_MOUSE],1,1,4.5,0.256,0.037,0.065,0.011,0.022,0.044,0.071,0.066,0.260,0.169
Q8VCL2,"Protein SCO2 homolog, mitochondrial GN=Sco2 PE=2 SV=1 - [SCO2_MOUSE]",1,1,3.9,0.055,0.015,0.015,0.008,0.042,0.105,0.185,0.258,0.079,0.238
Q8VCN9,Tubulin-specific chaperone C GN=Tbcc PE=2 SV=1 - [TBCC_MOUSE],1,1,10.0,0.105,0.029,0.058,0.000,0.023,0.032,0.116,0.364,0.000,0.273
Q8VCQ6,Phosphatidylcholine:ceramide cholinephosphotransferase 1 GN=Sgms1 PE=1 SV=2 - [SMS1_MOUSE],1,1,5.0,0.000,0.188,0.433,0.182,0.137,0.031,0.000,0.029,0.000,0.000
Q8VD57,Vesicle transport protein SFT2B GN=Sft2d2 PE=1 SV=1 - [SFT2B_MOUSE],1,1,6.3,0.102,0.086,0.119,0.037,0.240,0.076,0.061,0.105,0.032,0.141
Q8VDI9,"Alpha-1,2-mannosyltransferase ALG9 GN=Alg9 PE=2 SV=1 - [ALG9_MOUSE]",1,1,3.3,0.000,0.075,0.075,0.031,0.092,0.257,0.132,0.138,0.053,0.148
Q8VDN2;Q6PIE5,Sodium/potassium-transporting ATPase subunit alpha-1 GN=Atp1a1 PE=1 SV=1 - [AT1A1_MOUSE]|Sodium/potassium-transporting ATPase subunit alpha-2 GN=Atp1a2 PE=1 SV=1 - [AT1A2_MOUSE],1,1,42.9,0.000,0.090,0.067,0.107,0.196,0.257,0.182,0.057,0.008,0.037
Q8VDN2;Q9Z1W8;Q6PIC6;Q6PIE5;Q9WV27,Sodium/potassium-transporting ATPase subunit alpha-1 GN=Atp1a1 PE=1 SV=1 - [AT1A1_MOUSE]|Potassium-transporting ATPase alpha chain 2 GN=Atp12a PE=1 SV=3 - [AT12A_MOUSE]|Sodium/potassium-transporting ATPase subunit alpha-3 GN=Atp1a3 PE=1 SV=1 - [AT1A3_MOUSE]|Sodium/potassium-transporting ATPase subunit alpha-2 GN=Atp1a2 PE=1 SV=1 - [AT1A2_MOUSE]|Sodium/potassium-transporting ATPase subunit alpha-4 GN=Atp1a4 PE=1 SV=3 - [AT1A4_MOUSE],1,1,42.9,0.000,0.301,0.218,0.115,0.172,0.094,0.045,0.032,0.000,0.024
Q8VDQ8-2,Isoform 2 of NAD-dependent protein deacetylase sirtuin-2 GN=Sirt2 - [SIR2_MOUSE],1,1,3.7,0.324,0.149,0.324,0.000,0.069,0.071,0.000,0.000,0.000,0.064
Q8VDV8,MIT domain-containing protein 1 GN=Mitd1 PE=1 SV=1 - [MITD1_MOUSE],1,1,3.6,0.190,0.123,0.112,0.053,0.093,0.085,0.045,0.080,0.129,0.089
Q8VE19,WD repeat-containing protein mio GN=Mios PE=2 SV=2 - [MIO_MOUSE],1,1,1.0,0.096,0.196,0.166,0.122,0.129,0.103,0.023,0.049,0.080,0.036
Q8VE65,Transcription initiation factor TFIID subunit 12 GN=Taf12 PE=1 SV=1 - [TAF12_MOUSE],1,1,5.0,0.032,0.000,0.013,0.000,0.018,0.025,0.068,0.323,0.230,0.290
Q8VEF1-2,Isoform 2 of GRAM domain-containing protein 1A GN=Gramd1a - [GRM1A_MOUSE],1,1,1.6,0.008,0.019,0.052,0.050,0.242,0.221,0.073,0.141,0.000,0.193
Q8VEH0,Transmembrane protein 144 GN=Tmem144 PE=2 SV=1 - [TM144_MOUSE],1,1,2.6,0.131,0.053,0.093,0.155,0.345,0.119,0.052,0.031,0.007,0.014
Q8VEH6,COBW domain-containing protein 1 GN=Cbwd1 PE=2 SV=1 - [CBWD1_MOUSE],1,1,17.3,0.444,0.184,0.170,0.045,0.032,0.024,0.035,0.024,0.023,0.020
Q8VHH5,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 GN=Agap3 PE=1 SV=1 - [AGAP3_MOUSE]",1,1,1.3,0.129,0.320,0.094,0.076,0.088,0.000,0.079,0.088,0.000,0.124
Q8VHI6,Wiskott-Aldrich syndrome protein family member 3 GN=Wasf3 PE=2 SV=1 - [WASF3_MOUSE],1,1,5.0,0.014,0.436,0.225,0.114,0.062,0.075,0.049,0.011,0.000,0.013
Q8VHN8,Protein syndesmos GN=Nudt16l1 PE=1 SV=2 - [SDOS_MOUSE],1,1,13.3,0.180,0.059,0.057,0.021,0.037,0.047,0.066,0.066,0.365,0.103
Q8VI63,MOB kinase activator 2 GN=Mob2 PE=2 SV=1 - [MOB2_MOUSE],1,1,3.0,0.200,0.075,0.081,0.028,0.055,0.053,0.065,0.110,0.176,0.157
Q91V17,E3 ubiquitin-protein ligase ZNRF1 GN=Znrf1 PE=1 SV=1 - [ZNRF1_MOUSE],1,1,6.2,0.055,0.235,0.189,0.121,0.124,0.072,0.091,0.026,0.028,0.058
Q91V64,Isochorismatase domain-containing protein 1 GN=Isoc1 PE=2 SV=1 - [ISOC1_MOUSE],1,1,4.7,0.446,0.208,0.146,0.064,0.045,0.040,0.022,0.019,0.000,0.009
Q91V76,Ester hydrolase C11orf54 homolog PE=2 SV=1 - [CK054_MOUSE],1,1,3.2,0.499,0.200,0.133,0.022,0.073,0.043,0.000,0.014,0.000,0.016
Q91V83,TELO2-interacting protein 1 homolog GN=Tti1 PE=1 SV=2 - [TTI1_MOUSE],1,1,1.3,0.184,0.054,0.000,0.000,0.000,0.055,0.046,0.304,0.047,0.309
Q91VC7,Protein phosphatase 1 regulatory subunit 14A GN=Ppp1r14a PE=2 SV=1 - [PP14A_MOUSE],1,1,7.5,0.226,0.017,0.046,0.026,0.023,0.054,0.082,0.228,0.085,0.211
Q91VJ1,Interferon-inducible protein AIM2 GN=Aim2 PE=1 SV=2 - [AIM2_MOUSE],1,1,5.6,0.048,0.039,0.030,0.000,0.029,0.000,0.041,0.411,0.072,0.329
Q91VL8,Telomeric repeat-binding factor 2-interacting protein 1 GN=Terf2ip PE=1 SV=1 - [TE2IP_MOUSE],1,1,3.6,0.045,0.000,0.000,0.000,0.000,0.026,0.117,0.177,0.390,0.246
Q91VU1,Protein YIPF1 GN=Yipf1 PE=2 SV=1 - [YIPF1_MOUSE],1,1,10.1,0.003,0.058,0.115,0.133,0.358,0.219,0.050,0.038,0.003,0.023
