IPI accession no.,Protein name, MascotScore.1 , NbPeptides.1,NbQuantAC.1,NbQuantBD.1,AC114.1,AC115.1,AC116.1,AC117.1,BD114.1,BD115.1,BD116.1,BD117.1, MascotScore.2 , NbPeptides.2,NbQuantAC.2,NbQuantBD.2,AC114.2,AC115.2,AC116.2,AC117.2,BD114.2,BD115.2,BD116.2,BD117.2
IPI00599473.2,"Similar to Solute carrier family 35, member B2",289.98,5,13,5,0.108,0.402,0.302,0.188,0.182,0.375,0.179,0.265,252.56,5,9,1,0.240,0.476,0.161,0.122,0.166,0.275,0.338,0.221
IPI00599670.3,Similar to Def-6 protein,118.1,3,5,1,0.432,0.198,0.239,0.131,0.363,0.193,0.215,0.228,48.66,1,2,1,0.347,0.250,0.230,0.174,0.170,0.152,0.319,0.359
IPI00599713.1,Hypothetical protein,49.74,1,3,4,0.518,0.211,0.152,0.119,0.336,0.181,0.216,0.268,80.72,2,6,5,0.375,0.215,0.203,0.208,0.293,0.175,0.270,0.262
IPI00599833.2,Similar to Dihydrolipoamide S-acetyltransferase,277.15,6,19,6,0.059,0.077,0.099,0.765,0.196,0.155,0.192,0.457,284.9,6,30,6,0.115,0.190,0.068,0.626,0.096,0.102,0.378,0.424
IPI00599862.2,Similar to Rpl23a protein,334.34,6,13,28,0.183,0.168,0.286,0.363,0.159,0.164,0.236,0.441,337.75,6,38,30,0.243,0.427,0.112,0.217,0.162,0.137,0.343,0.358
IPI00599883.2,Similar to chaperonin-containing TCP-1 complex gamma chain,375.02,7,30,36,0.201,0.145,0.172,0.482,0.243,0.173,0.228,0.357,316.79,7,45,28,0.227,0.309,0.122,0.342,0.157,0.115,0.358,0.370
IPI00599898.2,"Similar to Chain D, Crystal Structure Of Arp23 COMPLEX",222.7,5,4,10,0.349,0.185,0.226,0.242,0.271,0.208,0.243,0.279,224.54,5,23,9,0.408,0.230,0.157,0.204,0.258,0.154,0.288,0.300
IPI00599973.2,Similar to Motile sperm domain containing 2,252.58,4,16,11,0.103,0.176,0.281,0.440,0.189,0.184,0.243,0.385,173.17,4,4,4,0.254,0.282,0.214,0.251,0.089,0.147,0.418,0.346
IPI00600003.1,Cathepsin D precursor,307.13,6,13,16,0.135,0.386,0.334,0.145,0.136,0.242,0.324,0.298,229.13,5,9,9,0.215,0.351,0.228,0.206,0.118,0.154,0.332,0.396
IPI00600094.1,Hypothetical protein,172.18,4,2,7,0.180,0.160,0.334,0.326,0.160,0.276,0.246,0.317,294.39,6,12,7,0.239,0.247,0.218,0.297,0.115,0.223,0.343,0.318
IPI00600106.4,Bifunctional purine biosynthesis protein PURH,1454.42,24,45,73,0.129,0.103,0.487,0.281,0.142,0.313,0.287,0.258,1131.59,20,59,60,0.199,0.288,0.223,0.290,0.111,0.192,0.379,0.318
IPI00600115.3,"Hypothetical protein, partial",390.47,8,16,18,0.160,0.172,0.445,0.223,0.168,0.328,0.259,0.245,146.14,3,21,14,0.169,0.222,0.388,0.221,0.104,0.228,0.363,0.305
IPI00600129.3,Similar to ribosomal protein S28,297.79,5,16,40,0.204,0.213,0.293,0.290,0.189,0.164,0.230,0.418,230.51,4,38,14,0.241,0.388,0.104,0.267,0.192,0.166,0.324,0.318
IPI00600134.1,Signal peptidase complex subunit 3,253.8,4,15,46,0.054,0.119,0.259,0.569,0.098,0.142,0.282,0.477,127.23,3,20,1,0.212,0.237,0.255,0.296,0.115,0.116,0.369,0.400
IPI00600161.1,Hypothetical protein,85.15,2,1,4,0.168,0.170,0.368,0.295,0.148,0.307,0.274,0.272,81.28,2,3,3,0.148,0.226,0.345,0.281,0.124,0.227,0.336,0.313
IPI00600181.1,"Ras homolog gene family, member G ",309.04,5,23,58,0.315,0.243,0.170,0.272,0.444,0.171,0.164,0.221,382.99,7,40,20,0.481,0.262,0.137,0.120,0.302,0.161,0.284,0.253
IPI00600251.2,Similar to aflatoxin aldehyde reductase,288.22,5,3,4,0.106,0.124,0.481,0.290,0.138,0.272,0.293,0.297,129.49,2,5,3,0.175,0.178,0.366,0.281,0.124,0.214,0.334,0.329
IPI00600301.1,6-phosphogluconolactonase,374.33,6,13,28,0.139,0.298,0.422,0.141,0.146,0.406,0.234,0.214,286.5,5,18,14,0.228,0.370,0.231,0.171,0.135,0.263,0.328,0.274
IPI00600471.1,Coatomer subunit delta,655.69,12,29,30,0.135,0.129,0.283,0.453,0.159,0.175,0.280,0.387,395.75,8,25,21,0.176,0.207,0.199,0.418,0.123,0.133,0.367,0.378
IPI00600474.4,Similar to Intersectin-2,435.39,9,12,12,0.385,0.216,0.233,0.167,0.330,0.214,0.218,0.238,84.62,2,9,6,0.362,0.217,0.225,0.196,0.210,0.169,0.318,0.303
IPI00600488.3,Similar to erythrocyte membrane protein band 4.1,851.67,17,29,31,0.459,0.217,0.182,0.142,0.516,0.148,0.162,0.173,364.99,8,22,9,0.411,0.292,0.127,0.170,0.415,0.139,0.220,0.227
IPI00600515.1,G protein-coupled receptor 107,314.28,6,31,10,0.107,0.446,0.233,0.213,0.240,0.395,0.184,0.181,199.17,4,7,6,0.263,0.427,0.217,0.092,0.155,0.274,0.374,0.197
IPI00600529.2,Similar to v-fos transformation effector protein isoform 1,672.48,14,59,86,0.169,0.162,0.247,0.421,0.188,0.180,0.230,0.402,537.23,12,95,59,0.250,0.409,0.112,0.228,0.157,0.127,0.386,0.330
IPI00600541.1,Eukaryotic translation elongation factor 1,351.69,6,39,26,0.157,0.121,0.173,0.549,0.265,0.167,0.232,0.336,330.8,6,53,24,0.199,0.350,0.093,0.358,0.191,0.090,0.418,0.301
IPI00600556.3,Similar to plexin A2,417.81,9,23,47,0.361,0.241,0.165,0.232,0.467,0.180,0.142,0.211,237.39,5,15,4,0.490,0.276,0.083,0.151,0.360,0.145,0.278,0.218
IPI00600697.1,Dynactin-1,144.79,3,7,1,0.283,0.223,0.159,0.335,0.162,0.143,0.144,0.552,126.59,3,4,1,0.306,0.297,0.098,0.299,0.072,0.234,0.348,0.345
IPI00600709.1,Protein DJ-1,461.09,8,29,52,0.148,0.266,0.418,0.168,0.142,0.372,0.249,0.237,392.12,8,41,28,0.210,0.336,0.215,0.239,0.116,0.260,0.337,0.286
IPI00600745.3,Similar to golgi antigen gcp372,409.83,9,5,17,0.179,0.330,0.299,0.191,0.151,0.362,0.218,0.269,137.41,3,3,5,0.232,0.366,0.201,0.200,0.154,0.148,0.356,0.343
IPI00600766.1,Programmed cell death 5,373.18,6,19,55,0.136,0.276,0.400,0.188,0.173,0.343,0.246,0.238,400.55,8,24,22,0.265,0.333,0.192,0.211,0.153,0.237,0.304,0.306
IPI00600795.2,Similar to hephaestin,255.64,6,10,17,0.368,0.246,0.198,0.188,0.419,0.197,0.159,0.225,239.49,6,16,3,0.519,0.255,0.107,0.119,0.446,0.128,0.208,0.218
IPI00600808.1,Ras-related protein Rab-5C,495.55,8,5,20,0.138,0.194,0.188,0.480,0.268,0.214,0.225,0.292,236.91,4,1,2,0.292,0.348,0.215,0.145,0.224,0.191,0.306,0.280
IPI00600814.2,Hypothetical protein,1406.94,26,78,99,0.343,0.249,0.233,0.175,0.354,0.248,0.193,0.205,1789.64,32,126,60,0.445,0.298,0.127,0.130,0.240,0.202,0.304,0.253
IPI00600823.1,Proteasome subunit alpha type 7,347.29,6,22,10,0.153,0.133,0.165,0.549,0.287,0.212,0.223,0.279,368.13,7,25,17,0.201,0.329,0.102,0.369,0.168,0.164,0.344,0.324
IPI00600849.2,60S ribosomal protein L5,530.31,10,44,53,0.127,0.122,0.329,0.422,0.141,0.237,0.264,0.358,421.97,9,56,37,0.241,0.372,0.166,0.221,0.125,0.118,0.441,0.316
IPI00600865.1,STIP1 homology and U box-containing protein 1,359.01,7,10,10,0.480,0.232,0.159,0.129,0.482,0.145,0.180,0.192,228.13,5,10,3,0.506,0.248,0.107,0.139,0.359,0.117,0.262,0.262
IPI00600901.1,Peptidyl-tRNA hydrolase 2,435.88,6,19,10,0.062,0.103,0.143,0.692,0.132,0.126,0.211,0.531,197.44,3,7,6,0.144,0.207,0.107,0.542,0.092,0.115,0.415,0.378
IPI00600942.1,Hypothetical protein,191.8,4,5,7,0.068,0.155,0.227,0.550,0.142,0.161,0.269,0.428,158.15,4,3,13,0.212,0.245,0.235,0.308,0.106,0.107,0.393,0.393
IPI00600960.2,Similar to S-adenosylhomocysteine hydrolase,761.35,13,44,55,0.137,0.116,0.351,0.397,0.152,0.189,0.342,0.316,759.3,14,85,97,0.208,0.308,0.175,0.309,0.129,0.125,0.408,0.338
IPI00601017.1,Similar to KIAA0107,189.46,4,13,4,0.132,0.107,0.142,0.619,0.233,0.191,0.277,0.300,259.9,6,10,5,0.188,0.251,0.154,0.407,0.151,0.150,0.341,0.358
IPI00601033.2,L-lactate dehydrogenase B chain,560.9,10,54,142,0.121,0.109,0.428,0.342,0.127,0.283,0.312,0.278,581.16,10,98,120,0.233,0.356,0.143,0.268,0.118,0.158,0.393,0.330
IPI00601052.1,Exonuclease NEF-sp ,136.6,3,3,2,0.150,0.187,0.321,0.342,0.185,0.280,0.270,0.265,80.09,2,3,3,0.177,0.254,0.253,0.317,0.174,0.166,0.328,0.333
IPI00601063.1,"Apoptosis-inducing factor 1, mitochondrial precursor (Programmed cell death protein 8).",457.67,8,16,5,0.061,0.080,0.112,0.747,0.113,0.197,0.201,0.489,556.94,11,16,9,0.121,0.173,0.063,0.644,0.118,0.112,0.368,0.403
IPI00601097.1,SH3-domain kinase binding protein 1,249.77,5,10,15,0.335,0.215,0.196,0.255,0.285,0.185,0.216,0.314,288.08,6,21,7,0.430,0.283,0.114,0.174,0.227,0.146,0.328,0.300
IPI00601102.3,Similar to p21-activated kinase 3,183.24,4,5,9,0.248,0.232,0.331,0.189,0.236,0.294,0.235,0.235,161.95,3,15,11,0.285,0.309,0.184,0.222,0.165,0.205,0.321,0.310
IPI00601104.3,"Similar to Eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa",156.73,3,8,6,0.210,0.199,0.209,0.383,0.217,0.200,0.250,0.333,105.29,2,10,6,0.228,0.354,0.175,0.242,0.153,0.168,0.366,0.314
IPI00601137.1,SMC1 protein cohesin subunit,80.68,2,2,1,0.275,0.184,0.254,0.288,0.232,0.255,0.275,0.238,50.46,1,3,1,0.144,0.188,0.188,0.480,0.227,0.149,0.313,0.311
IPI00601156.1,Mitochondrial Rho GTPase 1,298.5,6,16,3,0.081,0.096,0.114,0.708,0.238,0.190,0.196,0.377,185.98,4,6,1,0.175,0.170,0.073,0.583,0.071,0.161,0.457,0.312
IPI00601185.1,Similar to kinase A anchor protein,949.66,15,40,16,0.045,0.082,0.123,0.750,0.107,0.148,0.232,0.513,685.68,14,29,10,0.176,0.198,0.107,0.518,0.072,0.118,0.373,0.437
IPI00601204.2,Similar to MGC108094 protein,232.72,5,7,20,0.289,0.243,0.313,0.156,0.302,0.245,0.217,0.236,219.27,5,13,10,0.335,0.296,0.171,0.198,0.172,0.235,0.321,0.272
IPI00601244.1,Similar to RAB7 protein,726.61,12,45,128,0.207,0.260,0.254,0.279,0.282,0.231,0.212,0.275,705.34,12,106,47,0.367,0.279,0.177,0.177,0.196,0.181,0.347,0.277
IPI00601344.1,Sec23 homolog B,154.13,3,6,2,0.187,0.204,0.325,0.285,0.209,0.349,0.244,0.199,109.92,2,5,3,0.159,0.189,0.350,0.302,0.153,0.188,0.343,0.316
IPI00601359.2,Similar to mKIAA0870 protein,177.64,4,9,8,0.201,0.213,0.228,0.358,0.257,0.229,0.201,0.312,76.86,2,2,1,0.421,0.332,0.119,0.129,0.208,0.149,0.381,0.263
IPI00601528.2,Cathepsin A,235.64,5,8,23,0.151,0.312,0.325,0.213,0.163,0.216,0.303,0.318,118.91,3,8,8,0.245,0.297,0.202,0.256,0.107,0.131,0.392,0.370
IPI00601538.3,Dihydrolipoyl dehydrogenase,223.28,4,13,1,0.116,0.112,0.164,0.608,0.106,0.188,0.234,0.471,332.52,6,28,6,0.171,0.216,0.101,0.511,0.113,0.125,0.341,0.421
IPI00601542.3,"Zinc finger protein 289, ID1 regulated",333.87,7,8,7,0.169,0.159,0.380,0.292,0.183,0.279,0.257,0.281,203.81,4,4,8,0.213,0.358,0.131,0.299,0.146,0.187,0.346,0.321
IPI00601626.1,Glutamyl-prolyl-tRNA synthetase ,448.35,10,29,10,0.183,0.127,0.158,0.531,0.258,0.195,0.246,0.302,434.35,9,18,3,0.177,0.337,0.129,0.357,0.172,0.137,0.333,0.358
IPI00601711.3,Hypothetical protein,540.36,10,14,22,0.189,0.141,0.302,0.368,0.192,0.212,0.264,0.332,541.54,10,35,17,0.199,0.404,0.109,0.287,0.152,0.140,0.360,0.349
IPI00601716.2,26S proteasome non-ATPase regulatory subunit 13,398.17,8,19,13,0.160,0.113,0.189,0.539,0.232,0.164,0.267,0.337,446.11,10,37,17,0.224,0.304,0.124,0.348,0.159,0.141,0.337,0.362
IPI00601745.3,Hypothetical protein,242.22,4,2,30,0.092,0.109,0.261,0.539,0.102,0.155,0.279,0.464,75.91,2,6,1,0.210,0.275,0.252,0.264,0.132,0.122,0.338,0.408
IPI00601758.3,Similar to N-myristoyltransferase 1,219.98,5,3,4,0.152,0.165,0.398,0.285,0.168,0.246,0.259,0.327,73.86,2,4,1,0.234,0.228,0.287,0.251,0.098,0.115,0.313,0.474
IPI00601777.2,Thioredoxin,322.81,6,44,77,0.174,0.256,0.362,0.209,0.171,0.329,0.242,0.257,298.34,6,53,108,0.230,0.326,0.238,0.207,0.141,0.243,0.331,0.285
IPI00601831.3,Similar to C219-reactive peptide,552.18,12,7,31,0.068,0.129,0.295,0.508,0.146,0.158,0.245,0.450,201.85,5,2,5,0.225,0.246,0.272,0.258,0.108,0.103,0.436,0.352
IPI00601860.3,Similar to splicing factor,365.13,7,9,12,0.164,0.128,0.308,0.400,0.147,0.217,0.273,0.364,56.73,1,4,1,0.137,0.382,0.191,0.290,0.213,0.200,0.294,0.293
IPI00601873.1,Similar to Pyruvate dehydrogenase (lipoamide) beta,141.23,3,5,2,0.122,0.123,0.149,0.605,0.113,0.219,0.273,0.395,116.84,3,11,6,0.188,0.206,0.120,0.485,0.089,0.121,0.324,0.466
IPI00601877.1,Nucleoside diphosphate kinase,425.83,8,68,93,0.134,0.133,0.436,0.297,0.140,0.348,0.263,0.250,435.05,8,81,137,0.224,0.317,0.179,0.280,0.114,0.195,0.391,0.301
IPI00601908.2,Hypothetical protein,295.38,6,9,16,0.142,0.174,0.268,0.416,0.215,0.215,0.235,0.335,231.11,6,4,3,0.331,0.300,0.208,0.162,0.139,0.122,0.406,0.333
IPI00601916.1,Similar to Sord-prov protein,59.6,1,4,3,0.173,0.145,0.405,0.277,0.216,0.257,0.260,0.267,136.81,3,4,7,0.176,0.191,0.368,0.265,0.125,0.167,0.369,0.339
IPI00601926.1,Chronic lymphocytic leukemia deletion region gene 6 protein homolog,80.4,2,8,7,0.261,0.269,0.217,0.252,0.377,0.278,0.177,0.169,89.2,2,8,3,0.369,0.329,0.164,0.138,0.243,0.186,0.326,0.246
IPI00601960.1,Hypothetical protein,385.1,8,22,20,0.146,0.272,0.391,0.192,0.159,0.336,0.241,0.265,303.35,6,22,35,0.169,0.319,0.186,0.326,0.125,0.217,0.345,0.313
IPI00601973.3,88 kDa protein,481.25,10,17,11,0.203,0.126,0.220,0.451,0.218,0.219,0.242,0.321,244.42,6,13,10,0.331,0.309,0.102,0.258,0.188,0.138,0.400,0.275
IPI00602001.1,Complement regulatory membrane protein,379.82,5,18,40,0.319,0.338,0.190,0.153,0.523,0.157,0.135,0.185,368.92,7,17,4,0.550,0.251,0.107,0.093,0.415,0.137,0.262,0.187
IPI00602012.2,Hypothetical protein,132.06,3,5,3,0.124,0.177,0.292,0.408,0.145,0.176,0.297,0.382,87.71,2,2,4,0.299,0.266,0.205,0.231,0.201,0.127,0.320,0.352
IPI00602071.3,"TBC1 domain family, member 24",360.84,7,18,49,0.488,0.196,0.130,0.187,0.536,0.143,0.142,0.178,174.71,4,20,5,0.522,0.265,0.088,0.125,0.505,0.121,0.192,0.182
IPI00602075.3,Similar to KIAA1734 protein,328.58,5,13,6,0.184,0.152,0.421,0.244,0.224,0.293,0.238,0.245,328.91,8,8,9,0.173,0.149,0.386,0.292,0.130,0.195,0.352,0.323
IPI00602204.2,Hypothetical protein,769.61,13,27,51,0.084,0.151,0.290,0.475,0.103,0.162,0.282,0.452,388.02,8,24,13,0.225,0.255,0.288,0.232,0.114,0.124,0.414,0.348
IPI00602214.3,Thioredoxin domain containing 12 (endoplasmic reticulum),192.45,4,14,11,0.159,0.235,0.364,0.242,0.151,0.196,0.270,0.383,168,3,16,14,0.208,0.259,0.280,0.253,0.139,0.171,0.320,0.370
IPI00602224.1,Multifunctional protein ADE2,875.03,17,49,62,0.181,0.174,0.160,0.485,0.283,0.205,0.213,0.300,620.28,12,58,34,0.278,0.294,0.115,0.313,0.222,0.120,0.327,0.331
IPI00602273.3,"ATP-binding cassette, sub-family D (ALD), member 3 ",575.24,11,30,26,0.072,0.124,0.147,0.657,0.118,0.163,0.200,0.520,250.32,5,12,1,0.172,0.246,0.079,0.503,0.265,0.090,0.283,0.362
IPI00602293.1,Flotillin 2,716.11,14,25,65,0.396,0.228,0.169,0.206,0.450,0.181,0.170,0.200,376.63,7,26,8,0.541,0.252,0.098,0.110,0.355,0.146,0.291,0.208
IPI00602342.1,Hypothetical protein,787.56,13,33,22,0.135,0.124,0.164,0.577,0.232,0.194,0.245,0.329,707.34,14,55,31,0.243,0.313,0.120,0.324,0.167,0.138,0.353,0.342
IPI00602355.2,Similar to yeast ribosomal protein S28 homologue,264.31,5,16,31,0.131,0.154,0.247,0.468,0.173,0.184,0.226,0.417,290.02,6,28,12,0.265,0.371,0.132,0.233,0.146,0.109,0.423,0.322
IPI00602465.2,Similar to Sorting and assembly machinery component 50 homolog,523.51,10,28,11,0.051,0.068,0.078,0.802,0.113,0.158,0.232,0.497,234.53,6,18,6,0.099,0.166,0.079,0.657,0.144,0.101,0.352,0.402
IPI00602490.1,Ena/VASP-like protein ,799.67,16,34,42,0.420,0.241,0.176,0.162,0.540,0.145,0.155,0.160,759.88,12,39,30,0.529,0.230,0.108,0.133,0.412,0.096,0.260,0.231
IPI00602540.1,Hematopoietic cell-specific Lyn substrate 1,369.36,7,12,10,0.364,0.202,0.275,0.160,0.321,0.242,0.210,0.229,135.38,3,11,6,0.240,0.256,0.169,0.335,0.260,0.175,0.286,0.279
IPI00602594.2,Destrin,505.03,9,123,156,0.215,0.253,0.300,0.232,0.247,0.304,0.215,0.233,653.4,13,167,167,0.351,0.313,0.168,0.168,0.199,0.202,0.332,0.267
IPI00602654.2,Similar to Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,483.14,8,40,140,0.078,0.142,0.278,0.502,0.090,0.145,0.282,0.482,390.98,8,42,33,0.210,0.239,0.253,0.299,0.084,0.104,0.417,0.395
IPI00602670.1,Exportin 1,386.39,9,10,24,0.135,0.117,0.418,0.330,0.144,0.293,0.290,0.273,514.68,11,30,29,0.161,0.202,0.348,0.288,0.110,0.194,0.374,0.322
IPI00602673.1, Endothelin converting enzyme-1,626.27,12,27,33,0.259,0.363,0.216,0.162,0.355,0.259,0.168,0.219,141.5,3,13,1,0.414,0.319,0.156,0.112,0.245,0.185,0.332,0.238
IPI00602683.3,20 kDa protein,97.26,2,4,9,0.183,0.214,0.360,0.243,0.099,0.147,0.286,0.468,87.96,2,7,6,0.231,0.219,0.242,0.308,0.142,0.138,0.317,0.403
IPI00602705.1,Similar to V-crk sarcoma virus CT10 oncogene homolog (avian)-like,324.11,7,12,9,0.229,0.208,0.329,0.234,0.237,0.329,0.225,0.209,287.27,6,16,6,0.203,0.242,0.309,0.246,0.176,0.218,0.312,0.295
IPI00602825.2,Hypothetical protein,254.39,4,10,3,0.040,0.057,0.070,0.834,0.172,0.118,0.203,0.508,229.25,5,11,2,0.153,0.157,0.079,0.611,0.095,0.119,0.398,0.389
IPI00602828.3,Similar to pDJA1 chaperone,147.72,3,5,4,0.200,0.126,0.336,0.338,0.214,0.157,0.277,0.353,169,3,4,4,0.181,0.166,0.325,0.329,0.126,0.147,0.361,0.366
IPI00602898.2,Thymocyte nuclear protein 1,199.29,4,8,20,0.196,0.201,0.276,0.328,0.223,0.265,0.233,0.280,276.24,6,24,13,0.228,0.328,0.120,0.324,0.165,0.135,0.386,0.315
IPI00602924.1,Ribosomal protein S3,627.3,12,2,5,0.223,0.175,0.284,0.320,0.175,0.251,0.233,0.342,524.75,12,7,5,0.254,0.434,0.100,0.212,0.141,0.165,0.375,0.319
IPI00602969.1,von Hippel-Lindau binding protein 1,222.98,5,4,11,0.181,0.134,0.416,0.269,0.167,0.308,0.258,0.267,259.55,6,10,13,0.177,0.161,0.376,0.286,0.110,0.225,0.342,0.323
IPI00603017.2,Similar to Prdx3 protein,229.43,5,13,12,0.089,0.118,0.136,0.658,0.136,0.176,0.261,0.427,319.78,7,31,14,0.199,0.247,0.095,0.459,0.117,0.157,0.311,0.414
IPI00603028.2,"Similar to DOK3 protein, partial",61.62,1,2,13,0.278,0.216,0.316,0.191,0.274,0.249,0.210,0.267,147.86,3,13,8,0.518,0.248,0.099,0.135,0.230,0.190,0.289,0.291
IPI00603030.3,"Similar to protein tyrosine phosphatase, receptor type, F",2417.45,45,126,179,0.333,0.298,0.189,0.180,0.437,0.196,0.164,0.203,1734.67,38,106,37,0.506,0.265,0.103,0.127,0.365,0.146,0.269,0.219
IPI00603045.1,Similar to Phosphatidylethanolamine-binding protein 1,596.03,9,31,89,0.126,0.292,0.435,0.147,0.162,0.393,0.237,0.209,594.91,10,65,57,0.241,0.333,0.188,0.239,0.149,0.255,0.324,0.272
IPI00603049.1,Nuclear migration protein nudC,449.89,8,19,38,0.162,0.195,0.427,0.216,0.137,0.329,0.264,0.271,687.38,13,42,43,0.173,0.286,0.318,0.223,0.110,0.263,0.333,0.294
IPI00603058.5,Similar to cyclophilin,280.74,6,10,28,0.149,0.138,0.457,0.256,0.166,0.293,0.273,0.268,454.6,9,25,27,0.194,0.281,0.281,0.243,0.109,0.196,0.371,0.323
IPI00603062.4, O-linked N-acetylglucosamine (GlcNAc) transferase,251.2,5,9,9,0.204,0.149,0.322,0.325,0.200,0.238,0.244,0.318,211.07,5,8,6,0.239,0.332,0.184,0.246,0.116,0.199,0.373,0.312
IPI00603153.2,160 kDa protein,611.22,12,19,17,0.188,0.125,0.254,0.433,0.207,0.191,0.243,0.359,754.2,16,40,41,0.222,0.331,0.171,0.275,0.144,0.143,0.370,0.343
IPI00603171.2,"Similar to Chain A, Crystal Structure Of P18-Ink4c",210.79,4,10,20,0.168,0.185,0.452,0.195,0.147,0.371,0.249,0.234,150.82,3,16,14,0.195,0.307,0.315,0.182,0.126,0.240,0.335,0.299
IPI00603191.1,60S ribosomal protein L10 (Fragment),349.36,6,34,58,0.164,0.151,0.255,0.429,0.167,0.167,0.232,0.435,228.03,5,32,18,0.290,0.358,0.123,0.228,0.143,0.129,0.405,0.323
IPI00603215.1,"SEC24 related gene family, member C ",265.99,4,14,12,0.101,0.141,0.217,0.540,0.153,0.316,0.240,0.291,145.63,3,5,4,0.214,0.301,0.124,0.360,0.112,0.175,0.360,0.353
IPI00603240.2,Similar to C1-tetrahydrofolate synthase,561.09,9,17,4,0.114,0.117,0.150,0.619,0.143,0.163,0.243,0.452,612.62,12,32,2,0.158,0.267,0.072,0.503,0.115,0.198,0.310,0.378
IPI00603259.3,Similar to SH3-containing protein p4015,151.55,3,3,4,0.279,0.236,0.225,0.260,0.299,0.158,0.220,0.324,174.62,3,7,4,0.281,0.319,0.195,0.205,0.238,0.167,0.293,0.302
IPI00603294.2,Similar to amino acid transporter system A1,87.74,2,11,20,0.348,0.307,0.175,0.171,0.448,0.192,0.168,0.192,168.62,4,12,1,0.512,0.225,0.083,0.180,0.229,0.097,0.307,0.368
IPI00603322.1,Cyclin-dependent kinase,315.96,6,14,29,0.146,0.188,0.472,0.194,0.150,0.387,0.245,0.217,362.18,7,20,22,0.194,0.304,0.319,0.183,0.101,0.262,0.349,0.288
IPI00603346.3,Similar to Inositol monophosphatase domain containing 1,546.5,10,25,69,0.125,0.348,0.273,0.255,0.153,0.418,0.215,0.215,410.59,7,33,6,0.214,0.423,0.236,0.127,0.139,0.286,0.334,0.242
IPI00603370.2,"Non-POU domain containing, octamer-binding",357.33,8,16,13,0.153,0.176,0.315,0.356,0.147,0.215,0.243,0.394,148.11,4,6,5,0.190,0.425,0.153,0.232,0.166,0.188,0.362,0.285
IPI00603436.1,Small nuclear ribonucleoprotein-associated protein B',124.8,3,12,17,0.096,0.103,0.197,0.604,0.147,0.164,0.262,0.427,71.22,2,8,3,0.192,0.457,0.097,0.253,0.135,0.150,0.367,0.348
IPI00603449.1,VAMP (vesicle-associated membrane protein)-associated protein B and C,491.61,8,52,87,0.114,0.200,0.293,0.393,0.139,0.171,0.288,0.402,629.26,12,78,63,0.217,0.250,0.302,0.231,0.100,0.140,0.411,0.348
IPI00603535.1,Similar to KIAA0398,413.82,8,8,21,0.131,0.111,0.469,0.289,0.120,0.320,0.283,0.277,181.88,4,6,9,0.222,0.200,0.339,0.240,0.115,0.178,0.367,0.339
IPI00603607.2,Similar to U6 snRNA-associated Sm-like protein LSm8,207.61,4,5,6,0.111,0.124,0.476,0.289,0.108,0.293,0.271,0.328,97.99,2,10,4,0.194,0.317,0.224,0.264,0.133,0.196,0.324,0.348
IPI00603631.1,Stathmin,432.77,9,21,46,0.198,0.320,0.341,0.141,0.229,0.356,0.217,0.199,349.69,7,42,50,0.214,0.307,0.240,0.239,0.189,0.280,0.273,0.257
IPI00603646.2,Hypothetical protein,168.03,3,18,17,0.153,0.169,0.214,0.464,0.182,0.178,0.213,0.427,169.88,3,18,7,0.292,0.336,0.125,0.247,0.145,0.121,0.395,0.339
IPI00603738.2,10 kDa protein,119.54,2,11,21,0.037,0.106,0.285,0.572,0.069,0.126,0.316,0.489,116.58,2,9,6,0.193,0.222,0.328,0.257,0.054,0.072,0.409,0.465
IPI00603739.2,"Similar to protein tyrosine phosphatase, non-receptor type 12",84.62,2,3,3,0.219,0.177,0.348,0.256,0.322,0.205,0.224,0.251,74.22,2,3,3,0.183,0.194,0.293,0.331,0.208,0.190,0.308,0.294
IPI00603795.2,Similar to quiescin Q6-like 1,224.48,5,13,13,0.112,0.356,0.293,0.239,0.170,0.335,0.219,0.276,183.48,4,8,4,0.235,0.426,0.213,0.127,0.133,0.241,0.348,0.279
IPI00603873.2,Similar to leucine zipper protein 1,96.48,2,9,5,0.398,0.245,0.182,0.175,0.302,0.151,0.208,0.339,165.44,4,13,2,0.378,0.219,0.188,0.215,0.266,0.107,0.289,0.339
IPI00603895.1,Hypothetical protein,312.51,5,9,6,0.057,0.103,0.187,0.653,0.110,0.158,0.237,0.496,119.57,3,2,1,0.217,0.253,0.151,0.380,0.121,0.107,0.412,0.361
IPI00603918.2,Similar to SAR1a protein,148.13,2,9,23,0.138,0.228,0.381,0.253,0.173,0.305,0.251,0.271,192.77,3,15,14,0.228,0.295,0.229,0.248,0.107,0.248,0.339,0.306
IPI00603965.3,"Similar to Chain A, Importin-Beta-Fxfg Nucleoporin Complex, partial",587.99,12,21,36,0.131,0.112,0.307,0.449,0.171,0.200,0.301,0.328,474.05,10,44,24,0.197,0.332,0.147,0.324,0.122,0.132,0.382,0.363
IPI00604008.1,Hypothetical protein,1014.66,19,35,44,0.253,0.188,0.241,0.317,0.248,0.186,0.231,0.335,690.02,14,37,18,0.262,0.335,0.141,0.263,0.187,0.127,0.334,0.352
