UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
P59598,Putative Polycomb group protein ASXL1 GN=Asxl1 PE=1 SV=1 - [ASXL1_MOUSE],1,1,0.5,0.169,0.000,0.000,0.000,0.036,0.045,0.056,0.044,0.412,0.237
P59672,Ankyrin repeat and SAM domain-containing protein 1A GN=Anks1a PE=1 SV=3 - [ANS1A_MOUSE],1,1,1.0,0.146,0.211,0.127,0.122,0.198,0.083,0.073,0.017,0.009,0.016
P59913,Protein-L-isoaspartate O-methyltransferase domain-containing protein 1 GN=Pcmtd1 PE=2 SV=1 - [PCMD1_MOUSE],1,1,2.5,0.340,0.113,0.110,0.095,0.094,0.090,0.033,0.032,0.060,0.032
P60882,Multiple epidermal growth factor-like domains protein 8 GN=Megf8 PE=2 SV=2 - [MEGF8_MOUSE],1,1,0.9,0.000,0.056,0.114,0.209,0.204,0.280,0.136,0.000,0.000,0.000
P60898,DNA-directed RNA polymerase II subunit RPB9 GN=Polr2i PE=2 SV=1 - [RPB9_MOUSE],1,1,13.6,0.299,0.020,0.039,0.026,0.031,0.030,0.044,0.076,0.330,0.106
P61025,Cyclin-dependent kinases regulatory subunit 1 GN=Cks1b PE=2 SV=1 - [CKS1_MOUSE],1,1,20.3,0.219,0.052,0.085,0.075,0.060,0.071,0.046,0.073,0.191,0.129
P61219,"DNA-directed RNA polymerases I, II, and III subunit RPABC2 GN=Polr2f PE=2 SV=1 - [RPAB2_MOUSE]",1,1,6.3,0.301,0.032,0.051,0.044,0.061,0.042,0.080,0.061,0.250,0.078
P61226;Q8BU31;Q80ZJ1,Ras-related protein Rap-2b GN=Rap2b PE=1 SV=1 - [RAP2B_MOUSE]|Ras-related protein Rap-2c GN=Rap2c PE=1 SV=1 - [RAP2C_MOUSE]|Ras-related protein Rap-2a GN=Rap2a PE=1 SV=2 - [RAP2A_MOUSE],1,1,27.9,0.014,0.178,0.163,0.202,0.128,0.142,0.072,0.033,0.069,0.000
P61264,Syntaxin-1B GN=Stx1b PE=1 SV=1 - [STX1B_MOUSE],1,1,5.2,0.000,0.172,0.194,0.179,0.178,0.166,0.063,0.026,0.021,0.000
P61460,DEP domain-containing protein 5 GN=Depdc5 PE=2 SV=1 - [DEPD5_MOUSE],1,1,0.7,0.119,0.096,0.173,0.146,0.121,0.097,0.046,0.033,0.074,0.094
P61793-2,Isoform 2 of Lysophosphatidic acid receptor 1 GN=Lpar1 - [LPAR1_MOUSE],1,1,3.2,0.001,0.081,0.104,0.200,0.250,0.255,0.069,0.030,0.005,0.006
P61922-2,"Isoform 2 of 4-aminobutyrate aminotransferase, mitochondrial GN=Abat - [GABT_MOUSE]",1,1,2.7,0.000,0.000,0.017,0.019,0.019,0.124,0.357,0.334,0.011,0.120
P61979-2,Isoform 2 of Heterogeneous nuclear ribonucleoprotein K GN=Hnrnpk - [HNRPK_MOUSE],1,1,1.7,0.229,0.029,0.036,0.021,0.029,0.022,0.047,0.034,0.365,0.186
P61979-3,Isoform 3 of Heterogeneous nuclear ribonucleoprotein K GN=Hnrnpk - [HNRPK_MOUSE],1,1,2.7,0.085,0.018,0.018,0.023,0.030,0.034,0.040,0.030,0.484,0.237
P62071;P10833,Ras-related protein R-Ras2 GN=Rras2 PE=1 SV=1 - [RRAS2_MOUSE]|Ras-related protein R-Ras GN=Rras PE=2 SV=1 - [RRAS_MOUSE],1,1,51.5,0.015,0.152,0.164,0.215,0.175,0.181,0.070,0.018,0.010,0.000
P62073,Mitochondrial import inner membrane translocase subunit Tim10 GN=Timm10 PE=1 SV=1 - [TIM10_MOUSE],1,1,14.4,0.000,0.005,0.013,0.026,0.022,0.182,0.345,0.286,0.041,0.080
P62484,Abl interactor 2 GN=Abi2 PE=1 SV=1 - [ABI2_MOUSE],1,1,3.4,0.018,0.149,0.201,0.194,0.133,0.129,0.042,0.017,0.020,0.095
P62492,Ras-related protein Rab-11A GN=Rab11a PE=1 SV=3 - [RB11A_MOUSE],1,1,13.4,0.000,0.059,0.223,0.253,0.340,0.059,0.066,0.000,0.000,0.000
P62876,"DNA-directed RNA polymerases I, II, and III subunit RPABC5 GN=Polr2l PE=2 SV=1 - [RPAB5_MOUSE]",1,1,13.4,0.262,0.044,0.045,0.042,0.050,0.045,0.074,0.074,0.229,0.134
P62878,E3 ubiquitin-protein ligase RBX1 GN=Rbx1 PE=1 SV=1 - [RBX1_MOUSE],1,1,19.4,0.421,0.000,0.091,0.070,0.130,0.000,0.090,0.078,0.120,0.000
P62880;P29387,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 GN=Gnb2 PE=1 SV=3 - [GBB2_MOUSE]|Guanine nucleotide-binding protein subunit beta-4 GN=Gnb4 PE=2 SV=4 - [GBB4_MOUSE],1,1,40.3,0.000,0.148,0.120,0.148,0.316,0.144,0.071,0.000,0.054,0.000
P62984,Ubiquitin-60S ribosomal protein L40 GN=Uba52 PE=1 SV=2 - [RL40_MOUSE],1,1,7.8,0.201,0.000,0.000,0.000,0.097,0.195,0.104,0.179,0.000,0.224
P63024,Vesicle-associated membrane protein 3 GN=Vamp3 PE=1 SV=1 - [VAMP3_MOUSE],1,1,15.5,0.000,0.094,0.093,0.171,0.300,0.236,0.097,0.000,0.000,0.010
P63044,Vesicle-associated membrane protein 2 GN=Vamp2 PE=1 SV=2 - [VAMP2_MOUSE],1,1,13.8,0.000,0.081,0.096,0.157,0.290,0.234,0.108,0.021,0.008,0.005
P63094,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short GN=Gnas PE=1 SV=1 - [GNAS2_MOUSE],1,1,1.8,0.004,0.236,0.164,0.159,0.217,0.097,0.085,0.013,0.017,0.007
P63139,Nuclear transcription factor Y subunit beta GN=Nfyb PE=1 SV=1 - [NFYB_MOUSE],1,1,25.6,0.181,0.018,0.026,0.019,0.029,0.024,0.069,0.099,0.487,0.048
P63328-2,Isoform 2 of Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform GN=Ppp3ca - [PP2BA_MOUSE],1,1,3.3,0.085,0.123,0.130,0.229,0.135,0.149,0.093,0.035,0.009,0.010
P68369;P68373,Tubulin alpha-1B chain GN=Tuba1b PE=1 SV=2 - [TBA1B_MOUSE]|Tubulin alpha-1A chain GN=Tuba1a PE=1 SV=1 - [TBA1A_MOUSE]|Tubulin alpha-1C chain GN=Tuba1c PE=1 SV=1 - [TBA1C_MOUSE],1,1,6.4,0.624,0.049,0.186,0.035,0.052,0.054,0.000,0.000,0.000,0.000
P68372;P99024;Q7TMM9;Q9CWF2,Tubulin beta-4B chain GN=Tubb4b PE=1 SV=1 - [TBB4B_MOUSE]|Tubulin beta-5 chain GN=Tubb5 PE=1 SV=1 - [TBB5_MOUSE]|Tubulin beta-2A chain GN=Tubb2a PE=1 SV=1 - [TBB2A_MOUSE]|Tubulin beta-2B chain GN=Tubb2b PE=1 SV=1 - [TBB2B_MOUSE],1,1,2.7,0.600,0.117,0.000,0.060,0.125,0.043,0.056,0.000,0.000,0.000
P68372;Q9D6F9;Q922F4;Q9ERD7,Tubulin beta-4B chain GN=Tubb4b PE=1 SV=1 - [TBB4B_MOUSE]|Tubulin beta-4A chain GN=Tubb4a PE=1 SV=3 - [TBB4A_MOUSE]|Tubulin beta-6 chain GN=Tubb6 PE=1 SV=1 - [TBB6_MOUSE]|Tubulin beta-3 chain GN=Tubb3 PE=1 SV=1 - [TBB3_MOUSE],1,1,2.7,0.385,0.124,0.119,0.143,0.078,0.093,0.015,0.020,0.022,0.000
P70180,Atrial natriuretic peptide receptor 3 GN=Npr3 PE=1 SV=3 - [ANPRC_MOUSE],1,1,1.9,0.000,0.043,0.171,0.126,0.245,0.232,0.081,0.035,0.000,0.067
P70188-2,Isoform KAP3B of Kinesin-associated protein 3 GN=Kifap3 - [KIFA3_MOUSE],1,1,3.4,0.141,0.139,0.067,0.052,0.204,0.051,0.115,0.046,0.038,0.146
P70206;P70207;P70208-2,Plexin-A1 GN=Plxna1 PE=1 SV=1 - [PLXA1_MOUSE]|Plexin-A2 GN=Plxna2 PE=1 SV=2 - [PLXA2_MOUSE]|Isoform 2 of Plexin-A3 GN=Plxna3 - [PLXA3_MOUSE],1,1,23.7,0.000,0.218,0.120,0.327,0.070,0.112,0.089,0.000,0.065,0.000
P70335;P70336,Rho-associated protein kinase 1 GN=Rock1 PE=1 SV=1 - [ROCK1_MOUSE]|Rho-associated protein kinase 2 GN=Rock2 PE=1 SV=1 - [ROCK2_MOUSE],1,1,12.6,0.020,0.126,0.153,0.157,0.158,0.234,0.101,0.051,0.000,0.000
P70340,Mothers against decapentaplegic homolog 1 GN=Smad1 PE=1 SV=2 - [SMAD1_MOUSE],1,1,2.6,0.148,0.104,0.134,0.132,0.071,0.113,0.048,0.057,0.101,0.094
P70403,Protein CASP GN=Cux1 PE=2 SV=2 - [CASP_MOUSE],1,1,1.2,0.068,0.017,0.028,0.026,0.085,0.103,0.139,0.072,0.194,0.267
P70406,Mitochondrial uncoupling protein 2 GN=Ucp2 PE=1 SV=1 - [UCP2_MOUSE],1,1,7.1,0.000,0.008,0.009,0.017,0.016,0.107,0.341,0.296,0.090,0.116
P70451-2,Isoform 2 of Tyrosine-protein kinase Fer GN=Fer - [FER_MOUSE],1,1,2.6,0.232,0.012,0.030,0.024,0.049,0.069,0.028,0.062,0.232,0.263
P80206,Homeobox protein OTX2 GN=Otx2 PE=1 SV=1 - [OTX2_MOUSE],1,1,4.2,0.016,0.000,0.006,0.009,0.011,0.044,0.150,0.179,0.501,0.085
P84078,ADP-ribosylation factor 1 GN=Arf1 PE=1 SV=2 - [ARF1_MOUSE],1,1,14.9,0.354,0.170,0.131,0.107,0.152,0.000,0.086,0.000,0.000,0.000
P97302,Transcription regulator protein BACH1 GN=Bach1 PE=1 SV=1 - [BACH1_MOUSE],1,1,1.8,0.075,0.061,0.058,0.067,0.000,0.068,0.129,0.233,0.251,0.059
P97348,Rho-related GTP-binding protein RhoD GN=Rhod PE=2 SV=1 - [RHOD_MOUSE],1,1,4.8,0.017,0.211,0.138,0.145,0.213,0.119,0.110,0.020,0.017,0.010
P97402,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase GN=Gcnt2 PE=2 SV=1 - [GCNT2_MOUSE]",1,1,3.2,0.004,0.063,0.134,0.212,0.190,0.220,0.091,0.061,0.011,0.015
P97411-2,Isoform 2 of Islet cell autoantigen 1 GN=Ica1 - [ICA69_MOUSE],1,1,2.6,0.219,0.089,0.104,0.141,0.124,0.176,0.056,0.037,0.000,0.054
P97412,Lysosomal-trafficking regulator GN=Lyst PE=1 SV=1 - [LYST_MOUSE],1,1,0.2,0.052,0.083,0.232,0.243,0.179,0.152,0.000,0.000,0.000,0.058
P97434;P97434-2,Myosin phosphatase Rho-interacting protein GN=Mprip PE=1 SV=2 - [MPRIP_MOUSE]|Isoform 2 of Myosin phosphatase Rho-interacting protein GN=Mprip - [MPRIP_MOUSE],1,1,6.4,0.000,0.116,0.113,0.116,0.027,0.211,0.270,0.146,0.000,0.000
P97434-2,Isoform 2 of Myosin phosphatase Rho-interacting protein GN=Mprip - [MPRIP_MOUSE],1,1,1.2,0.012,0.086,0.108,0.107,0.090,0.255,0.141,0.126,0.048,0.028
P97440,Histone RNA hairpin-binding protein GN=Slbp PE=1 SV=1 - [SLBP_MOUSE],1,1,3.3,0.525,0.052,0.000,0.048,0.041,0.000,0.041,0.000,0.048,0.246
P97468,Chemokine-like receptor 1 GN=Cmklr1 PE=1 SV=1 - [CML1_MOUSE],1,1,1.9,0.035,0.100,0.112,0.133,0.131,0.170,0.102,0.047,0.023,0.147
P97478,Ubiquinone biosynthesis protein COQ7 homolog GN=Coq7 PE=2 SV=3 - [COQ7_MOUSE],1,1,4.1,0.010,0.017,0.004,0.022,0.033,0.068,0.362,0.242,0.106,0.137
P97480-2,Isoform 2 of Eyes absent homolog 3 GN=Eya3 - [EYA3_MOUSE],1,1,4.8,0.491,0.021,0.123,0.022,0.023,0.025,0.000,0.039,0.179,0.079
P97820;P83510,Mitogen-activated protein kinase kinase kinase kinase 4 GN=Map4k4 PE=1 SV=1 - [M4K4_MOUSE]|Traf2 and NCK-interacting protein kinase GN=Tnik PE=1 SV=2 - [TNIK_MOUSE],1,1,27.3,0.038,0.219,0.153,0.180,0.169,0.108,0.053,0.035,0.045,0.000
P97868,E3 ubiquitin-protein ligase RBBP6 GN=Rbbp6 PE=1 SV=5 - [RBBP6_MOUSE],1,1,0.6,0.254,0.006,0.037,0.023,0.015,0.035,0.037,0.037,0.344,0.211
P97931-2,Isoform 1 of Uracil-DNA glycosylase GN=Ung - [UNG_MOUSE],1,1,4.7,0.107,0.026,0.031,0.030,0.048,0.064,0.170,0.120,0.227,0.177
P98154,Integral membrane protein DGCR2/IDD GN=Dgcr2 PE=2 SV=1 - [IDD_MOUSE],1,1,1.3,0.001,0.048,0.095,0.178,0.231,0.240,0.112,0.070,0.009,0.016
P98191,Phosphatidate cytidylyltransferase 1 GN=Cds1 PE=2 SV=2 - [CDS1_MOUSE],1,1,1.7,0.001,0.087,0.073,0.109,0.247,0.195,0.174,0.080,0.009,0.025
P98199,Probable phospholipid-transporting ATPase ID GN=Atp8b2 PE=2 SV=2 - [AT8B2_MOUSE],1,1,2.6,0.021,0.122,0.139,0.174,0.169,0.192,0.096,0.059,0.021,0.008
Q00262,Syntaxin-2 GN=Stx2 PE=1 SV=1 - [STX2_MOUSE],1,1,4.8,0.000,0.169,0.202,0.166,0.174,0.191,0.064,0.023,0.011,0.000
Q01755,T-complex protein 11 GN=Tcp11 PE=2 SV=1 - [TCP11_MOUSE],1,1,3.9,0.405,0.062,0.049,0.049,0.110,0.052,0.059,0.050,0.126,0.039
Q01768;P15532,Nucleoside diphosphate kinase B GN=Nme2 PE=1 SV=1 - [NDKB_MOUSE]|Nucleoside diphosphate kinase A GN=Nme1 PE=1 SV=1 - [NDKA_MOUSE],1,1,47.4,0.444,0.187,0.131,0.067,0.142,0.029,0.000,0.000,0.000,0.000
Q02395,Metal-response element-binding transcription factor 2 GN=Mtf2 PE=1 SV=2 - [MTF2_MOUSE],1,1,2.0,0.052,0.009,0.017,0.014,0.014,0.045,0.069,0.217,0.446,0.118
Q03249,Galactose-1-phosphate uridylyltransferase GN=Galt PE=2 SV=3 - [GALT_MOUSE],1,1,2.6,0.401,0.089,0.064,0.053,0.092,0.040,0.049,0.054,0.085,0.073
Q04519,Sphingomyelin phosphodiesterase GN=Smpd1 PE=2 SV=2 - [ASM_MOUSE],1,1,1.6,0.002,0.043,0.147,0.257,0.198,0.259,0.048,0.035,0.004,0.007
Q04592-2,Isoform PC5A of Proprotein convertase subtilisin/kexin type 5 GN=Pcsk5 - [PCSK5_MOUSE],1,1,0.9,0.008,0.044,0.099,0.152,0.175,0.255,0.137,0.089,0.018,0.022
Q04735,Cyclin-dependent kinase 16 GN=Cdk16 PE=1 SV=1 - [CDK16_MOUSE],1,1,2.2,0.025,0.227,0.176,0.181,0.146,0.124,0.048,0.025,0.021,0.028
Q04736;P39688,Tyrosine-protein kinase Yes GN=Yes1 PE=1 SV=3 - [YES_MOUSE]|Tyrosine-protein kinase Fyn GN=Fyn PE=1 SV=3 - [FYN_MOUSE],1,1,40.9,0.000,0.194,0.241,0.188,0.203,0.103,0.071,0.000,0.000,0.000
Q05915,GTP cyclohydrolase 1 GN=Gch1 PE=2 SV=1 - [GCH1_MOUSE],1,1,4.6,0.011,0.075,0.094,0.113,0.066,0.184,0.125,0.222,0.053,0.057
Q06186,Proheparin-binding EGF-like growth factor GN=Hbegf PE=2 SV=1 - [HBEGF_MOUSE],1,1,4.8,0.000,0.013,0.010,0.025,0.025,0.130,0.300,0.332,0.033,0.131
Q07231,Zinc finger and SCAN domain-containing protein 21 GN=Zscan21 PE=2 SV=2 - [ZSC21_MOUSE],1,1,1.4,0.130,0.020,0.024,0.025,0.032,0.052,0.061,0.123,0.404,0.130
Q07563-2,Isoform 2 of Collagen alpha-1(XVII) chain GN=Col17a1 - [COHA1_MOUSE],1,1,0.4,0.008,0.282,0.147,0.133,0.246,0.113,0.042,0.017,0.005,0.008
Q08376,Zinc finger protein 161 GN=Zfp161 PE=2 SV=1 - [ZF161_MOUSE],1,1,2.2,0.052,0.006,0.015,0.019,0.016,0.038,0.081,0.185,0.504,0.084
Q08879-2,Isoform C of Fibulin-1 GN=Fbln1 - [FBLN1_MOUSE],1,1,1.6,0.012,0.049,0.115,0.211,0.211,0.240,0.096,0.067,0.000,0.000
Q09324,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase GN=Gcnt1 PE=1 SV=2 - [GCNT1_MOUSE]",1,1,1.9,0.134,0.032,0.065,0.069,0.089,0.106,0.060,0.043,0.212,0.189
Q0GNC1-3,Isoform 2 of Inverted formin-2 GN=Inf2 - [INF2_MOUSE],1,1,0.5,0.031,0.896,0.000,0.054,0.007,0.003,0.003,0.001,0.002,0.003
Q0VGT2,Zinc finger protein GLI2 GN=Gli2 PE=1 SV=2 - [GLI2_MOUSE],1,1,0.5,0.018,0.068,0.088,0.090,0.078,0.098,0.102,0.188,0.197,0.073
Q148R9,Regulator of G-protein signaling 9-binding protein GN=Rgs9bp PE=1 SV=2 - [R9BP_MOUSE],1,1,5.9,0.091,0.139,0.104,0.148,0.227,0.087,0.141,0.020,0.031,0.013
Q148V8,Protein FAM83H GN=Fam83h PE=1 SV=1 - [FA83H_MOUSE],1,1,1.3,0.101,0.149,0.107,0.070,0.121,0.108,0.129,0.044,0.041,0.131
Q149C2,TRAF3-interacting protein 1 GN=Traf3ip1 PE=1 SV=2 - [MIPT3_MOUSE],1,1,1.4,0.054,0.112,0.090,0.099,0.150,0.084,0.159,0.082,0.042,0.127
Q149F3,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B GN=Gspt2 PE=1 SV=1 - [ERF3B_MOUSE],1,1,3.8,0.067,0.059,0.042,0.052,0.000,0.067,0.314,0.255,0.036,0.108
Q149R9,Lysophosphatidic acid receptor 5 GN=Lpar5 PE=2 SV=2 - [LPAR5_MOUSE],1,1,3.2,0.000,0.169,0.176,0.208,0.158,0.172,0.079,0.030,0.004,0.004
Q2MV57,Tectonic-2 GN=Tctn2 PE=1 SV=2 - [TECT2_MOUSE],1,1,1.1,0.001,0.089,0.140,0.166,0.140,0.257,0.102,0.072,0.022,0.011
Q2TBA3-2,Isoform 2 of Mucosa-associated lymphoid tissue lymphoma translocation protein 1 homolog GN=Malt1 - [MALT1_MOUSE],1,1,1.1,0.244,0.135,0.062,0.080,0.141,0.065,0.055,0.062,0.070,0.087
Q2WF71,Leucine-rich repeat and fibronectin type III domain-containing protein 1 GN=Lrfn1 PE=1 SV=1 - [LRFN1_MOUSE],1,1,1.4,0.003,0.099,0.148,0.179,0.147,0.235,0.098,0.067,0.000,0.023
Q3TAP4,AP-5 complex subunit beta-1 GN=Ap5b1 PE=2 SV=1 - [AP5B1_MOUSE],1,1,1.4,0.021,0.078,0.117,0.155,0.133,0.163,0.124,0.093,0.034,0.082
Q3TB48,Transmembrane protein 104 GN=Tmem104 PE=2 SV=1 - [TM104_MOUSE],1,1,2.6,0.007,0.086,0.166,0.231,0.220,0.197,0.050,0.036,0.008,0.000
Q3TC46,Protein PAT1 homolog 1 GN=Patl1 PE=1 SV=2 - [PATL1_MOUSE],1,1,1.7,0.126,0.045,0.072,0.051,0.046,0.090,0.078,0.068,0.088,0.337
Q3TD49,Signal peptide peptidase-like 2B GN=Sppl2b PE=2 SV=2 - [SPP2B_MOUSE],1,1,5.2,0.016,0.072,0.091,0.152,0.136,0.180,0.100,0.068,0.141,0.043
Q3TDK6-3,Isoform 3 of Protein rogdi homolog GN=Rogdi - [ROGDI_MOUSE],1,1,3.8,0.081,0.105,0.096,0.087,0.174,0.117,0.070,0.049,0.049,0.172
Q3TDX8-5,Isoform 2 of Cytochrome b5 reductase 4 GN=Cyb5r4 - [NB5R4_MOUSE],1,1,1.9,0.176,0.073,0.070,0.035,0.095,0.100,0.177,0.156,0.023,0.096
Q3TGF2,Protein FAM107B GN=Fam107b PE=2 SV=2 - [F107B_MOUSE],1,1,9.9,0.178,0.130,0.136,0.123,0.109,0.096,0.040,0.037,0.114,0.037
Q3THE2;Q9CQ19,Myosin regulatory light chain 12B GN=Myl12b PE=1 SV=2 - [ML12B_MOUSE]|Myosin regulatory light polypeptide 9 GN=Myl9 PE=1 SV=3 - [MYL9_MOUSE],1,1,29.7,0.074,0.038,0.059,0.000,0.085,0.261,0.357,0.076,0.050,0.000
Q3TI53-2,Isoform 2 of Schwannomin-interacting protein 1 GN=Schip1 - [SCHI1_MOUSE],1,1,3.5,0.313,0.078,0.137,0.115,0.110,0.093,0.053,0.048,0.016,0.036
Q3TIR1-3,Isoform 3 of UPF0533 protein C5orf44 homolog - [CE044_MOUSE],1,1,2.2,0.121,0.060,0.044,0.044,0.096,0.054,0.047,0.018,0.395,0.120
Q3TIU4,"2',5'-phosphodiesterase 12 GN=Pde12 PE=2 SV=2 - [PDE12_MOUSE]",1,1,2.1,0.125,0.041,0.049,0.058,0.044,0.131,0.221,0.228,0.019,0.084
Q3TJM4,Centromere protein T GN=Cenpt PE=2 SV=2 - [CENPT_MOUSE],1,1,1.6,0.060,0.010,0.013,0.013,0.018,0.055,0.089,0.252,0.358,0.132
Q3TL26,"Dimethyladenosine transferase 2, mitochondrial GN=Tfb2m PE=2 SV=1 - [TFB2M_MOUSE]",1,1,2.8,0.002,0.015,0.014,0.016,0.041,0.079,0.408,0.218,0.070,0.136
Q3TMH2,Secernin-3 GN=Scrn3 PE=1 SV=1 - [SCRN3_MOUSE],1,1,2.6,0.530,0.086,0.103,0.079,0.118,0.053,0.010,0.000,0.009,0.012
Q3TPE9-2,Isoform 2 of Ankyrin repeat and MYND domain-containing protein 2 GN=Ankmy2 - [ANKY2_MOUSE],1,1,3.7,0.313,0.079,0.116,0.093,0.070,0.085,0.047,0.051,0.106,0.041
Q3TPR7,Transmembrane protein 184C GN=Tmem184c PE=2 SV=1 - [T184C_MOUSE],1,1,3.4,0.000,0.060,0.140,0.247,0.267,0.187,0.059,0.034,0.003,0.002
Q3TQI7,Uncharacterized protein C9orf78 homolog PE=1 SV=2 - [CI078_MOUSE],1,1,3.1,0.249,0.000,0.044,0.058,0.000,0.068,0.000,0.038,0.206,0.337
Q3TUL7-2,Isoform 2 of DDB1- and CUL4-associated factor 17 GN=Dcaf17 - [DCA17_MOUSE],1,1,4.8,0.163,0.055,0.020,0.066,0.083,0.090,0.193,0.082,0.108,0.139
Q3TX08,tRNA (guanine(26)-N(2))-dimethyltransferase GN=Trmt1 PE=1 SV=2 - [TRM1_MOUSE],1,1,2.9,0.598,0.048,0.061,0.016,0.051,0.040,0.115,0.029,0.022,0.020
Q3TXU5,Deoxyhypusine synthase GN=Dhps PE=2 SV=2 - [DHYS_MOUSE],1,1,8.1,0.451,0.101,0.129,0.106,0.085,0.063,0.026,0.013,0.013,0.013
Q3TZW0,Endothelial cell-specific chemotaxis regulator GN=Ecscr PE=2 SV=2 - [ECSCR_MOUSE],1,1,3.7,0.002,0.184,0.173,0.200,0.170,0.158,0.070,0.030,0.007,0.007
Q3TZX3,Solute carrier family 25 member 33 GN=Slc25a33 PE=2 SV=1 - [S2533_MOUSE],1,1,8.8,0.021,0.000,0.000,0.021,0.017,0.104,0.339,0.261,0.097,0.140
Q3U0L2-2,Isoform 2 of Ankyrin repeat domain-containing protein 33B GN=Ankrd33b - [AN33B_MOUSE],1,1,1.3,0.019,0.812,0.017,0.032,0.016,0.055,0.003,0.006,0.017,0.022
Q3U0M1-2,Isoform 2 of Trafficking protein particle complex subunit 9 GN=Trappc9 - [TPPC9_MOUSE],1,1,1.1,0.073,0.085,0.098,0.136,0.146,0.172,0.083,0.044,0.052,0.110
Q3U0V2,Tumor necrosis factor receptor type 1-associated DEATH domain protein GN=Tradd PE=1 SV=1 - [TRADD_MOUSE],1,1,4.8,0.371,0.092,0.146,0.126,0.090,0.091,0.031,0.015,0.007,0.032
Q3U213-2,Isoform 2 of Protein SERAC1 GN=Serac1 - [SRAC1_MOUSE],1,1,1.8,0.005,0.007,0.008,0.021,0.027,0.104,0.337,0.326,0.065,0.100
Q3U288-3,Isoform 3 of Zinc finger protein 710 GN=Znf710 - [ZN710_MOUSE],1,1,2.9,0.025,0.005,0.000,0.000,0.013,0.027,0.122,0.178,0.529,0.100
Q3U2S4-2,Isoform 2 of OTU domain-containing protein 5 GN=Otud5 - [OTUD5_MOUSE],1,1,2.9,0.720,0.077,0.051,0.037,0.052,0.063,0.000,0.000,0.000,0.000
Q3U2U7,"Methyltransferase-like protein 17, mitochondrial GN=Mettl17 PE=2 SV=2 - [MET17_MOUSE]",1,1,1.7,0.003,0.016,0.014,0.021,0.040,0.069,0.420,0.219,0.040,0.158
Q3U3C9-4,Isoform 4 of Genetic suppressor element 1 GN=Gse1 - [GSE1_MOUSE],1,1,1.3,0.269,0.064,0.076,0.050,0.058,0.040,0.052,0.060,0.164,0.167
Q3U3D7-3,Isoform 3 of Transmembrane protein 131-like GN=Kiaa0922 - [T131L_MOUSE],1,1,0.5,0.000,0.040,0.066,0.099,0.124,0.261,0.180,0.130,0.066,0.035
Q3U3T8-3,Isoform 3 of WD repeat-containing protein 62 GN=Wdr62 - [WDR62_MOUSE],1,1,0.6,0.328,0.123,0.081,0.065,0.117,0.051,0.066,0.030,0.044,0.095
Q3U5F4,"YrdC domain-containing protein, mitochondrial GN=Yrdc PE=1 SV=1 - [YRDC_MOUSE]",1,1,5.0,0.062,0.097,0.162,0.118,0.171,0.160,0.130,0.059,0.022,0.019
Q3UB74,Transforming growth factor beta regulator 1 GN=Tbrg1 PE=1 SV=2 - [TBRG1_MOUSE],1,1,2.0,0.112,0.065,0.046,0.057,0.151,0.135,0.094,0.068,0.186,0.085
Q3UCV8,Protein FAM105B GN=Fam105b PE=2 SV=1 - [F105B_MOUSE],1,1,2.0,0.418,0.103,0.135,0.070,0.079,0.055,0.033,0.040,0.031,0.038
Q3UD01,Putative ataxin-7-like protein 3B GN=Atxn7l3b PE=3 SV=1 - [A7L3B_MOUSE],1,1,10.3,0.454,0.083,0.114,0.100,0.074,0.073,0.027,0.026,0.028,0.020
Q3UGF1,WD repeat-containing protein 19 GN=Wdr19 PE=1 SV=1 - [WDR19_MOUSE],1,1,1.0,0.188,0.064,0.133,0.054,0.066,0.040,0.143,0.078,0.078,0.158
Q3UGS4,Protein FAM195B GN=Fam195b PE=1 SV=1 - [F195B_MOUSE],1,1,9.3,0.183,0.045,0.077,0.053,0.056,0.094,0.054,0.066,0.081,0.292
Q3UH06-2,Isoform 2 of Ras-responsive element-binding protein 1 GN=Rreb1 - [RREB1_MOUSE],1,1,2.6,0.077,0.046,0.019,0.048,0.066,0.075,0.098,0.163,0.298,0.109
Q3UHB1,5'-nucleotidase domain-containing protein 3 GN=Nt5dc3 PE=2 SV=1 - [NT5D3_MOUSE],1,1,1.5,0.046,0.021,0.035,0.027,0.036,0.124,0.177,0.290,0.061,0.182
Q3UHC0,Trinucleotide repeat-containing gene 6C protein GN=Tnrc6c PE=1 SV=2 - [TNR6C_MOUSE],1,1,3.0,0.060,0.067,0.030,0.046,0.054,0.059,0.078,0.039,0.061,0.505
Q3UHH1-2,Isoform 2 of Zinc finger SWIM domain-containing protein 8 GN=Zswim8 - [ZSWM8_MOUSE],1,1,0.7,0.000,0.220,0.202,0.169,0.164,0.000,0.109,0.000,0.000,0.137
