UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q9CPW7,Zinc finger matrin-type protein 2 OS=Mus musculus GN=Zmat2 PE=2 SV=1 [ZMAT2_MOUSE],3,3,18.1,0.147,0.002,0.011,0.001,0.025,0.045,0.065,0.106,0.585,0.014
Q9CQ02,COMM domain-containing protein 4 OS=Mus musculus GN=Commd4 PE=2 SV=1 [COMD4_MOUSE],3,3,18.6,0.432,0.000,0.020,0.000,0.026,0.068,0.073,0.091,0.291,0.000
Q9CQ18,Ribonuclease H2 subunit C OS=Mus musculus GN=Rnaseh2c PE=1 SV=1 [RNH2C_MOUSE],3,3,30.7,0.413,0.000,0.030,0.000,0.011,0.046,0.066,0.201,0.221,0.013
Q9CQC9,GTP-binding protein SAR1b OS=Mus musculus GN=Sar1b PE=1 SV=1 [SAR1B_MOUSE],3,3,20.2,0.624,0.000,0.043,0.000,0.034,0.080,0.062,0.088,0.069,0.000
Q9CQF4,Uncharacterized protein C6orf203 homolog OS=Mus musculus PE=1 SV=1 [CF203_MOUSE],3,3,17.9,0.027,0.000,0.000,0.004,0.034,0.135,0.410,0.244,0.136,0.010
Q9CQI3,Glia maturation factor beta OS=Mus musculus GN=Gmfb PE=1 SV=3 [GMFB_MOUSE],3,3,35.9,0.831,0.004,0.041,0.001,0.029,0.047,0.022,0.016,0.008,0.000
Q9CQK1,Zinc finger HIT domain-containing protein 3 OS=Mus musculus GN=Znhit3 PE=1 SV=1 [ZNHI3_MOUSE],3,3,19.9,0.250,0.000,0.018,0.004,0.026,0.061,0.074,0.062,0.474,0.030
Q9CQL5,"39S ribosomal protein L18, mitochondrial OS=Mus musculus GN=Mrpl18 PE=2 SV=1 [RM18_MOUSE]",3,3,18.9,0.022,0.000,0.000,0.001,0.045,0.167,0.389,0.234,0.134,0.007
Q9CQL7,MORF4 family-associated protein 1 OS=Mus musculus GN=Mrfap1 PE=1 SV=1 [MOFA1_MOUSE],3,3,32.8,0.839,0.000,0.038,0.000,0.000,0.020,0.019,0.033,0.032,0.020
Q9CQP3,Coiled-coil-helix-coiled-coil-helix domain-containing protein 5 OS=Mus musculus GN=Chchd5 PE=3 SV=1 [CHCH5_MOUSE],3,3,50.0,0.021,0.000,0.000,0.000,0.051,0.173,0.386,0.171,0.198,0.000
Q9CQR4,Acyl-coenzyme A thioesterase 13 OS=Mus musculus GN=Acot13 PE=1 SV=1 [ACO13_MOUSE],3,3,28.6,0.006,0.000,0.000,0.001,0.026,0.165,0.446,0.210,0.139,0.008
Q9CQS2,H/ACA ribonucleoprotein complex subunit 3 OS=Mus musculus GN=Nop10 PE=3 SV=1 [NOP10_MOUSE],3,3,62.5,0.231,0.003,0.017,0.009,0.058,0.051,0.043,0.077,0.411,0.099
Q9CQV5,"28S ribosomal protein S24, mitochondrial OS=Mus musculus GN=Mrps24 PE=2 SV=1 [RT24_MOUSE]",3,3,22.8,0.002,0.000,0.000,0.002,0.041,0.132,0.441,0.243,0.132,0.008
Q9CR29,Coiled-coil domain-containing protein 43 OS=Mus musculus GN=Ccdc43 PE=1 SV=1 [CCD43_MOUSE],3,3,14.9,0.521,0.029,0.055,0.017,0.029,0.031,0.042,0.123,0.091,0.062
Q9CR51,V-type proton ATPase subunit G 1 OS=Mus musculus GN=Atp6v1g1 PE=2 SV=3 [VATG1_MOUSE],3,3,33.9,0.104,0.109,0.155,0.094,0.097,0.174,0.110,0.000,0.133,0.025
Q9CR56,NF-kappa-B inhibitor-interacting Ras-like protein 2 OS=Mus musculus GN=Nkiras2 PE=2 SV=1 [KBRS2_MOUSE],3,3,13.6,0.148,0.011,0.021,0.000,0.053,0.073,0.091,0.164,0.402,0.036
Q9CR63,"Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial OS=Mus musculus GN=Cox16 PE=2 SV=1 [COX16_MOUSE]",3,3,28.3,0.047,0.000,0.005,0.004,0.028,0.176,0.361,0.196,0.179,0.005
Q9CR70,EKC/KEOPS complex subunit Lage3 OS=Mus musculus GN=Lage3 PE=2 SV=1 [LAGE3_MOUSE],3,3,33.1,0.720,0.015,0.061,0.006,0.039,0.042,0.022,0.030,0.065,0.000
Q9CR80,Protein FAM32A OS=Mus musculus GN=Fam32a PE=2 SV=1 [FA32A_MOUSE],3,3,24.1,0.166,0.000,0.013,0.001,0.029,0.064,0.084,0.096,0.541,0.007
Q9CRA4,Methylsterol monooxygenase 1 OS=Mus musculus GN=Msmo1 PE=2 SV=1 [MSMO1_MOUSE],3,3,12.6,0.003,0.000,0.000,0.005,0.017,0.286,0.408,0.180,0.096,0.006
Q9CRC3,UPF0235 protein C15orf40 homolog OS=Mus musculus PE=2 SV=1 [CO040_MOUSE],3,3,48.4,0.117,0.000,0.005,0.000,0.045,0.128,0.194,0.236,0.265,0.011
Q9CRG1,Transmembrane 7 superfamily member 3 OS=Mus musculus GN=Tm7sf3 PE=2 SV=2 [TM7S3_MOUSE],3,3,5.5,0.011,0.000,0.000,0.008,0.108,0.392,0.224,0.119,0.127,0.010
Q9CWG9,Biogenesis of lysosome-related organelles complex 1 subunit 2 OS=Mus musculus GN=Bloc1s2 PE=1 SV=1 [BL1S2_MOUSE],3,3,38.5,0.345,0.005,0.024,0.000,0.101,0.146,0.104,0.131,0.145,0.000
Q9CWQ0,Diphthine synthase OS=Mus musculus GN=Dph5 PE=2 SV=2 [DPH5_MOUSE],3,3,31.0,0.816,0.000,0.053,0.000,0.011,0.014,0.024,0.043,0.040,0.000
Q9CWU4,UPF0690 protein C1orf52 homolog OS=Mus musculus PE=1 SV=1 [CA052_MOUSE],3,3,22.2,0.796,0.003,0.068,0.000,0.023,0.019,0.022,0.008,0.057,0.005
Q9CX53,Gem-associated protein 6 OS=Mus musculus GN=Gemin6 PE=2 SV=2 [GEMI6_MOUSE],3,3,53.0,0.353,0.002,0.024,0.000,0.020,0.031,0.043,0.045,0.473,0.009
Q9CXU0,Mediator of RNA polymerase II transcription subunit 10 OS=Mus musculus GN=Med10 PE=1 SV=1 [MED10_MOUSE],3,3,37.0,0.187,0.000,0.017,0.000,0.002,0.023,0.043,0.062,0.662,0.004
Q9CY25,Protein MIS12 homolog OS=Mus musculus GN=Mis12 PE=2 SV=1 [MIS12_MOUSE],3,3,24.3,0.376,0.000,0.021,0.000,0.026,0.041,0.069,0.199,0.261,0.006
Q9CYV5,Transmembrane protein 135 OS=Mus musculus GN=Tmem135 PE=2 SV=1 [TM135_MOUSE],3,3,9.8,0.006,0.000,0.003,0.002,0.050,0.131,0.196,0.385,0.209,0.019
Q9CZ92,Centromere protein P OS=Mus musculus GN=Cenpp PE=2 SV=1 [CENPP_MOUSE],3,3,13.6,0.171,0.000,0.000,0.000,0.011,0.055,0.114,0.280,0.345,0.024
Q9CZC8,Secernin-1 OS=Mus musculus GN=Scrn1 PE=1 SV=1 [SCRN1_MOUSE],3,3,13.0,0.760,0.022,0.061,0.011,0.043,0.038,0.029,0.027,0.010,0.000
Q9CZD5,"Translation initiation factor IF-3, mitochondrial OS=Mus musculus GN=Mtif3 PE=1 SV=1 [IF3M_MOUSE]",3,3,13.4,0.018,0.004,0.005,0.004,0.093,0.159,0.386,0.197,0.127,0.007
Q9CZG3,COMM domain-containing protein 8 OS=Mus musculus GN=Commd8 PE=2 SV=1 [COMD8_MOUSE],3,3,18.0,0.396,0.000,0.026,0.002,0.023,0.087,0.081,0.099,0.278,0.007
Q9CZT4-2,Isoform 2 of DNA-directed RNA polymerase III subunit RPC5 OS=Mus musculus GN=Polr3e [RPC5_MOUSE],3,3,10.2,0.347,0.000,0.018,0.000,0.019,0.082,0.102,0.194,0.233,0.004
Q9CZV5,STAGA complex 65 subunit gamma OS=Mus musculus GN=Supt7l PE=2 SV=1 [ST65G_MOUSE],3,3,14.8,0.327,0.000,0.017,0.000,0.029,0.041,0.093,0.183,0.276,0.033
Q9D084,Centromere protein S OS=Mus musculus GN=Apitd1 PE=2 SV=1 [CENPS_MOUSE],3,3,18.3,0.131,0.000,0.008,0.004,0.020,0.083,0.121,0.391,0.220,0.022
Q9D0V8,Cyclin-dependent kinase 2-interacting protein OS=Mus musculus GN=Cinp PE=2 SV=1 [CINP_MOUSE],3,3,15.1,0.200,0.000,0.026,0.000,0.010,0.038,0.063,0.138,0.525,0.000
Q9D1F4,Proline-rich AKT1 substrate 1 OS=Mus musculus GN=Akt1s1 PE=1 SV=1 [AKTS1_MOUSE],3,3,13.6,0.215,0.074,0.057,0.060,0.121,0.100,0.097,0.099,0.165,0.011
Q9D273,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial OS=Mus musculus GN=Mmab PE=1 SV=1 [MMAB_MOUSE]",3,3,13.9,0.010,0.000,0.000,0.004,0.089,0.182,0.392,0.190,0.132,0.000
Q9D289,Trafficking protein particle complex subunit 6B OS=Mus musculus GN=Trappc6b PE=2 SV=1 [TPC6B_MOUSE],3,3,15.8,0.231,0.004,0.011,0.008,0.098,0.105,0.094,0.090,0.359,0.000
Q9D2H6-2,Isoform 2 of Transcription factor Sp2 OS=Mus musculus GN=Sp2 [SP2_MOUSE],3,3,6.6,0.274,0.000,0.018,0.004,0.027,0.052,0.081,0.140,0.395,0.009
Q9D2U5,"N-alpha-acetyltransferase 38, NatC auxiliary subunit OS=Mus musculus GN=Naa38 PE=2 SV=1 [LSMD1_MOUSE]",3,3,34.4,0.300,0.000,0.023,0.000,0.033,0.035,0.067,0.100,0.435,0.006
Q9D2V5,Protein AAR2 homolog OS=Mus musculus GN=Aar2 PE=2 SV=3 [AAR2_MOUSE],3,3,15.4,0.437,0.006,0.029,0.000,0.029,0.034,0.035,0.077,0.307,0.046
Q9D4G9,RecQ-mediated genome instability protein 1 OS=Mus musculus GN=Rmi1 PE=2 SV=1 [RMI1_MOUSE],3,3,6.7,0.178,0.000,0.009,0.000,0.017,0.075,0.127,0.350,0.237,0.007
Q9D600,DNA replication complex GINS protein PSF2 OS=Mus musculus GN=Gins2 PE=2 SV=1 [PSF2_MOUSE],3,3,18.9,0.678,0.004,0.042,0.000,0.028,0.042,0.037,0.090,0.078,0.002
Q9D6J1,Ceramide synthase 4 OS=Mus musculus GN=Cers4 PE=1 SV=1 [CERS4_MOUSE],3,3,12.2,0.051,0.002,0.008,0.004,0.053,0.274,0.311,0.169,0.121,0.008
Q9D6L8,Peptidyl-prolyl cis-trans isomerase-like 3 OS=Mus musculus GN=Ppil3 PE=2 SV=1 [PPIL3_MOUSE],3,3,24.8,0.457,0.000,0.026,0.000,0.018,0.031,0.036,0.075,0.351,0.005
Q9D6V8,Polyadenylate-binding protein-interacting protein 2 OS=Mus musculus GN=Paip2 PE=2 SV=1 [PAIP2_MOUSE],3,3,57.3,0.724,0.000,0.041,0.000,0.016,0.050,0.076,0.051,0.041,0.000
Q9D7A6,Signal recognition particle 19 kDa protein OS=Mus musculus GN=Srp19 PE=2 SV=1 [SRP19_MOUSE],3,3,35.4,0.544,0.003,0.040,0.000,0.035,0.048,0.053,0.100,0.165,0.011
Q9D7B7,Probable glutathione peroxidase 8 OS=Mus musculus GN=Gpx8 PE=2 SV=1 [GPX8_MOUSE],3,3,15.8,0.003,0.000,0.002,0.005,0.154,0.304,0.310,0.141,0.077,0.004
Q9D7E3,Ovarian cancer-associated gene 2 protein homolog OS=Mus musculus GN=Ovca2 PE=2 SV=1 [OVCA2_MOUSE],3,3,13.8,0.694,0.000,0.035,0.000,0.024,0.047,0.082,0.057,0.061,0.000
Q9D7X3,Dual specificity protein phosphatase 3 OS=Mus musculus GN=Dusp3 PE=1 SV=1 [DUS3_MOUSE],3,3,33.5,0.819,0.002,0.058,0.000,0.018,0.024,0.021,0.031,0.025,0.002
Q9D7X8,Gamma-glutamylcyclotransferase OS=Mus musculus GN=Ggct PE=1 SV=1 [GGCT_MOUSE],3,3,22.9,0.837,0.005,0.055,0.006,0.029,0.039,0.009,0.009,0.009,0.000
Q9D883,Splicing factor U2AF 35 kDa subunit OS=Mus musculus GN=U2af1 PE=1 SV=4 [U2AF1_MOUSE],3,3,32.2,0.243,0.001,0.015,0.001,0.020,0.047,0.067,0.074,0.526,0.005
Q9D8N2,Protein FAM45A OS=Mus musculus GN=Fam45a PE=2 SV=2 [FA45A_MOUSE],3,3,16.5,0.465,0.007,0.043,0.004,0.063,0.101,0.068,0.095,0.147,0.007
Q9D8T4,Golgi apparatus membrane protein TVP23 homolog B OS=Mus musculus GN=Tvp23b PE=1 SV=1 [TV23B_MOUSE],3,3,10.2,0.008,0.000,0.003,0.007,0.214,0.322,0.242,0.125,0.078,0.002
Q9D8W7,OCIA domain-containing protein 2 OS=Mus musculus GN=Ociad2 PE=1 SV=1 [OCAD2_MOUSE],3,3,16.9,0.086,0.000,0.004,0.000,0.045,0.156,0.359,0.174,0.157,0.021
Q9D8Y1,Transmembrane protein 126A OS=Mus musculus GN=Tmem126a PE=2 SV=1 [T126A_MOUSE],3,3,19.4,0.000,0.000,0.000,0.000,0.027,0.149,0.443,0.220,0.155,0.006
Q9D8Z2,TP53-regulated inhibitor of apoptosis 1 OS=Mus musculus GN=Triap1 PE=2 SV=1 [TRIA1_MOUSE],3,3,36.8,0.053,0.000,0.000,0.004,0.074,0.156,0.415,0.181,0.111,0.006
Q9D8Z6,Autophagy-related protein 101 OS=Mus musculus GN=Atg101 PE=2 SV=1 [ATGA1_MOUSE],3,3,16.5,0.472,0.000,0.016,0.000,0.052,0.067,0.109,0.086,0.199,0.000
Q9D906,Ubiquitin-like modifier-activating enzyme ATG7 OS=Mus musculus GN=Atg7 PE=1 SV=1 [ATG7_MOUSE],3,3,6.6,0.738,0.000,0.033,0.000,0.000,0.051,0.051,0.036,0.090,0.000
Q9DAM5,Mitochondrial thiamine pyrophosphate carrier OS=Mus musculus GN=Slc25a19 PE=2 SV=1 [TPC_MOUSE],3,3,11.0,0.053,0.000,0.000,0.000,0.026,0.168,0.412,0.177,0.164,0.000
Q9DB28,Ribonuclease P/MRP protein subunit POP5 OS=Mus musculus GN=Pop5 PE=2 SV=1 [POP5_MOUSE],3,3,37.9,0.292,0.000,0.022,0.000,0.017,0.020,0.013,0.062,0.574,0.000
Q9DB42,Zinc finger protein 593 OS=Mus musculus GN=Znf593 PE=2 SV=2 [ZN593_MOUSE],3,3,26.1,0.307,0.004,0.030,0.005,0.032,0.056,0.063,0.067,0.402,0.033
Q9DBN9,Probable ATP-dependent RNA helicase DDX59 OS=Mus musculus GN=Ddx59 PE=2 SV=1 [DDX59_MOUSE],3,3,6.5,0.293,0.000,0.012,0.000,0.007,0.044,0.078,0.099,0.453,0.013
Q9DBU0,Transmembrane 9 superfamily member 1 OS=Mus musculus GN=Tm9sf1 PE=2 SV=2 [TM9S1_MOUSE],3,3,8.7,0.005,0.000,0.000,0.000,0.025,0.350,0.349,0.162,0.109,0.000
Q9DBW3,Protein NATD1 OS=Mus musculus GN=Natd1 PE=2 SV=1 [NATD1_MOUSE],3,3,32.7,0.806,0.000,0.046,0.000,0.013,0.029,0.027,0.033,0.046,0.000
Q9DC28,Casein kinase I isoform delta OS=Mus musculus GN=Csnk1d PE=1 SV=2 [KC1D_MOUSE],3,3,26.4,0.163,0.008,0.010,0.000,0.052,0.123,0.072,0.080,0.468,0.025
Q9DCH2,Ribonuclease P protein subunit p20 OS=Mus musculus GN=Pop7 PE=2 SV=1 [POP7_MOUSE],3,3,31.4,0.351,0.000,0.019,0.000,0.012,0.029,0.044,0.061,0.479,0.007
Q9DCJ1,Target of rapamycin complex subunit LST8 OS=Mus musculus GN=Mlst8 PE=1 SV=1 [LST8_MOUSE],3,3,15.6,0.131,0.010,0.009,0.000,0.077,0.106,0.114,0.097,0.456,0.000
Q9EP82,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 OS=Mus musculus GN=Wdr4 PE=2 SV=2 [WDR4_MOUSE],3,3,35.8,0.839,0.000,0.054,0.000,0.014,0.017,0.027,0.022,0.018,0.009
Q9EPL2-2,Isoform 2 of Calsyntenin-1 OS=Mus musculus GN=Clstn1 [CSTN1_MOUSE],3,3,5.2,0.017,0.000,0.004,0.006,0.272,0.255,0.266,0.111,0.061,0.007
Q9EQH4-5,Isoform 5 of Transcription initiation factor TFIID subunit 8 OS=Mus musculus GN=Taf8 [TAF8_MOUSE],3,3,14.5,0.180,0.000,0.011,0.000,0.011,0.043,0.070,0.254,0.420,0.011
Q9EQW7,Kinesin-like protein KIF13A OS=Mus musculus GN=Kif13a PE=1 SV=1 [KI13A_MOUSE],3,3,2.9,0.548,0.000,0.036,0.000,0.029,0.045,0.056,0.170,0.116,0.000
Q9ERN0,Secretory carrier-associated membrane protein 2 OS=Mus musculus GN=Scamp2 PE=2 SV=1 [SCAM2_MOUSE],3,3,12.2,0.027,0.007,0.013,0.030,0.263,0.305,0.198,0.098,0.056,0.003
Q9ESK9,RB1-inducible coiled-coil protein 1 OS=Mus musculus GN=Rb1cc1 PE=1 SV=3 [RBCC1_MOUSE],3,3,2.6,0.376,0.000,0.024,0.000,0.046,0.100,0.095,0.135,0.225,0.000
Q9ESX4-2,Isoform 2 of Nucleolar protein of 40 kDa OS=Mus musculus GN=Zcchc17 [NO40_MOUSE],3,3,19.2,0.328,0.000,0.010,0.000,0.017,0.055,0.073,0.085,0.433,0.000
Q9ET22,Dipeptidyl peptidase 2 OS=Mus musculus GN=Dpp7 PE=2 SV=2 [DPP2_MOUSE],3,3,7.5,0.039,0.000,0.009,0.014,0.288,0.302,0.194,0.114,0.041,0.000
Q9JHI2,tRNA-specific adenosine deaminase 1 OS=Mus musculus GN=Adat1 PE=1 SV=1 [ADAT1_MOUSE],3,3,20.4,0.820,0.004,0.055,0.000,0.009,0.018,0.021,0.028,0.047,0.000
Q9JHJ3,Lysosomal protein NCU-G1 OS=Mus musculus PE=1 SV=1 [NCUG1_MOUSE],3,3,13.1,0.000,0.000,0.000,0.029,0.319,0.310,0.196,0.084,0.063,0.000
Q9JHL1,Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Mus musculus GN=Slc9a3r2 PE=1 SV=2 [NHRF2_MOUSE],3,3,11.3,0.108,0.069,0.059,0.062,0.138,0.191,0.107,0.100,0.123,0.044
Q9JIB4,General transcription factor IIH subunit 2 OS=Mus musculus GN=Gtf2h2 PE=1 SV=1 [TF2H2_MOUSE],3,3,8.1,0.257,0.000,0.006,0.000,0.016,0.040,0.067,0.109,0.505,0.000
Q9JIG8,PRA1 family protein 2 OS=Mus musculus GN=Praf2 PE=2 SV=1 [PRAF2_MOUSE],3,3,20.2,0.015,0.002,0.003,0.009,0.134,0.298,0.279,0.154,0.102,0.003
Q9JJC9,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein OS=Mus musculus GN=Herpud2 PE=2 SV=1 [HERP2_MOUSE],3,3,7.2,0.006,0.000,0.003,0.006,0.188,0.281,0.287,0.147,0.077,0.005
Q9JJX7,Tyrosyl-DNA phosphodiesterase 2 OS=Mus musculus GN=Tdp2 PE=1 SV=1 [TYDP2_MOUSE],3,3,12.4,0.648,0.000,0.040,0.000,0.010,0.049,0.047,0.081,0.117,0.008
Q9JKA5,Cell surface A33 antigen OS=Mus musculus GN=Gpa33 PE=2 SV=2 [GPA33_MOUSE],3,3,14.7,0.013,0.000,0.007,0.000,0.070,0.419,0.279,0.145,0.056,0.012
Q9JKF6,Nectin-1 OS=Mus musculus GN=Pvrl1 PE=1 SV=3 [PVRL1_MOUSE],3,3,10.5,0.060,0.000,0.000,0.007,0.099,0.364,0.256,0.134,0.079,0.000
Q9JKP7,DNA polymerase epsilon subunit 3 OS=Mus musculus GN=Pole3 PE=2 SV=1 [DPOE3_MOUSE],3,3,29.7,0.658,0.000,0.036,0.000,0.016,0.048,0.051,0.122,0.066,0.002
Q9JL62,Glycolipid transfer protein OS=Mus musculus GN=Gltp PE=2 SV=3 [GLTP_MOUSE],3,3,19.1,0.681,0.002,0.042,0.000,0.027,0.051,0.054,0.067,0.075,0.002
Q9JLQ2,ARF GTPase-activating protein GIT2 OS=Mus musculus GN=Git2 PE=1 SV=2 [GIT2_MOUSE],3,3,7.2,0.263,0.006,0.039,0.006,0.025,0.051,0.073,0.109,0.409,0.020
Q9JLR1,Protein transport protein Sec61 subunit alpha isoform 2 OS=Mus musculus GN=Sec61a2 PE=2 SV=3 [S61A2_MOUSE],3,3,6.3,0.029,0.000,0.002,0.004,0.027,0.256,0.343,0.211,0.123,0.006
Q9JLZ8,Single Ig IL-1-related receptor OS=Mus musculus GN=Sigirr PE=1 SV=2 [SIGIR_MOUSE],3,3,13.4,0.027,0.026,0.016,0.019,0.149,0.261,0.228,0.164,0.110,0.000
Q9JM96,Cdc42 effector protein 4 OS=Mus musculus GN=Cdc42ep4 PE=1 SV=1 [BORG4_MOUSE],3,3,12.0,0.230,0.009,0.031,0.027,0.126,0.121,0.096,0.153,0.207,0.000
Q9JMB0,G kinase-anchoring protein 1 OS=Mus musculus GN=Gkap1 PE=1 SV=1 [GKAP1_MOUSE],3,3,8.7,0.129,0.004,0.011,0.007,0.040,0.072,0.079,0.081,0.567,0.012
Q9JMG7,Hepatoma-derived growth factor-related protein 3 OS=Mus musculus GN=Hdgfrp3 PE=1 SV=2 [HDGR3_MOUSE],3,3,18.3,0.170,0.002,0.013,0.000,0.020,0.079,0.115,0.389,0.180,0.032
Q9QWR8,Alpha-N-acetylgalactosaminidase OS=Mus musculus GN=Naga PE=2 SV=2 [NAGAB_MOUSE],3,3,15.9,0.034,0.006,0.005,0.017,0.294,0.302,0.176,0.095,0.070,0.002
Q9QWV9,Cyclin-T1 OS=Mus musculus GN=Ccnt1 PE=1 SV=3 [CCNT1_MOUSE],3,3,4.4,0.295,0.000,0.008,0.000,0.025,0.033,0.054,0.069,0.500,0.016
Q9QXE0,2-hydroxyacyl-CoA lyase 1 OS=Mus musculus GN=Hacl1 PE=1 SV=2 [HACL1_MOUSE],3,3,14.5,0.065,0.000,0.000,0.000,0.013,0.106,0.191,0.347,0.260,0.018
Q9QXG2,Rab proteins geranylgeranyltransferase component A 1 OS=Mus musculus GN=Chm PE=2 SV=1 [RAE1_MOUSE],3,3,7.1,0.526,0.010,0.036,0.007,0.078,0.081,0.092,0.091,0.072,0.007
Q9QXP4,Protein downstream neighbor of Son OS=Mus musculus GN=Donson PE=2 SV=2 [DONS_MOUSE],3,3,8.8,0.245,0.000,0.025,0.000,0.049,0.058,0.067,0.173,0.384,0.000
Q9QXP6-2,Isoform 2 of E3 ubiquitin-protein ligase makorin-1 OS=Mus musculus GN=Mkrn1 [MKRN1_MOUSE],3,3,21.4,0.603,0.002,0.038,0.003,0.028,0.036,0.029,0.059,0.186,0.016
Q9QXV3,Inhibitor of growth protein 1 OS=Mus musculus GN=Ing1 PE=2 SV=1 [ING1_MOUSE],3,3,13.3,0.166,0.000,0.008,0.000,0.003,0.051,0.079,0.238,0.441,0.013
Q9QXV8,Protein sprouty homolog 2 OS=Mus musculus GN=Spry2 PE=2 SV=1 [SPY2_MOUSE],3,3,10.5,0.060,0.000,0.005,0.013,0.114,0.356,0.219,0.133,0.091,0.008
Q9QXZ0,Microtubule-actin cross-linking factor 1 OS=Mus musculus GN=Macf1 PE=1 SV=2 [MACF1_MOUSE],3,3,0.8,0.250,0.000,0.000,0.000,0.076,0.151,0.100,0.104,0.301,0.018
Q9QZB9,Dynactin subunit 5 OS=Mus musculus GN=Dctn5 PE=1 SV=1 [DCTN5_MOUSE],3,3,19.8,0.262,0.000,0.024,0.002,0.039,0.072,0.092,0.155,0.347,0.007
Q9QZN4,F-box only protein 6 OS=Mus musculus GN=Fbxo6 PE=1 SV=1 [FBX6_MOUSE],3,3,11.2,0.339,0.008,0.021,0.000,0.114,0.108,0.110,0.115,0.174,0.011
Q9QZV9,NTF2-related export protein 1 OS=Mus musculus GN=Nxt1 PE=1 SV=2 [NXT1_MOUSE],3,3,25.7,0.155,0.000,0.012,0.000,0.023,0.108,0.134,0.086,0.477,0.006
Q9R008,Mevalonate kinase OS=Mus musculus GN=Mvk PE=2 SV=1 [KIME_MOUSE],3,3,13.2,0.567,0.000,0.025,0.000,0.023,0.046,0.059,0.082,0.194,0.004
Q9R062,Glycogenin-1 OS=Mus musculus GN=Gyg1 PE=2 SV=3 [GLYG_MOUSE],3,3,9.9,0.776,0.000,0.051,0.000,0.022,0.044,0.041,0.031,0.035,0.000
Q9R0A5,Serine/threonine-protein kinase Nek3 OS=Mus musculus GN=Nek3 PE=1 SV=2 [NEK3_MOUSE],3,3,5.3,0.286,0.000,0.021,0.002,0.044,0.056,0.089,0.137,0.341,0.022
Q9R0G8,Nik-related protein kinase OS=Mus musculus GN=Nrk PE=1 SV=2 [NRK_MOUSE],3,3,4.5,0.079,0.101,0.025,0.068,0.203,0.180,0.153,0.097,0.082,0.013
Q9R0P4,Small acidic protein OS=Mus musculus GN=Smap PE=1 SV=1 [SMAP_MOUSE],3,3,22.1,0.810,0.012,0.053,0.001,0.018,0.015,0.025,0.020,0.015,0.030
Q9R1V7-2,Isoform Beta of Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus GN=Adam23 [ADA23_MOUSE],3,3,6.9,0.012,0.000,0.000,0.006,0.072,0.345,0.318,0.138,0.109,0.000
Q9R210,Transcription factor EB OS=Mus musculus GN=Tfeb PE=1 SV=2 [TFEB_MOUSE],3,3,11.2,0.089,0.000,0.009,0.000,0.030,0.084,0.119,0.357,0.277,0.034
Q9R257,Heme-binding protein 1 OS=Mus musculus GN=Hebp1 PE=1 SV=2 [HEBP1_MOUSE],3,3,38.9,0.443,0.000,0.031,0.004,0.023,0.126,0.184,0.087,0.098,0.004
Q9WTJ4,Flt3-interacting zinc finger protein 1 OS=Mus musculus GN=Fiz1 PE=1 SV=1 [FIZ1_MOUSE],3,3,5.2,0.376,0.000,0.029,0.000,0.048,0.032,0.060,0.106,0.328,0.021
Q9WTK2-2,Isoform 2 of Chromodomain Y-like protein OS=Mus musculus GN=Cdyl [CDYL_MOUSE],3,3,5.0,0.234,0.000,0.013,0.000,0.033,0.103,0.110,0.204,0.303,0.000
Q9WTZ0,Protein UXT OS=Mus musculus GN=Uxt PE=2 SV=1 [UXT_MOUSE],3,3,20.4,0.239,0.000,0.018,0.000,0.000,0.034,0.051,0.102,0.555,0.000
Q9WU00,Nuclear respiratory factor 1 OS=Mus musculus GN=Nrf1 PE=2 SV=2 [NRF1_MOUSE],3,3,9.4,0.166,0.000,0.000,0.000,0.018,0.070,0.123,0.343,0.260,0.020
Q9WUB4,Dynactin subunit 6 OS=Mus musculus GN=Dctn6 PE=1 SV=1 [DCTN6_MOUSE],3,3,22.1,0.183,0.011,0.026,0.007,0.067,0.133,0.099,0.131,0.317,0.026
Q9WUD8,Fas apoptotic inhibitory molecule 1 OS=Mus musculus GN=Faim PE=1 SV=1 [FAIM1_MOUSE],3,3,13.4,0.627,0.006,0.047,0.007,0.050,0.099,0.067,0.040,0.054,0.004
Q9WUP4,Polyprenol reductase OS=Mus musculus GN=Srd5a3 PE=2 SV=2 [PORED_MOUSE],3,3,9.1,0.016,0.000,0.000,0.004,0.096,0.272,0.317,0.177,0.113,0.005
Q9WV96,Mitochondrial import inner membrane translocase subunit Tim10 B OS=Mus musculus GN=Timm10b PE=2 SV=1 [T10B_MOUSE],3,3,43.0,0.011,0.002,0.008,0.008,0.072,0.158,0.380,0.188,0.161,0.012
Q9WVL5,MORC family CW-type zinc finger protein 1 OS=Mus musculus GN=Morc1 PE=2 SV=1 [MORC1_MOUSE],3,3,2.8,0.254,0.000,0.023,0.000,0.039,0.057,0.070,0.210,0.340,0.007
