Majority protein IDs,Protein names,Gene names,Organellar Markers,Ratio H/L R1_C2_03,Ratio H/L R1_C2_06,Ratio H/L R1_C2_12,Ratio H/L R1_C2_24,Ratio H/L R1_C2_80,Ratio H/L R1_C6_03,Ratio H/L R1_C6_06,Ratio H/L R1_C6_12,Ratio H/L R1_C6_24,Ratio H/L R1_C6_80,Ratio H/L R1_Con_03,Ratio H/L R1_Con_06,Ratio H/L R1_Con_12,Ratio H/L R1_Con_24,Ratio H/L R1_Con_80,Ratio H/L R2_C2_03,Ratio H/L R2_C2_06,Ratio H/L R2_C2_12,Ratio H/L R2_C2_24,Ratio H/L R2_C2_80,Ratio H/L R2_C6_03,Ratio H/L R2_C6_06,Ratio H/L R2_C6_12,Ratio H/L R2_C6_24,Ratio H/L R2_C6_80,Ratio H/L R2_Con_03,Ratio H/L R2_Con_06,Ratio H/L R2_Con_12,Ratio H/L R2_Con_24,Ratio H/L R2_Con_80,Ratio H/L R3_C2_03,Ratio H/L R3_C2_06,Ratio H/L R3_C2_12,Ratio H/L R3_C2_24,Ratio H/L R3_C2_80,Ratio H/L R3_C6_03,Ratio H/L R3_C6_06,Ratio H/L R3_C6_12,Ratio H/L R3_C6_24,Ratio H/L R3_C6_80,Ratio H/L R3_Con_03,Ratio H/L R3_Con_06,Ratio H/L R3_Con_12,Ratio H/L R3_Con_24,Ratio H/L R3_Con_80
O14561,"Acyl carrier protein, mitochondrial",NDUFAB1,,0.42264,0.8203,8.7204,14.066,16.15,0.38883,0.80937,8.7708,13.57,16.553,0.38653,0.79051,8.9456,15.106,15.355,0.43915,0.69462,7.9202,13.455,15.68,0.41662,0.57454,7.9575,13.278,14.473,0.69402,0.61177,7.5745,14.307,14.43,0.45836,0.62683,7.5269,14.596,14.426,0.39203,0.59608,6.2107,15.62,16.471,0.45228,0.62748,6.2763,13.886,15.853
Q8N183,"Mimitin, mitochondrial",NDUFAF2,,0.40104,0.86703,8.4926,5.3007,10.481,0.38593,0.75279,5.936,12.226,11.061,0.34935,0.75567,7.0027,11.224,11.598,0.45624,0.67744,6.481,9.8491,8.0976,0.39886,0.59438,4.9468,7.7284,11.269,0.46287,0.61388,4.9314,9.6876,9.9863,0.39817,0.66969,4.9488,10.242,8.624,0.41204,0.65793,4.4066,10.804,9.1391,0.37987,0.66787,4.5146,10.115,8.466
O96000;O96000-2,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,,0.39772,0.77172,4.5377,9.9105,18.033,0.31883,0.75706,6.4421,10.764,5.5861,0.30149,0.71726,3.6871,7.9005,17.532,0.39019,0.60988,6.2589,10.35,5.0524,0.35164,0.54191,5.641,4.9357,11.788,0.3977,0.54057,2.8119,9.6213,13.433,0.3648,0.65009,5.4867,35.094,5.5381,0.36962,0.66144,4.3336,7.1698,4.8356,0.33225,0.62234,3.3977,9.5613,7.6981
O75306;O75306-2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",NDUFS2,,0.39095,0.77375,6.7481,3.3255,12.259,0.34735,0.7354,6.1962,4.9424,7.2011,0.28669,0.74698,6.9453,3.5759,4.0671,0.43022,0.6636,4.5729,4.9527,9.0122,0.37702,0.57949,3.7952,2.4641,6.6356,0.43649,0.53854,5.1241,8.9367,6.5529,0.36709,0.69332,3.8612,1.942,2.988,0.38507,0.6546,2.4785,3.2156,5.632,0.36067,0.66143,4.8708,4.139,2.6848
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",NDUFS3,,0.39001,0.76004,8.1965,12.835,11.348,0.35002,0.76897,7.8327,5.6591,14.153,0.33804,0.74754,7.7528,12.91,12.318,0.43768,0.72302,6.3328,9.5469,11.911,0.37205,0.57961,5.9908,10.492,13.62,0.45264,0.5902,6.2327,11.221,11.979,0.36847,0.6829,6.2238,4.427,12.057,0.40469,0.66108,4.8548,11.023,12.805,0.34907,0.6652,6.0441,10.403,12.723
P49821;P49821-2,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",NDUFV1,,0.40109,0.79815,10.448,14.529,16.03,0.35066,0.73955,7.8354,15.719,13.846,0.28474,0.75365,6.8963,9.1548,14.171,0.4452,0.68117,7.5331,7.6651,14.676,0.37562,0.59149,6.1639,23.828,11.438,0.46481,0.59953,5.6968,11.046,9.0947,0.40343,0.65701,4.8345,9.8923,1.3535,0.38283,0.70849,5.5515,12.754,7.4661,0.33419,0.66875,4.7382,9.5491,11.565
Q8NHV4;Q8NHV4-3;Q8NHV4-2,Protein NEDD1,NEDD1,,3.1574,1.9276,0.63277,0.40947,0.50964,2.4505,2.101,0.54809,0.38063,0.48631,2.8045,2.2375,0.62664,0.45045,0.52762,3.4727,2.2552,0.50509,0.36787,0.42307,3.5233,1.8108,0.45287,0.37421,0.42993,2.8064,1.9873,0.46114,0.32475,0.37366,4.1639,2.8376,0.69689,0.40899,0.46144,3.6611,2.5512,0.6698,0.50673,0.45288,4.5646,2.5863,0.75774,0.47781,0.61221
O60524;O60524-4;O60524-3;O60524-5,Nuclear export mediator factor NEMF,NEMF,,1.8733,1.5347,1.1433,0.94075,0.38713,2.1194,1.3836,1.0744,0.92202,0.35355,1.7677,1.5701,1.183,1.0037,0.38064,2.0904,1.2454,0.96408,0.84394,0.31939,1.5772,1.2419,0.83978,0.8723,0.30168,1.8875,1.2902,0.87211,0.7082,0.30037,2.7863,1.9549,1.1877,1.0249,0.46265,2.3186,1.6646,1.1883,1.3203,0.44055,2.4525,2.2067,1.3724,1.2063,0.48304
Q9UMX5,Neudesin,NENF,,0.92575,0.58402,1.2752,1.5955,7.9322,0.87403,0.49626,1.0719,1.7706,7.5325,1.0698,0.56505,1.0566,2.0861,1.3086,0.93645,0.48489,0.89309,1.324,7.7223,0.83886,0.43089,0.88855,3.2847,7.3724,1.0494,0.47085,0.77913,2.0358,6.9889,0.94204,0.46696,0.76828,2.0759,7.2868,0.75012,0.52651,0.86289,0.53469,7.214,0.69077,0.35916,0.67717,2.3712,5.0706
P21359;P21359-2;P21359-6;P21359-4,Neurofibromin;Neurofibromin truncated,NF1,,2.7738,1.7724,0.65045,0.47758,0.47295,2.7325,1.8369,0.628,0.4646,0.48163,2.3938,2.1881,0.69869,0.49583,0.57968,2.5745,1.8806,0.60301,0.39967,0.39128,2.0421,1.8221,0.55883,0.40445,0.4234,2.5801,1.5677,0.51265,0.35371,0.37915,3.0601,2.6232,0.75098,0.47001,0.45171,2.157,2.1077,0.7472,0.57809,0.51233,3.3635,2.8147,0.82989,0.49903,0.55532
Q9Y697;Q9Y697-2;Q9Y697-3,"Cysteine desulfurase, mitochondrial",NFS1,,0.43439,0.80672,8.9239,13.035,17.114,0.39532,0.80224,7.9521,11.623,12.292,0.30733,0.80588,9.0005,13.702,12.741,0.46754,0.69794,7.393,12.615,10.721,0.40061,0.59192,6.821,11.621,11.053,0.47937,0.58865,6.9547,10.362,10.685,0.4232,0.68883,7.1908,11.301,10.191,0.43315,0.64877,5.9835,11.565,12.365,0.39721,0.62866,6.5369,13.612,11.25
Q9BYG3,MKI67 FHA domain-interacting nucleolar phosphoprotein,NIFK,,2.094,2.7476,0.86985,0.5812,0.36918,1.7719,2.8138,0.9155,0.56847,0.36789,2.1449,2.7172,0.83731,0.58556,0.43707,2.4083,2.1615,0.72371,0.4499,0.29812,3.0923,2.9192,0.93287,0.69915,0.42975,2.0454,1.8911,0.57442,0.36712,0.27571,2.2057,2.5115,0.62545,0.33909,0.27482,2.3131,2.514,0.72021,0.67442,0.35648,2.3119,2.6047,0.69862,0.44565,0.3696
Q9BPW8,Protein NipSnap homolog 1,NIPSNAP1,,0.41371,0.80158,7.7696,12.01,10.633,0.39133,0.75915,3.0275,10.321,10.245,0.33034,0.76647,8.0916,12.268,12.715,0.46714,0.68884,4.74,11.103,9.8918,0.40202,0.58851,5.4041,10.091,10.51,0.47215,0.59511,6.3002,10.445,10.027,0.37547,0.63858,6.1963,9.7745,10.506,0.38773,0.63728,3.8846,10.837,9.8635,0.38551,0.64577,5.4403,11.907,9.9476
Q9NQR4,Omega-amidase NIT2,NIT2,,0.4328,0.75954,1.3474,1.7787,3.848,0.42754,0.77149,1.532,1.6178,2.4889,0.3438,0.69847,1.2524,1.5618,3.5905,0.46048,0.60436,1.543,1.749,3.5989,0.42465,0.49526,1.2192,1.7526,2.8594,0.5575,0.55615,1.1783,1.4647,2.3687,0.39986,0.6039,0.98937,1.2737,2.2789,0.3657,0.48825,1.2718,2.0585,2.7673,0.35773,0.51425,1.2257,1.429,2.8451
Q96D46,60S ribosomal export protein NMD3,NMD3,,1.5336,1.2767,0.99088,0.95671,0.41755,1.4234,1.1376,1.1707,0.94019,0.39762,1.085,1.2052,1.1659,0.90408,0.36725,1.2407,0.88665,0.8219,0.75768,0.3721,1.1595,0.88449,0.82911,0.75982,0.35635,1.1959,0.90001,0.80877,0.76777,0.4061,1.0936,0.9492,0.95334,0.79705,0.46768,1.2158,1.1238,0.99581,1.1041,0.48726,0.93973,0.95806,0.92742,0.93205,0.45305
P15531;P15531-2,Nucleoside diphosphate kinase A,NME1,,0.45435,0.48099,0.45732,0.55287,1.1953,0.39954,0.58316,0.55749,0.62688,1.2308,0.35897,0.52406,0.51349,0.57868,1.196,0.54453,0.55374,0.51215,0.52915,0.9951,0.48209,0.5114,0.49141,0.65201,1.0405,0.47269,0.48768,0.40488,0.50813,0.94511,0.38027,0.50421,0.46947,0.5488,1.1716,0.39987,0.48771,0.62687,0.82301,1.0125,0.37869,0.49192,0.57068,0.66131,1.0439
P22392-2;P22392;O60361,Nucleoside diphosphate kinase B;Putative nucleoside diphosphate kinase,NME2;NME2P1,,0.47054,0.46658,0.46349,0.60615,1.1403,0.41919,0.52375,0.56273,0.59866,1.1158,0.37848,0.4461,0.51911,0.58082,1.0757,0.51647,0.51677,0.5168,0.52393,1.0017,0.45083,0.50179,0.49754,0.67063,0.94526,0.47649,0.48147,0.3905,0.5228,0.9828,0.36363,0.47765,0.47349,0.51534,1.1247,0.37246,0.46269,0.56813,0.75217,1.0817,0.35397,0.46567,0.51033,0.64191,1.0609
P30419;P30419-2,Glycylpeptide N-tetradecanoyltransferase 1,NMT1,,4.1687,2.1976,0.57423,0.39321,0.46395,3.8154,2.2464,0.59166,0.40441,0.48772,3.8017,2.251,0.60469,0.41357,0.54534,4.3723,2.3951,0.52472,0.34216,0.37459,3.7878,2.2444,0.47349,0.31012,0.37381,4.1219,2.2158,0.43922,0.30326,0.39926,4.4615,3.1272,0.70536,0.40458,0.50739,4.534,2.9228,0.69538,0.48545,0.49131,4.9283,3.3265,0.7791,0.47091,0.5691
Q8NC60,Nitric oxide-associated protein 1,NOA1,,0.39419,0.76227,9.9708,5.2501,4.7887,0.39976,0.72375,4.3852,15.012,7.0407,0.30457,0.77461,2.2787,4.316,5.368,0.45632,0.64204,5.3313,4.2236,3.3989,0.37996,0.61915,4.5793,4.103,9.1287,0.45255,0.58485,4.6275,3.8958,4.6105,0.37063,0.63039,6.9395,4.134,14.24,0.38548,0.60482,5.6828,12.964,6.5489,0.37624,0.612,5.5199,11.141,7.4692
Q9ULX3,RNA-binding protein NOB1,NOB1,,2.4374,1.4447,0.67988,0.52975,0.45872,1.9052,1.3413,0.72305,0.51417,0.44151,1.7707,1.8378,0.77041,0.52873,0.48737,1.764,1.2301,0.60424,0.36947,0.30198,1.4746,1.1131,0.56846,0.44051,0.3767,1.7371,1.1947,0.53606,0.38787,0.36053,1.7512,1.6027,0.76426,0.49075,0.40097,1.7608,1.6138,0.76428,0.67672,0.43836,1.958,2.0607,0.95632,0.62507,0.48262
Q14978-3,Nucleolar and coiled-body phosphoprotein 1,NOLC1,,0.76603,1.4891,0.8483,0.68424,0.60927,0.95626,1.349,0.93309,0.79732,0.63454,0.90819,1.8773,1.0702,0.79231,0.77592,0.99802,1.2136,0.84021,0.59135,0.5126,1.2645,1.2347,0.91661,0.74037,0.65075,0.78116,1.2541,0.72919,0.58934,0.50748,0.76876,0.96364,0.59368,0.41058,0.359,0.8844,0.97977,0.69858,0.69654,0.46356,0.74106,0.99865,0.63169,0.51414,0.4547
Q5JPE7;Q5JPE7-2;P69849;Q5JPE7-3,Nodal modulator 2;Nodal modulator 3,NOMO2;NOMO3,,1.0017,0.50813,1.0187,3.6071,9.7469,0.90201,0.49716,0.97289,3.5194,9.6376,0.82237,0.53925,1.0114,3.8784,12.08,0.92843,0.44769,0.87322,2.9527,9.701,0.87482,0.41296,0.8072,3.036,8.9207,1.0605,0.42243,0.72068,2.6727,9.3951,0.78914,0.46726,0.72742,3.2167,10.032,0.78836,0.47894,0.71905,4.528,11.422,0.71109,0.4087,0.61594,2.8533,10.804
Q15233;Q15233-2,Non-POU domain-containing octamer-binding protein,NONO,,1.7031,2.6199,0.71521,0.47717,0.48018,2.0843,2.1686,0.7067,0.48702,0.49303,2.0486,3.1392,0.90846,0.60035,0.63336,2.3891,2.2458,0.56933,0.36406,0.38114,2.9873,2.1234,0.55209,0.44172,0.43097,1.9402,2.5298,0.49379,0.34085,0.39521,2.3141,2.5905,0.58477,0.33445,0.37956,2.2357,2.1775,0.66974,0.45486,0.3692,2.9131,2.6889,0.65694,0.39602,0.43787
Q9Y3C1;Q9Y3C1-3;Q9Y3C1-2,Nucleolar protein 16,NOP16,,3.6143,2.494,0.81069,0.53807,0.36777,2.8931,3.0072,0.80164,0.54868,0.3566,3.527,2.4083,0.90721,0.61851,0.39078,2.6271,2.4047,0.6635,0.41983,0.2784,3.3238,2.7645,0.81221,0.53622,0.37187,2.6877,2.405,0.61707,0.40829,0.25837,2.592,2.0141,0.70721,0.45166,0.27701,2.628,2.7642,0.8084,0.59768,0.3087,3.1641,2.5286,1.0379,0.6139,0.31858
P46087;P46087-4,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,NOP2,,1.3467,2.4456,0.92391,0.64305,0.41583,1.6212,2.2603,0.98318,0.77853,0.44033,1.7296,2.5451,1.152,0.79723,0.48227,2.3162,3.1697,0.82862,0.52573,0.37104,2.1818,3.0637,0.99294,0.71258,0.47384,1.5872,2.4472,0.66085,0.48384,0.33366,1.8729,1.8902,0.67048,0.41218,0.27954,1.9774,2.0015,0.85216,0.59383,0.35061,1.8176,1.9894,0.71769,0.41592,0.31059
O00567,Nucleolar protein 56,NOP56,,0.97644,1.95,0.76641,0.47994,0.42376,1.2738,2.4085,0.97442,0.5951,0.49717,1.0937,1.4855,1.0418,0.7001,0.57395,1.2359,2.0995,0.82922,0.50134,0.37418,1.5902,2.4291,0.81922,0.60164,0.39808,0.98992,2.2358,0.7522,0.47678,0.37625,1.5307,1.8979,0.69357,0.43497,0.35037,1.4008,2.1418,0.96086,0.68815,0.42806,1.4302,2.0059,0.77465,0.52407,0.39443
Q9Y2X3,Nucleolar protein 58,NOP58,,1.0094,2.187,0.77263,0.53093,0.40097,1.3882,2.3345,0.83942,0.52749,0.4303,1.1539,2.5525,0.85658,0.60867,0.48825,1.4991,2.1116,0.72893,0.46791,0.33317,1.5443,2.0496,0.76838,0.53929,0.35998,1.0597,2.4886,0.66027,0.43466,0.31608,1.5692,2.5129,0.7992,0.45147,0.3729,1.5687,2.1719,0.86408,0.70692,0.4388,1.5258,2.09,0.99234,0.59278,0.42021
Q9Y314,Nitric oxide synthase-interacting protein,NOSIP,,1.9538,1.6897,0.67129,0.47826,0.45802,1.7883,1.4447,0.63784,0.42383,0.41973,1.7359,1.8169,0.69049,0.51458,0.45522,2.2299,1.426,0.58588,0.42889,0.39044,1.8678,1.5147,0.59288,0.49138,0.4029,1.9017,1.2917,0.50273,0.37884,0.35331,1.8406,1.5554,0.6884,0.4765,0.42132,1.998,1.6293,0.73479,0.57358,0.39891,2.3837,1.7378,0.81485,0.55979,0.54966
P55786;P55786-2,Puromycin-sensitive aminopeptidase,NPEPPS,,0.43634,0.53658,0.49419,0.62097,1.4012,0.48744,0.55512,0.56275,0.67789,1.3992,0.36389,0.59156,0.50148,0.58673,1.3781,0.54984,0.51133,0.54425,0.58493,1.2719,0.50197,0.46679,0.4706,0.71336,0.99908,0.5451,0.46871,0.37934,0.49312,1.0032,0.46221,0.48859,0.47983,0.58536,1.4263,0.44667,0.47136,0.59823,0.87963,1.2305,0.43567,0.48317,0.53018,0.68925,1.3223
Q8TAT6;Q8TAT6-2,Nuclear protein localization protein 4 homolog,NPLOC4,,0.89924,0.72288,0.83536,0.84748,0.88425,0.7827,0.63359,0.86707,0.86833,0.98464,0.70348,0.76175,0.80515,0.91135,0.81273,0.81845,0.54999,0.77417,0.84507,0.73797,0.79199,0.54356,0.672,1.0071,0.90891,0.87108,0.5443,0.62259,0.86907,0.82035,0.84064,0.70247,0.73552,0.93495,0.91189,0.86664,0.68178,0.74001,1.4889,1.248,0.88652,0.69652,0.7413,1.0993,1.0144
P06748;P06748-3,Nucleophosmin,NPM1,,2.7122,2.0504,0.68917,0.49809,0.43734,2.4686,1.8843,0.6592,0.46693,0.42184,2.6005,2.3492,0.74749,0.53096,0.47539,3.239,2.3773,0.69465,0.46458,0.39467,3.6482,2.8561,0.89763,0.67302,0.57761,2.8835,2.0988,0.56039,0.40588,0.35332,2.5884,2.0406,0.58922,0.35507,0.3304,2.7807,2.2115,0.69967,0.55086,0.39432,2.8521,2.2677,0.69523,0.45007,0.37746
O75607,Nucleoplasmin-3,NPM3,,2.5035,2.2305,0.69247,0.50522,0.47261,1.84,1.7052,0.60403,0.434,0.4364,2.9317,2.0996,0.73371,0.53154,0.49659,3.1612,1.9627,0.63536,0.4291,0.39591,2.7272,1.9805,0.79153,0.63852,0.54671,2.7502,1.657,0.53539,0.36599,0.36312,2.3432,1.3133,0.60328,0.39223,0.30778,2.3138,1.7576,0.57935,0.50475,0.42418,2.9244,2.0073,0.70674,0.43378,0.46985
Q15818,Neuronal pentraxin-1,NPTX1,,0.94695,0.53022,1.0356,2.9011,4.2681,0.74872,0.48747,0.94587,2.1451,4.0277,0.78063,0.56228,1.1122,2.4017,5.3143,0.84059,0.45133,0.88349,2.1266,4.0164,0.87391,0.43196,0.86937,1.9871,3.9282,1.004,0.41027,0.69132,1.9452,4.6951,0.76593,0.50925,0.75229,2.0986,4.2174,0.69185,0.49615,0.79264,3.1137,4.3807,0.60109,0.40376,0.56399,2.0408,3.2552
P15559;P15559-2,NAD(P)H dehydrogenase [quinone] 1,NQO1,,0.52884,0.58448,0.38774,0.43843,0.938,0.49128,0.50703,0.39627,0.41901,0.81924,0.50119,0.61819,0.39411,0.40588,0.85197,0.60124,0.49946,0.41225,0.4044,0.72913,0.52873,0.44858,0.37891,0.48365,0.70327,0.49329,0.44132,0.26576,0.35845,0.64838,0.4518,0.49655,0.40444,0.40896,0.88978,0.40536,0.40989,0.40888,0.56597,0.7308,0.44551,0.48513,0.43863,0.49906,0.84516
P01111,GTPase NRas,NRAS,,0.59532,0.73753,1.0716,2.0607,4.2043,0.60027,0.62685,0.89518,1.8277,3.8945,0.56195,0.81523,1.0329,1.8332,3.6123,0.61981,0.68018,1.1556,2.0394,4.2249,0.65365,0.74438,1.0238,2.2237,3.9839,0.70779,0.68737,0.88212,1.796,3.7173,0.48422,0.57528,0.77971,1.8339,2.9583,0.44402,0.47789,0.70263,1.9771,3.6219,0.50782,0.52232,0.67551,1.5437,3.7206
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL,,0.96209,0.53143,0.92487,2.3742,5.017,0.89225,0.50828,0.85319,2.2543,5.1602,0.86472,0.5677,0.94565,2.4746,5.2951,0.90689,0.46351,0.80864,1.8647,4.5952,0.83531,0.41314,0.70761,1.7972,4.1089,1.0777,0.44687,0.72053,2.0046,4.7519,0.77149,0.47966,0.64912,2.0513,5.3213,0.79039,0.5012,0.62969,2.9932,4.632,0.6964,0.41172,0.5533,1.9566,5.1619
P46459;P46459-2,Vesicle-fusing ATPase,NSF,,1.0811,0.88862,0.74003,0.74804,0.8366,1.2161,1.2223,0.77021,0.67136,0.67763,0.95221,0.96719,0.76007,0.75137,0.94161,1.0542,0.76415,0.67864,0.68318,0.79106,1.1923,0.89339,0.66868,0.75931,0.74999,1.2253,0.72855,0.58935,0.64575,0.85314,1.259,0.85034,0.69873,0.80191,0.98565,1.3003,0.92453,0.72513,1.0842,1.2351,1.2897,0.88445,0.69549,0.78739,1.0272
Q08J23;Q08J23-2;Q08J23-3,tRNA (cytosine(34)-C(5))-methyltransferase,NSUN2,,1.525,1.5827,0.75239,0.54738,0.45037,1.4516,1.6227,0.73687,0.5421,0.4721,1.2612,1.8181,0.80843,0.56546,0.4924,1.7653,1.5456,0.67309,0.46498,0.38851,1.539,1.2922,0.56505,0.46377,0.39886,1.7787,1.3967,0.5376,0.4168,0.36632,2.3087,2.1845,0.9578,0.63398,0.61016,2.126,1.9884,1.0224,0.82599,0.62918,2.6109,2.5813,1.1001,0.75605,0.69044
Q9H0P0;Q9H0P0-3;Q9H0P0-2;Q9H0P0-1,Cytosolic 5-nucleotidase 3A,NT5C3A,,0.4514,0.77006,4.4026,17.759,4.2764,0.38691,0.7818,4.4498,4.9212,19.293,0.34444,0.75508,5.0224,5.0316,3.3288,0.4526,0.63367,2.2393,2.2882,9.2349,0.36099,0.55833,0.54944,6.1583,12.916,0.46628,0.58103,3.1635,6.6052,2.4371,0.46945,0.69477,3.7711,4.3783,1.7111,0.3834,0.65208,2.3807,2.8893,2.5886,0.34825,0.65177,3.8845,6.8072,3.4249
Q9H857-2;Q9H857-3,5-nucleotidase domain-containing protein 2,NT5DC2,,0.4403,0.88874,7.6633,7.3999,8.7162,0.42072,0.90183,5.8585,8.6708,8.2231,0.34797,0.83077,7.0074,14.257,7.0315,0.43426,0.59545,5.4824,5.6309,4.5936,0.38245,0.55236,5.6081,7.0994,8.0793,0.44216,0.55324,5.1449,7.6657,6.4666,0.37656,0.6555,4.6744,5.6275,6.7088,0.36419,0.59875,3.5968,4.4236,7.4207,0.36767,0.61922,4.187,8.8052,8.5077
Q9BSD7,Cancer-related nucleoside-triphosphatase,NTPCR,,1.3989,1.5829,0.86522,0.64814,0.56813,1.033,1.3568,0.79897,0.62153,0.58327,1.0844,1.5038,0.82896,0.60091,0.5991,1.2694,1.2836,0.8232,0.58496,0.46402,1.2335,1.2879,0.7223,0.54067,0.50988,1.4567,1.3845,0.6894,0.53066,0.45526,1.3173,1.6898,0.87871,0.61031,0.55234,1.1975,1.5144,0.84314,0.66736,0.54842,1.5849,1.7112,0.99581,0.63745,0.60242
Q02818,Nucleobindin-1,NUCB1,,0.59096,0.95625,1.0625,1.0163,1.4276,0.61972,0.89206,1.0424,1.0339,1.4584,0.57325,1.0147,1.1229,1.0053,1.4991,0.65686,0.97214,0.93413,0.92885,1.2296,0.59476,0.74318,0.82066,0.91352,1.1577,0.62508,0.85876,0.82939,0.83837,1.355,0.54513,0.8229,0.64788,0.73695,1.2246,0.67152,0.77684,0.63247,0.98929,1.1646,0.48585,0.65241,0.58139,0.72605,1.0621
P80303;P80303-2,Nucleobindin-2;Nesfatin-1,NUCB2,,0.87342,0.98979,0.80924,0.73938,0.98391,0.89539,0.91475,0.79362,0.71494,0.95223,0.94392,1.0115,0.76112,0.66525,0.9594,0.9998,0.96247,0.75906,0.64059,0.85031,0.86803,0.78263,0.67099,0.65294,0.76566,0.98587,0.92406,0.62735,0.55696,0.85522,0.83208,0.89814,0.59509,0.55499,0.90469,0.98723,0.89607,0.62914,0.79583,0.84418,0.84154,0.85821,0.60308,0.62412,0.94867
Q9Y266,Nuclear migration protein nudC,NUDC,,0.50345,0.57043,0.33689,0.39365,0.84535,0.43044,0.53556,0.37147,0.41034,0.87102,0.40575,0.59087,0.37111,0.45701,1.0565,0.45574,0.43743,0.38293,0.33973,0.65929,0.45661,0.42412,0.34076,0.45447,0.68683,0.37486,0.34011,0.25116,0.32884,0.58439,0.39342,0.4637,0.34471,0.39797,0.77886,0.40442,0.42401,0.38108,0.5872,0.74686,0.38863,0.46972,0.40908,0.50843,0.96411
O43809,Cleavage and polyadenylation specificity factor subunit 5,NUDT21,,2.7795,2.267,0.70322,0.44412,0.38528,1.9397,1.6584,0.66932,0.44532,0.31277,2.7565,2.5222,0.75025,0.52046,0.4362,2.7987,2.076,0.67644,0.39915,0.30195,3.6057,3.0104,1.1426,0.80763,0.62855,2.3283,1.9409,0.5653,0.35565,0.29339,2.1719,2.0625,0.61374,0.35399,0.30951,1.9431,1.8693,0.67622,0.44772,0.30463,2.8042,2.4648,0.76593,0.48897,0.38088
Q9UKK9,ADP-sugar pyrophosphatase,NUDT5,,0.43875,0.41684,0.17638,0.24615,0.65371,0.35893,0.34721,0.22484,0.22446,0.50615,0.46347,0.41556,0.17301,0.20171,0.58123,0.51173,0.34502,0.228,0.26761,0.49749,0.47324,0.27846,0.21977,0.31622,0.49488,0.40582,0.29034,0.13705,0.20266,0.43546,0.36396,0.3269,0.19325,0.27134,0.69114,0.29388,0.27504,0.24901,0.367,0.63405,0.37417,0.29921,0.2771,0.29622,0.70791
Q9BW91;Q9BW91-2,"ADP-ribose pyrophosphatase, mitochondrial",NUDT9,,0.45274,0.72669,2.6165,4.7169,9.8016,0.41418,0.71448,3.4394,4.2678,2.7673,0.35639,0.66313,2.7602,5.9222,8.576,0.56523,0.62445,2.2197,3.2299,6.7243,0.45638,0.52835,2.6511,4.1503,6.8091,0.53412,0.58513,2.1205,3.8449,6.0615,0.40732,0.60622,2.4548,4.3822,11.442,0.43724,0.57939,2.2986,6.3368,7.7312,0.38429,0.50554,2.2073,4.4987,8.8705
Q7Z417,Nuclear fragile X mental retardation-interacting protein 2,NUFIP2,,3.057,1.6136,0.62485,0.41971,0.51932,2.6743,1.5892,0.60042,0.4215,0.49846,2.7771,1.7043,0.64564,0.44875,0.56534,2.9332,1.5391,0.5431,0.34124,0.38701,2.6342,1.4808,0.48428,0.36636,0.39947,3.0597,1.528,0.44961,0.32196,0.39458,3.2547,2.0384,0.68501,0.41136,0.50562,2.997,2.0463,0.68138,0.52335,0.49078,3.3602,2.228,0.73523,0.46501,0.55283
Q9UBU9;Q9UBU9-2,Nuclear RNA export factor 1,NXF1,,1.2701,0.83682,0.84942,0.92864,0.86826,1.276,0.84348,0.80355,0.96779,0.90909,0.9387,0.8683,0.91791,0.98043,1.096,1.3023,0.76923,0.66032,0.62329,0.66537,1.0649,0.63752,0.58781,0.70776,0.69175,1.2341,0.70315,0.77079,0.64943,0.76116,1.261,0.74991,0.71679,0.69308,0.75487,1.2027,0.70534,0.69218,0.9361,0.73819,1.0988,0.57196,0.62136,0.69194,0.67207
Q9Y530,O-acetyl-ADP-ribose deacetylase 1,OARD1,,2.7271,1.841,0.71865,0.56438,0.52453,2.3266,1.7221,0.71434,0.55448,0.51592,2.2767,2.3999,0.73884,0.70921,0.48715,2.0737,1.3628,0.58569,0.49148,0.38186,2.1459,1.5136,0.5797,0.42109,0.44976,2.518,1.5181,0.72714,0.44021,0.41082,2.6688,2.3377,0.90389,0.48334,0.42913,1.443,1.2207,0.65596,0.57218,0.48046,3.3383,2.0618,0.83315,0.61538,0.57883
Q9Y6K5,2-5-oligoadenylate synthase 3,OAS3,,3.2163,1.8923,0.67674,0.48353,0.44111,2.9824,1.953,0.61699,0.44323,0.42002,2.7932,1.9454,0.70327,0.52454,0.50001,3.2365,1.7395,0.58535,0.37761,0.35018,2.8854,1.6347,0.47662,0.32867,0.34614,3.3306,1.3512,0.51298,0.368,0.34066,3.5378,2.174,0.71561,0.39316,0.41773,3.0214,1.9663,0.63348,0.50261,0.42555,3.6646,2.4761,0.79473,0.52783,0.53148
