Lead gene name,Canonical lead protein ID,Majority protein IDs,Protein names,Marker protein?,Prediction,SVM score,Prediction confidence class,Subcellular distribution,Median copy number,Max copy number,Min copy number,Abundance percentile (copy numbers),Median cellular concentration [nM],Max cellular concentration [nM],Min cellular concentration [nM],ppm of total cell mass,Average Nuclear Fraction,Average Membrane,Average Cytosol Fraction,MSMS count,MW (kD)
Gm20695,H3BLK7,H3BLK7,,,,,,Mostly Organellar,33,33,33,1.9%,0.1,0.1,0.0,0.0,0%,100%,0%,1,31.898
Gpr137,Q80ZU9,Q80ZU9;Q3TD99;E9Q9I0;Q3UPL3,Integral membrane protein GPR137,,,,,Mostly Organellar,32,32,32,1.9%,0.1,0.1,0.0,0.0,0%,100%,0%,1,43.573
Iqsec2,Q5DU25,Q5DU25;D3Z5I6;A4GZ26;E9QAD8;D3Z6V7,IQ motif and SEC7 domain-containing protein 2,,,,,Mostly Organellar,32,138,14,1.9%,0.1,0.5,0.1,0.1,0%,100%,0%,10,161.78
Lrp8,B1AXJ4,B1AXJ4,,,,,,Mostly Organellar,32,32,32,1.9%,0.1,0.1,0.0,0.1,0%,100%,0%,1,105.18
Tmem184b,Q8BG09,Q8BG09,Transmembrane protein 184B,,,,,Mostly Organellar,33,72,9,1.9%,0.1,0.3,0.0,0.0,0%,100%,0%,2,45.588
Fan1,Q69ZT1,Q69ZT1;Q69ZT1-3;Q69ZT1-4;Q69ZT1-2,Fanconi-associated nuclease 1,,,,,Organellar with Cytosolic pool,31,45,22,1.8%,0.1,0.2,0.0,0.1,0%,72%,28%,5,112.92
Hjurp,Q6PG16,Q6PG16;E9Q4T0;E9QKG8;Q6PG16-3;Q6PG16-2,Holliday junction recognition protein,,,,,Mostly Organellar,32,33,30,1.8%,0.1,0.1,0.0,0.0,0%,100%,0%,2,74.198
Pum1,Q3TTW5,Q3TTW5,,,,,,Mostly Organellar,31,56,21,1.8%,0.1,0.2,0.1,0.1,0%,100%,0%,5,116.14
Rnf145,Q5SWK7,Q5SWK7;Q8BU61,RING finger protein 145,,,,,Mostly Organellar,32,54,18,1.8%,0.1,0.2,0.1,0.0,0%,100%,0%,3,74.647
Shc3,Q61120,Q61120,SHC-transforming protein 3,,,,,Mostly Organellar,31,37,7,1.8%,0.1,0.1,0.0,0.0,0%,100%,0%,1,52.12
Zfyve26,Q5DU37,Q5DU37;Q5DU37-2,Zinc finger FYVE domain-containing protein 26,,,,,Organellar with Cytosolic pool,31,95,9,1.8%,0.1,0.3,0.0,0.2,0%,78%,22%,3,282.96
Adamts17,E9Q4D1,E9Q4D1;D3YX90,,,,,,,31,619,10,1.7%,0.1,2.2,0.0,0.1,,,,5,124.17
Agtpbp1,Q641K1,Q641K1;Q641K1-5;Q641K1-4;Q641K1-3;Q641K1-2;F6ZCF0,Cytosolic carboxypeptidase 1,,,,,Organellar with Cytosolic pool,31,277,6,1.7%,0.1,1.1,0.0,0.1,0%,67%,33%,3,137.2
Ccdc15,Q8C9M2,Q8C9M2;Q8C9M2-2,Coiled-coil domain-containing protein 15,,,,,Mostly Organellar,30,45,19,1.7%,0.1,0.2,0.0,0.1,0%,100%,0%,3,93.526
Dennd2a,Q8C4S8,Q8C4S8,DENN domain-containing protein 2A,,,,,Mostly Organellar,31,64,19,1.7%,0.1,0.2,0.1,0.1,0%,100%,0%,5,113.09
Fam19a2,A0A0R4J0M7,A0A0R4J0M7;Q7TPG7,Protein FAM19A2,,,,,Mostly Organellar,30,30,30,1.7%,0.1,0.1,0.0,0.0,0%,100%,0%,1,15.121
Lpcat2,Q8BYI6,Q8BYI6;Q8BYI6-2,Lysophosphatidylcholine acyltransferase 2,,,,,Mostly Organellar,31,41,25,1.7%,0.1,0.2,0.1,0.0,0%,100%,0%,3,60.253
Lppr2,Q8VCY8,Q8VCY8-2;A0A087WQF0;Q8VCY8,Lipid phosphate phosphatase-related protein type 2,,,,,Mostly Organellar,31,59,13,1.7%,0.1,0.2,0.0,0.0,0%,100%,0%,4,48.408
Mdga2,P60755,P60755;B2RQF5,MAM domain-containing glycosylphosphatidylinositol anchor protein 2,,,,,Mostly Organellar,31,55,17,1.7%,0.1,0.2,0.0,0.1,0%,100%,0%,3,106.69
Unc13a,Q4KUS2,Q4KUS2;H3BJZ7,Protein unc-13 homolog A,,,,,Mostly Organellar,31,43,18,1.7%,0.1,0.2,0.1,0.1,0%,100%,0%,7,193.78
Abcc5,Q9R1X5,Q9R1X5,Multidrug resistance-associated protein 5,,,,,,29,129,24,1.6%,0.1,0.5,0.0,0.1,,,,5,161.12
Dst,A0A087WPR7,A0A087WPR7,,,,,,Mostly Organellar,29,69,11,1.6%,0.1,0.3,0.0,0.2,0%,86%,14%,13,331.49
Flvcr2,Q91X85,Q91X85;A0A0R4J0E9,Feline leukemia virus subgroup C receptor-related protein 2,,,,,Mostly Organellar,28,144,10,1.6%,0.1,0.5,0.0,0.0,0%,100%,0%,4,60.106
Grik5,Q61626,Q61626;A0A0U1RQ33,"Glutamate receptor ionotropic, kainate 5",,,,,Mostly Organellar,29,46,13,1.6%,0.1,0.2,0.1,0.1,0%,100%,0%,6,109.27
Igsf9,Q05BQ1,Q05BQ1;Q05BQ1-2,Protein turtle homolog A,,,,,Mostly Organellar,29,118,10,1.6%,0.1,0.5,0.0,0.1,0%,100%,0%,4,127.33
Kif14,L0N7N1,L0N7N1;E9Q3T3,Kinesin-like protein KIF14;Kinesin-like protein,,,,,Organellar with Cytosolic pool,29,746,18,1.6%,0.1,2.8,0.1,0.1,0%,76%,24%,9,186.44
Lgi1,Q9JIA1,Q9JIA1;A0A0G2JGE8;A0A0G2JGB7;A0A0G2JFT0,Leucine-rich glioma-inactivated protein 1,,,,,Mostly Organellar,29,44,19,1.6%,0.1,0.2,0.0,0.0,0%,100%,0%,2,63.643
Ogfrl1,Q8VE52,Q8VE52;A0A087WNQ8,Opioid growth factor receptor-like protein 1,,,,,Mostly Organellar,28,42,19,1.6%,0.1,0.2,0.0,0.0,0%,100%,0%,2,52.267
Ttbk1,Q6PCN3,Q6PCN3,Tau-tubulin kinase 1,,,,,Mostly Organellar,29,36,24,1.6%,0.1,0.1,0.0,0.1,0%,100%,0%,4,141.61
Atp11b,Q6DFW5,Q6DFW5;A0A0G2JE89,Phospholipid-transporting ATPase,,,,,Mostly Organellar,27,76,9,1.5%,0.1,0.3,0.0,0.1,0%,100%,0%,9,133.53
Cdh6,P97326,P97326,Cadherin-6,,,,,Mostly Organellar,27,72,15,1.5%,0.1,0.3,0.1,0.0,0%,100%,0%,7,88.354
Kdr,P35918,P35918;Q8VCD0;P35918-2,Vascular endothelial growth factor receptor 2;Receptor protein-tyrosine kinase,,,,,Mostly Organellar,27,76,9,1.5%,0.1,0.3,0.0,0.1,0%,100%,0%,9,152.52
Madd,A2AGQ6,A2AGQ6;A2AGR1;A2AGQ3;A2AGQ8,,,,,,Organellar with Cytosolic pool,27,152,12,1.5%,0.1,0.6,0.0,0.1,0%,76%,24%,8,177.87
Nphp4,P59240,P59240,Nephrocystin-4,,,,,Mostly Organellar,27,80,6,1.5%,0.1,0.3,0.0,0.1,0%,100%,0%,6,157.27
Pbxip1,Q3TVI8,Q3TVI8;D3YY15;D3Z2F0;D3YUE1,Pre-B-cell leukemia transcription factor-interacting protein 1,,,,,Mostly Organellar,27,29,7,1.5%,0.1,0.1,0.0,0.0,0%,100%,0%,1,81.163
Rgs6,Q9Z2H2,Q9Z2H2;A0A087WSJ9;A0A087WPW1;F6WDS8;A0A087WQG6;A0A087WNZ9;A0A087WRP8;A0A087WPC4;A0A087WPD1;A0A0J9YU74;A0A0J9YUY2;A0A0J9YUD1;A0A0J9YUE4;Q3UTM5,Regulator of G-protein signaling 6,,,,,Mostly Organellar,27,82,9,1.5%,0.1,0.3,0.0,0.0,0%,100%,0%,2,54.53
Slc15a2,Q9ES07,Q9ES07;E9QMN8;E9PYQ9,Solute carrier family 15 member 2,,,,,Mostly Organellar,27,38,12,1.5%,0.1,0.1,0.0,0.0,0%,100%,0%,5,81.631
Taf1c,Q6PDZ2,Q6PDZ2,TATA box-binding protein-associated factor RNA polymerase I subunit C,,,,,Mostly Organellar,27,37,9,1.5%,0.1,0.2,0.0,0.0,0%,100%,0%,3,92.022
Arfgef2,A2A5R2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,,,,,Organellar with Cytosolic pool,26,107,12,1.4%,0.1,0.4,0.0,0.1,0%,55%,45%,7,202.24
Arhgef7,Q9ES28,Q9ES28-5,Rho guanine nucleotide exchange factor 7,,,,,Mostly Organellar,26,33,20,1.4%,0.1,0.1,0.0,0.0,0%,100%,0%,3,87.672
Cacnb4,Q8R0S4,Q8R0S4;J3QK20;Q8R0S4-2;Q8R0S4-1,Voltage-dependent L-type calcium channel subunit beta-4,,,,,Mostly Organellar,26,26,26,1.4%,0.1,0.1,0.0,0.0,0%,100%,0%,2,57.949
Cnot4,Q8BT14,Q8BT14-2;Q8BT14,CCR4-NOT transcription complex subunit 4,,,,,Mostly Organellar,26,26,26,1.4%,0.1,0.1,0.0,0.0,0%,100%,0%,1,63.025
Cpeb2,Q812E0,Q812E0;E9Q5X2;A0A0H2UH22;E9Q969,Cytoplasmic polyadenylation element-binding protein 2,,,,,Mostly Organellar,25,100,18,1.4%,0.1,0.4,0.1,0.0,0%,100%,0%,4,58.441
P2ry12,Q9CPV9,Q9CPV9;Q546L4;A0A0G2JGU7,P2Y purinoceptor 12,,,,,Mostly Organellar,26,32,21,1.4%,0.1,0.1,0.0,0.0,0%,100%,0%,1,39.473
Parp16,Q7TMM8,Q7TMM8,Mono [ADP-ribose] polymerase PARP16,,,,,Mostly Organellar,26,108,19,1.4%,0.1,0.4,0.0,0.0,0%,100%,0%,2,36.764
Plekha1,Q8BUL6,Q8BUL6;Q8BUL6-2;D3YU01,Pleckstrin homology domain-containing family A member 1,,,,,Mostly Organellar,26,35,20,1.4%,0.1,0.1,0.0,0.0,0%,100%,0%,2,43.371
Smg7,Q5RJH6,Q5RJH6;Q5RJH6-2,Protein SMG7,,,,,Mostly Organellar,26,38,18,1.4%,0.1,0.2,0.0,0.1,0%,100%,0%,6,126.84
Arhgap42,B2RQE8,B2RQE8,Rho GTPase-activating protein 42,,,,,Mostly Organellar,25,28,23,1.3%,0.1,0.1,0.0,0.0,0%,100%,0%,3,94.635
Cacna1h,O88427,O88427;E9Q6P9;O88427-2;E0CYZ3,Voltage-dependent T-type calcium channel subunit alpha-1H,,,,,Mostly Organellar,25,36,8,1.3%,0.1,0.1,0.0,0.1,0%,100%,0%,10,262.03
Cd38,P56528,P56528;Q4FJL8,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,,,,,Mostly Organellar,25,25,25,1.3%,0.1,0.1,0.0,0.0,0%,100%,0%,1,34.407
Cdh8,P97291,P97291;D6RG94;E9PYB2;Q8C449;E9Q451,Cadherin-8,,,,,Mostly Organellar,25,30,20,1.3%,0.1,0.1,0.0,0.0,0%,100%,0%,4,88.214
Daglb,Q91WC9,Q91WC9,Sn1-specific diacylglycerol lipase beta,,,,,Mostly Organellar,25,58,11,1.3%,0.1,0.2,0.0,0.0,0%,100%,0%,3,73.904
G6pc3,Q6NSQ9,Q6NSQ9,Glucose-6-phosphatase 3,,,,,Mostly Organellar,25,29,13,1.3%,0.1,0.1,0.0,0.0,0%,100%,0%,2,38.781
Lrp11,Q8CB67,Q8CB67;F7AX87;D3Z3A7;D3Z2B1,Low-density lipoprotein receptor-related protein 11,,,,,Mostly Organellar,25,150,18,1.3%,0.1,0.6,0.1,0.0,0%,100%,0%,4,51.813
Ptprt,Q99M80,Q99M80;B1AQN2;Q99M80-4;Q99M80-3;Q99M80-5;Q99M80-2,Receptor-type tyrosine-protein phosphatase T;Protein-tyrosine-phosphatase,,,,,Mostly Organellar,25,35,19,1.3%,0.1,0.1,0.1,0.1,0%,100%,0%,5,163.01
Sgol2,Q7TSY8,Q7TSY8,Shugoshin-like 2,,,,,,25,136,5,1.3%,0.1,0.5,0.0,0.1,,,,2,130.28
Ank3,G5E8K5,G5E8K5;G5E8K3;G5E8K2;S4R2S8;G5E8K5-3;S4R236;S4R2J6;S4R165;G5E8K5-5;G5E8K5-4;S4R2F5,Ankyrin-3,,,,,Mostly Organellar,23,30,18,1.2%,0.1,0.1,0.0,0.1,0%,100%,0%,7,214.06
Dcbld2,Q91ZV3,Q91ZV3,"Discoidin, CUB and LCCL domain-containing protein 2",,,,,Mostly Organellar,23,59,7,1.2%,0.1,0.2,0.0,0.0,0%,100%,0%,5,83.773
Irs2,P81122,P81122,Insulin receptor substrate 2,,,,,Mostly Organellar,25,31,13,1.2%,0.1,0.1,0.1,0.1,0%,100%,0%,3,136.76
Jph3,Q9ET77,Q9ET77,Junctophilin-3,,,,,Mostly Organellar,24,201,10,1.2%,0.1,0.8,0.0,0.0,0%,100%,0%,2,81.228
Leprel4,Q8K2B0,Q8K2B0,Synaptonemal complex protein SC65,,,,,Mostly Organellar,24,50,12,1.2%,0.1,0.2,0.0,0.0,0%,100%,0%,2,51.131
Nrg1,Q6DR99,Q6DR99,,,,,,Mostly Organellar,23,53,10,1.2%,0.1,0.2,0.0,0.0,0%,100%,0%,2,76.504
Ptp4a3,Q9D658,Q9D658;E9PXS4,Protein tyrosine phosphatase type IVA 3,,,,,Mostly Organellar,25,25,25,1.2%,0.1,0.1,0.0,0.0,0%,100%,0%,1,19.652
Usp21,Q9QZL6,Q9QZL6;E9PUE2;A0A0R4J1F5;D6RJJ7,Ubiquitin carboxyl-terminal hydrolase 21;Ubiquitin carboxyl-terminal hydrolase,,,,,Mostly Organellar,24,42,14,1.2%,0.1,0.2,0.0,0.0,0%,100%,0%,3,62.672
Zfp142,Q3V1C1,Q3V1C1;E9PY67;G5E869,,,,,,Mostly Organellar,24,25,23,1.2%,0.1,0.1,0.0,0.1,0%,100%,0%,1,194.82
Atg14,Q8CDJ3,Q8CDJ3,Beclin 1-associated autophagy-related key regulator,,,,,Mostly Organellar,22,31,16,1.1%,0.1,0.1,0.0,0.0,0%,100%,0%,3,55.388
Ddx11,Q6AXC6,Q6AXC6,Probable ATP-dependent RNA helicase DDX11,,,,,Mostly Organellar,23,34,16,1.1%,0.1,0.1,0.0,0.0,0%,100%,0%,2,98.727
Herpud1,Q9JJK5,Q9JJK5;Q8C4N0;Q3TMN9,Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein,,,,,Mostly Organellar,23,27,13,1.1%,0.1,0.1,0.0,0.0,0%,100%,0%,2,43.907
Mfsd6,F6U3S2,F6U3S2;D3Z183;Q8CBH5-2;Q8CBH5,Major facilitator superfamily domain-containing protein 6,,,,,Mostly Organellar,22,34,15,1.1%,0.1,0.1,0.1,0.0,0%,100%,0%,4,62.986
Mmp16,Q9WTR0,Q9WTR0,Matrix metalloproteinase-16,,,,,Mostly Organellar,22,54,9,1.1%,0.1,0.2,0.0,0.0,0%,100%,0%,1,69.571
Myo1d,Q5SYD0,Q5SYD0;Q5SYD0-2,Unconventional myosin-Id,,,,,Mostly Organellar,22,22,22,1.1%,0.1,0.1,0.0,0.0,0%,100%,0%,3,116.08
Txndc11,Q8K2W3,Q8K2W3;Q3TWZ5,Thioredoxin domain-containing protein 11,,,,,,23,163,7,1.1%,0.1,0.6,0.0,0.0,,,,6,105.96
Ubap2l,Q80X50,Q80X50-5,Ubiquitin-associated protein 2-like,,,,,Mostly Organellar,23,47,10,1.1%,0.1,0.2,0.0,0.1,0%,100%,0%,3,117.33
Usp19,Q3UJD6,Q3UJD6;A0A0A6YWN9,Ubiquitin carboxyl-terminal hydrolase 19;Ubiquitin carboxyl-terminal hydrolase,,,,,Mostly Organellar,22,22,22,1.1%,0.1,0.1,0.0,0.1,0%,100%,0%,1,150.55
Anks1a,P59672,P59672;Q3UHP6,Ankyrin repeat and SAM domain-containing protein 1A,,,,,Mostly Organellar,21,60,7,1.0%,0.1,0.2,0.0,0.1,0%,100%,0%,1,125.24
Cdr2,P97817,P97817,Cerebellar degeneration-related protein 2,,,,,Mostly Organellar,21,27,16,1.0%,0.1,0.1,0.1,0.0,0%,100%,0%,2,52.09
Col18a1,E9QPX1,E9QPX1;P39061;P39061-2;P39061-1,Collagen alpha-1(XVIII) chain;Endostatin,,,,,Mostly Organellar,21,51,11,1.0%,0.1,0.2,0.0,0.1,0%,100%,0%,5,182.29
Gucy1a3,Q9ERL9,Q9ERL9,Guanylate cyclase soluble subunit alpha-3,,,,,Organellar with Cytosolic pool,21,263,12,1.0%,0.1,1.0,0.0,0.0,0%,75%,25%,1,77.587
Mllt4,Q9QZQ1,Q9QZQ1;E9Q9C3,Afadin,,,,,Mostly Organellar,21,91,12,1.0%,0.1,0.3,0.0,0.1,0%,88%,12%,6,206.5
Ppp1r12c,F6XWD4,F6XWD4,,,,,,Mostly Organellar,21,61,7,1.0%,0.1,0.2,0.0,0.0,0%,100%,0%,1,76.641
Sema3a,O08665,O08665;E9Q668,Semaphorin-3A,,,,,Mostly Organellar,21,45,18,1.0%,0.1,0.2,0.1,0.0,0%,100%,0%,2,88.812
Sh3d19,Q91X43,Q91X43,SH3 domain-containing protein 19,,,,,Mostly Organellar,21,28,16,1.0%,0.1,0.1,0.0,0.0,0%,100%,0%,3,86.075
Cep89,Q9CZX2,Q9CZX2;E9Q9S2;A0A0U1RNL8,Centrosomal protein of 89 kDa,,,,,Mostly Organellar,19,47,3,0.9%,0.1,0.2,0.0,0.0,0%,100%,0%,1,90.318
Entpd4,Q9DBT4,Q9DBT4-2;Q9DBT4,Ectonucleoside triphosphate diphosphohydrolase 4,,,,,Mostly Organellar,20,26,16,0.9%,0.1,0.1,0.0,0.0,0%,100%,0%,1,68.91
Lzts2,Q91YU6,Q91YU6,Leucine zipper putative tumor suppressor 2,,,,,Mostly Organellar,20,57,7,0.9%,0.1,0.2,0.0,0.0,0%,100%,0%,2,72.577
Pcdhga12,Q91XY7,Q91XY7,,,,,,Mostly Organellar,19,22,12,0.9%,0.1,0.1,0.0,0.0,0%,100%,0%,3,100.83
Plekha6,A0A087WRB7,A0A087WRB7;E9PX43;A0A087WP13,,,,,,Mostly Organellar,20,22,19,0.9%,0.1,0.1,0.0,0.0,0%,100%,0%,1,117.1
Stradb,Q8K4T3,Q8K4T3;A0A0R4J299;Q8K4T3-2,STE20-related kinase adapter protein beta,,,,,Mostly Organellar,19,19,19,0.9%,0.1,0.1,0.0,0.0,0%,100%,0%,1,46.832
Tmem63c,Q8CBX0,Q8CBX0,Calcium permeable stress-gated cation channel 1,,,,,Mostly Organellar,20,24,16,0.9%,0.1,0.1,0.0,0.0,0%,100%,0%,2,93.01
Uggt2,E9Q4X2,E9Q4X2,,,,,,Mostly Organellar,20,51,10,0.9%,0.1,0.2,0.0,0.1,0%,100%,0%,9,172.76
Clasp1,A0A087WRK0,A0A087WRK0;A0A087WQ31;A0A0A6YXZ1,,,,,,Mostly Organellar,19,26,14,0.8%,0.1,0.1,0.0,0.1,0%,100%,0%,2,162.75
Csmd2,V9GX34,V9GX34,,,,,,Mostly Organellar,19,24,7,0.8%,0.1,0.1,0.0,0.1,0%,100%,0%,5,372.54
Fat1,F2Z4A3,F2Z4A3,,,,,,Mostly Organellar,19,31,3,0.8%,0.1,0.1,0.0,0.2,0%,100%,0%,11,506.26
Ltbp3,F8VQ06,F8VQ06;Q61810-2;Q61810,Latent-transforming growth factor beta-binding protein 3,,,,,Mostly Organellar,19,35,17,0.8%,0.1,0.1,0.0,0.0,0%,100%,0%,3,134.36
Poldip3,Q3UDD3,Q3UDD3,,,,,,Mostly Organellar,19,28,14,0.8%,0.1,0.1,0.1,0.0,0%,100%,0%,6,42.935
Reps2,B1AV20,B1AV20;A2AFI8;B9EI38;Q80XA6,RalBP1-associated Eps domain-containing protein 2,,,,,Mostly Organellar,19,19,19,0.8%,0.1,0.1,0.0,0.0,0%,100%,0%,1,57.532
Unc5b,Q8K1S3,Q8K1S3;Q8K1S3-2,Netrin receptor UNC5B,,,,,Mostly Organellar,19,19,19,0.8%,0.1,0.1,0.0,0.0,0%,100%,0%,1,103.74
Fads3,Q9JJE7,Q9JJE7;Q3T9H9,Fatty acid desaturase 3,,,,,Mostly Organellar,18,24,13,0.7%,0.1,0.1,0.0,0.0,0%,100%,0%,2,51.469
Gabrb1,P50571,P50571;P63137;P63137-2;A0A0G2JGS8;Q53WT3;F6WUM4,Gamma-aminobutyric acid receptor subunit beta-1;Gamma-aminobutyric acid receptor subunit beta-2,,,,,Mostly Organellar,18,18,18,0.7%,0.1,0.1,0.0,0.0,0%,100%,0%,1,54.1
Glb1l,Q8VC60,Q8VC60;A0A087WPH5;Q8VC60-2,Beta-galactosidase-1-like protein,,,,,Mostly Organellar,18,20,17,0.7%,0.1,0.1,0.0,0.0,0%,100%,0%,1,73.278
Hs6st1,Q9QYK5,Q9QYK5,Heparan-sulfate 6-O-sulfotransferase 1,,,,,Mostly Organellar,18,18,18,0.7%,0.1,0.1,0.0,0.0,0%,100%,0%,1,48.302
Lifr,P42703,P42703;P42703-2,Leukemia inhibitory factor receptor,,,,,Mostly Organellar,18,49,4,0.7%,0.1,0.2,0.0,0.0,0%,100%,0%,1,122.57
Lmbr1,J3QM78,J3QM78;Q9JIT0-3;Q9JIT0;A0A0G2JFU9;A0A0G2JFX9;Q9JIT0-2,Limb region 1 protein,,,,,,17,630,11,0.7%,0.1,2.2,0.0,0.0,,,,3,51.838
Rap1gds1,Q3TU36,Q3TU36,,,,,,Organellar with Cytosolic pool,18,"1,436",13,0.7%,0.1,5.9,0.0,0.0,0%,76%,24%,2,66.005
Rassf7,Q9DD19,Q9DD19,Ras association domain-containing protein 7,,,,,Mostly Organellar,17,17,17,0.7%,0.1,0.1,0.0,0.0,0%,100%,0%,1,39.246
Slc12a5,Q91V14,Q91V14-2;Q91V14;A0A076FR46,Solute carrier family 12 member 5,,,,,Mostly Organellar,19,20,17,0.7%,0.1,0.1,0.0,0.0,0%,100%,0%,2,123.59
Abca12,E9Q876,E9Q876,,,,,,Mostly Organellar,16,41,7,0.6%,0.1,0.1,0.0,0.1,0%,100%,0%,4,292.59
Akna,Q80VW7,Q80VW7,AT-hook-containing transcription factor,,,,,Mostly Organellar,17,17,17,0.6%,0.1,0.1,0.0,0.1,0%,100%,0%,2,153.12
Chrm3,Q9ERZ3,Q9ERZ3;Q542R4,Muscarinic acetylcholine receptor M3;Muscarinic acetylcholine receptor,,,,,Organellar with Cytosolic pool,17,329,13,0.6%,0.1,1.3,0.0,0.0,0%,69%,31%,1,66.211
Etl4,D3Z781,D3Z781,,,,,,Mostly Organellar,16,18,15,0.6%,0.1,0.1,0.0,0.0,0%,100%,0%,1,146.61
Gareml,Q6PAJ3,Q6PAJ3,GRB2-associated and regulator of MAPK protein-like,,,,,Mostly Organellar,16,84,13,0.6%,0.1,0.3,0.0,0.0,17%,83%,0%,4,93.509
Ggnbp2,Q5SV77,Q5SV77;H7BX83;Q5SV77-2;Q5SV77-4;Q5SV77-3,Gametogenetin-binding protein 2,,,,,Mostly Organellar,16,20,12,0.6%,0.1,0.1,0.0,0.0,0%,100%,0%,4,78.97
Igfbp3,P47878,P47878,Insulin-like growth factor-binding protein 3,,,,,Mostly Organellar,16,16,16,0.6%,0.1,0.1,0.0,0.0,0%,100%,0%,1,31.687
Ltbp1,Q8CG19,Q8CG19;Q8CG19-3;Q8CG19-2,Latent-transforming growth factor beta-binding protein 1,,,,,Mostly Organellar,16,23,12,0.6%,0.1,0.1,0.0,0.1,0%,100%,0%,7,186.72
Pcdhga10,Q91XY9,Q91XY9,,,,,,Mostly Organellar,16,16,16,0.6%,0.1,0.1,0.0,0.0,0%,100%,0%,1,100.89
Aste1,Q8BIR2,Q8BIR2;Q8BIR2-2,Protein asteroid homolog 1,,,,,Mostly Organellar,14,64,4,0.5%,0.1,0.2,0.0,0.0,0%,100%,0%,4,76.369
Gpr98,Q8VHN7,Q8VHN7;B8JJE0,G-protein coupled receptor 98,,,,,Organellar with Cytosolic pool,13,226,6,0.5%,0.0,0.9,0.0,0.2,0%,78%,22%,11,687.45
Mycbp2,F6SMY7,F6SMY7,,,,,,Mostly Organellar,14,38,6,0.5%,0.1,0.1,0.0,0.1,0%,85%,15%,6,509.35
Pianp,Q6P1B3,Q6P1B3;A0A0N4SVY3,PILR alpha-associated neural protein,,,,,Mostly Organellar,15,15,15,0.5%,0.1,0.1,0.0,0.0,0%,100%,0%,1,29.743
Ptpru,B1AUH1,B1AUH1;Q3V360;B1AUH1-2,Receptor-type tyrosine-protein phosphatase U,,,,,Mostly Organellar,14,27,8,0.5%,0.1,0.1,0.0,0.0,0%,100%,0%,1,162.49
Scrib,Q80U72,Q80U72,Protein scribble homolog,,,,,Mostly Organellar,14,38,5,0.5%,0.1,0.1,0.0,0.0,0%,100%,0%,5,174.06
Tmpo,Q61029,Q61029-4;Q61033-2,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma;Lamina-associated polypeptide 2, isoforms alpha/zeta",,,,,Mostly Organellar,15,15,15,0.5%,0.1,0.1,0.0,0.0,0%,100%,0%,1,38.501
Zfp866,Q6PGD2,Q6PGD2,,,,,,Mostly Organellar,13,13,13,0.5%,0.0,0.0,0.0,0.0,0%,100%,0%,1,60.336
Zfp955a,Q80XR7,Q80XR7;L7N232,,,,,,Mostly Organellar,14,114,8,0.5%,0.1,0.4,0.0,0.0,0%,100%,0%,1,64.095
Cacna1b,O55017,O55017;A2AIR9;A2AIR7;O55017-2;A2AIS0,Voltage-dependent N-type calcium channel subunit alpha-1B,,,,,,12,159,12,0.4%,0.0,0.6,0.0,0.1,,,,10,261.48
Dlg1,Q811D0,Q811D0-2;Q811D0-3,Disks large homolog 1,,,,,Mostly Organellar,12,17,6,0.4%,0.1,0.1,0.0,0.0,0%,100%,0%,3,99.629
Fam124a,D3Z5V4,D3Z5V4,,,,,,Mostly Organellar,12,12,12,0.4%,0.1,0.1,0.0,0.0,0%,100%,0%,1,59.28
Fam134b,Q8VE91,Q8VE91;Q8VE91-3;Q8VE91-2;Q8VE91-1,Protein FAM134B,,,,,Mostly Organellar,12,46,9,0.4%,0.0,0.2,0.0,0.0,0%,100%,0%,1,52.966
Gcom1,E9PZ54,E9PZ54;Q3UIJ9;E9Q3C8;E9Q2N5;E9Q565;E9Q8U3,Myocardial zonula adherens protein,,,,,Mostly Organellar,12,143,12,0.4%,0.0,0.5,0.0,0.0,0%,100%,0%,3,63.506
Shroom3,Q9QXN0,Q9QXN0;Q9QXN0-3;A0A0R4J1H8;E9QMY5;Q9QXN0-4;Q9QXN0-2;E9Q6I3,Protein Shroom3,,,,,Mostly Organellar,12,67,2,0.4%,0.0,0.3,0.0,0.0,0%,100%,0%,6,214.89
Trpv2,Q9WTR1,Q9WTR1,Transient receptor potential cation channel subfamily V member 2,,,,,Mostly Organellar,12,12,12,0.4%,0.1,0.1,0.0,0.0,0%,100%,0%,1,85.964
Ttk,P35761,P35761;Q3TPW2;P35761-2,Dual specificity protein kinase TTK,,,,,Mostly Organellar,12,23,6,0.4%,0.0,0.1,0.0,0.0,0%,100%,0%,1,96.21
Adgrf5,G5E8Q8,G5E8Q8,,,,,,Mostly Organellar,11,36,8,0.3%,0.0,0.1,0.0,0.0,0%,100%,0%,3,149.39
Amer1,Q7TS75,Q7TS75,APC membrane recruitment protein 1,,,,,Mostly Organellar,11,17,7,0.3%,0.0,0.1,0.0,0.0,0%,100%,0%,3,124.16
Dock11,A2AF67,A2AF67,,,,,,Mostly Organellar,12,23,6,0.3%,0.0,0.1,0.0,0.0,0%,100%,0%,2,218.24
