ProteinGroupAc,Replicate1 TMT Set1-126,Replicate1 TMT Set2-126,Replicate2 TMT Set1-126,Replicate2 TMT Set2-126,Replicate1 TMT Set1-127C,Replicate1 TMT Set2-127C,Replicate2 TMT Set1-127C,Replicate2 TMT Set2-127C,Replicate1 TMT Set1-127N,Replicate1 TMT Set2-127N,Replicate2 TMT Set1-127N,Replicate2 TMT Set2-127N,Replicate1 TMT Set1-128C,Replicate1 TMT Set2-128C,Replicate2 TMT Set1-128C,Replicate2 TMT Set2-128C,Replicate1 TMT Set1-128N,Replicate1 TMT Set2-128N,Replicate2 TMT Set1-128N,Replicate2 TMT Set2-128N,Replicate1 TMT Set1-129C,Replicate1 TMT Set2-129C,Replicate2 TMT Set1-129C,Replicate2 TMT Set2-129C,Replicate1 TMT Set1-129N,Replicate1 TMT Set2-129N,Replicate2 TMT Set1-129N,Replicate2 TMT Set2-129N,Replicate1 TMT Set1-130C,Replicate1 TMT Set2-130C,Replicate2 TMT Set1-130C,Replicate2 TMT Set2-130C,Replicate1 TMT Set1-130N,Replicate1 TMT Set2-130N,Replicate2 TMT Set1-130N,Replicate2 TMT Set2-130N,Replicate1 TMT Set1-131,Replicate1 TMT Set2-131,Replicate2 TMT Set1-131,Replicate2 TMT Set2-131,Accession,Description,Coverage,Quantified Proteins,Quantified Unique Peptides,Quantified Peptides,Quantified PSMs,Score - Replicate1 TMT Set1,Coverage -  Replicate1 TMT Set1,Quantified Peptides -  Replicate1 TMT Set1,Quantified PSMs -  Replicate1 TMT Set1,Score - Replicate1 TMT Set2,Coverage -  Replicate1 TMT Set2,Quantified Peptides -  Replicate1 TMT Set2,Quantified PSMs -  Replicate1 TMT Set2,Score - Replicate2 TMT Set1,Coverage -  Replicate2 TMT Set1,Quantified Peptides -  Replicate2 TMT Set1,Quantified PSMs -  Replicate2 TMT Set1,Score - Replicate2 TMT Set2,Coverage -  Replicate2 TMT Set2,Quantified Peptides -  Replicate2 TMT Set2,Quantified PSMs -  Replicate2 TMT Set2,markers,SVM Classification,SVM Score,assignment
O75446,0.01,0.019,0.01,0.01,0.014,0.022,0.01,0.012,0.01,0.03,0.01,0.013,0.044,0.046,0.011,0.02,0.049,0.056,0.014,0.028,0.104,0.116,0.031,0.036,0.127,0.199,0.065,0.128,0.14,0.1,0.176,0.098,0.495,0.363,0.491,0.445,0.022,0.037,0.196,0.192,O75446,Histone deacetylase complex subunit SAP30 OS=Homo sapiens GN=SAP30 PE=1 SV=1 - [SAP30_HUMAN],25,1,5,5,12,89.49,13.64,3,3,56.64,8.64,2,2,68.21,11.36,3,3,74.74,19.55,4,4,unknown,NUCLEUS,0.879099003,NUCLEUS
O14807,0.01,0.186,0.029,0.156,0.19,0.163,0.152,0.158,0.016,0.16,0.086,0.181,0.172,0.16,0.146,0.172,0.149,0.134,0.151,0.093,0.113,0.074,0.102,0.09,0.074,0.057,0.096,0.031,0.047,0.049,0.161,0.084,0.026,0.011,0.033,0.01,0.204,0.01,0.044,0.024,O14807,Ras-related protein M-Ras OS=Homo sapiens GN=MRAS PE=1 SV=2 - [RASM_HUMAN],25,1,3,3,5,54.56,4.81,1,1,62.37,4.81,1,1,25.18,7.69,1,1,103.35,20.19,2,2,unknown,PM,0.884451954,unknown
Q6NW34,0.01,0.012,0.01,0.024,0.02,0.019,0.038,0.028,0.01,0.027,0.022,0.028,0.044,0.049,0.031,0.04,0.054,0.063,0.043,0.044,0.085,0.082,0.062,0.061,0.072,0.102,0.065,0.249,0.384,0.271,0.388,0.212,0.236,0.195,0.169,0.145,0.08,0.138,0.157,0.136,Q6NW34-2,Isoform 2 of Uncharacterized protein C3orf17 OS=Homo sapiens GN=C3orf17 - [CC017_HUMAN],24.95,2,14,14,25,118.64,18.31,10,10,79.06,13.08,7,7,43.19,5.23,3,3,72.63,9.46,5,5,unknown,NUCLEUS,0.903762615,NUCLEUS
Q9Y4K4,0.01,0.041,0.024,0.045,0.064,0.042,0.045,0.042,0.012,0.065,0.04,0.049,0.1,0.086,0.057,0.068,0.104,0.111,0.075,0.084,0.138,0.121,0.103,0.087,0.137,0.154,0.107,0.194,0.313,0.253,0.318,0.235,0.109,0.079,0.1,0.095,0.028,0.05,0.095,0.103,Q9Y4K4,Mitogen-activated protein kinase kinase kinase kinase 5 OS=Homo sapiens GN=MAP4K5 PE=1 SV=1 - [M4K5_HUMAN],24.94,1,17,19,35,169.41,10.87,7,7,121.91,8.16,7,8,162.19,13.12,8,9,219.57,17.85,11,11,unknown,NUCLEUS,0.465351223,unknown
Q8NFJ5,0.01,0.111,0.022,0.1,0.231,0.161,0.23,0.238,0.01,0.189,0.095,0.174,0.239,0.166,0.193,0.16,0.164,0.131,0.143,0.087,0.127,0.088,0.127,0.072,0.091,0.06,0.063,0.025,0.027,0.044,0.04,0.06,0.055,0.034,0.075,0.049,0.01,0.01,0.01,0.01,Q8NFJ5,Retinoic acid-induced protein 3 OS=Homo sapiens GN=GPRC5A PE=1 SV=2 - [RAI3_HUMAN],24.93,1,8,8,26,128.42,24.93,7,7,53.52,8.68,2,2,84.16,24.37,5,6,232.17,23.53,7,11,unknown,PM,0.918365388,PM
Q8TA86,0.031,0.024,0.01,0.029,0.139,0.036,0.037,0.091,0.044,0.049,0.03,0.09,0.074,0.075,0.057,0.111,0.034,0.09,0.084,0.12,0.061,0.085,0.097,0.094,0.05,0.077,0.067,0.119,0.152,0.325,0.472,0.265,0.135,0.143,0.119,0.056,0.069,0.087,0.047,0.029,Q8TA86,Retinitis pigmentosa 9 protein OS=Homo sapiens GN=RP9 PE=1 SV=2 - [RP9_HUMAN],24.89,1,7,7,12,48.68,9.5,3,3,45.37,3.62,1,2,48.83,15.84,4,4,51.1,13.57,3,3,unknown,NUCLEUS,0.524715827,unknown
P28676,0.01,0.039,0.028,0.036,0.076,0.064,0.046,0.065,0.01,0.044,0.032,0.049,0.052,0.062,0.06,0.056,0.051,0.045,0.058,0.045,0.068,0.039,0.058,0.051,0.059,0.059,0.05,0.045,0.047,0.027,0.049,0.053,0.038,0.034,0.027,0.023,0.595,0.588,0.592,0.53,P28676,Grancalcin OS=Homo sapiens GN=GCA PE=1 SV=2 - [GRAN_HUMAN],24.88,1,5,5,6,49.28,7.37,2,2,59.3,5.07,1,1,56.7,5.07,1,1,49.07,12.44,2,2,unknown,CYTOSOL,0.874525841,unknown
Q96K76,0.011,0.055,0.013,0.046,0.076,0.048,0.037,0.058,0.01,0.039,0.029,0.045,0.05,0.047,0.041,0.047,0.042,0.048,0.041,0.043,0.053,0.058,0.056,0.05,0.06,0.07,0.057,0.039,0.039,0.035,0.039,0.032,0.035,0.031,0.029,0.026,0.648,0.583,0.601,0.598,Q96K76-4,Isoform 4 of Ubiquitin carboxyl-terminal hydrolase 47 OS=Homo sapiens GN=USP47 - [UBP47_HUMAN],24.87,4,26,27,39,242.21,10.33,11,11,122.52,4.58,6,6,102.17,13.28,12,12,114.45,8.34,9,10,unknown,CYTOSOL,0.915412917,unknown
Q6UW68,0.012,0.066,0.017,0.017,0.134,0.09,0.085,0.082,0.027,0.139,0.102,0.125,0.204,0.163,0.141,0.158,0.202,0.171,0.186,0.188,0.185,0.147,0.222,0.156,0.135,0.098,0.131,0.078,0.039,0.074,0.076,0.104,0.039,0.031,0.015,0.02,0.013,0.01,0.012,0.01,Q6UW68,Transmembrane protein 205 OS=Homo sapiens GN=TMEM205 PE=1 SV=1 - [TM205_HUMAN],24.87,1,5,5,14,141.64,16.93,3,5,81.35,23.28,3,3,63.75,17.46,3,3,62.8,7.94,2,3,unknown,ER,0.960198791,ER
Q9Y385,0.01,0.057,0.01,0.055,0.066,0.086,0.082,0.089,0.01,0.111,0.096,0.128,0.223,0.162,0.184,0.203,0.238,0.16,0.218,0.173,0.211,0.109,0.178,0.134,0.153,0.099,0.127,0.061,0.044,0.086,0.055,0.09,0.019,0.032,0.017,0.013,0.01,0.046,0.017,0.012,Q9Y385,Ubiquitin-conjugating enzyme E2 J1 OS=Homo sapiens GN=UBE2J1 PE=1 SV=2 - [UB2J1_HUMAN],24.84,1,7,7,20,106.76,15.72,4,4,87.03,7.23,2,2,108.42,18.24,5,5,190.05,24.84,7,9,unknown,ER,0.942572509,unknown
O75688,0.024,0.049,0.011,0.039,0.117,0.053,0.057,0.062,0.018,0.041,0.038,0.04,0.055,0.034,0.039,0.044,0.042,0.026,0.031,0.032,0.037,0.023,0.036,0.033,0.027,0.02,0.028,0.019,0.01,0.012,0.014,0.023,0.01,0.012,0.018,0.027,0.663,0.721,0.685,0.689,O75688,Protein phosphatase 1B OS=Homo sapiens GN=PPM1B PE=1 SV=1 - [PPM1B_HUMAN],24.84,5,8,10,24,179.63,9.6,4,5,93.76,11.27,4,5,144.39,19.21,8,9,110.93,11.27,5,5,unknown,CYTOSOL,0.956115683,CYTOSOL
P04216,0.01,0.169,0.012,0.061,0.25,0.164,0.165,0.172,0.01,0.161,0.077,0.166,0.243,0.173,0.176,0.171,0.201,0.131,0.189,0.108,0.118,0.074,0.135,0.098,0.094,0.056,0.098,0.039,0.031,0.036,0.034,0.064,0.043,0.042,0.078,0.064,0.01,0.01,0.011,0.011,P04216,Thy-1 membrane glycoprotein OS=Homo sapiens GN=THY1 PE=1 SV=2 - [THY1_HUMAN],24.84,1,4,4,19,115.96,16.15,3,7,87.86,16.15,3,3,130.08,18.01,2,4,127.6,24.84,4,5,PM,PM,1,PM
Q15119,0.01,0.022,0.01,0.029,0.049,0.041,0.064,0.073,0.013,0.059,0.03,0.081,0.154,0.1,0.084,0.094,0.155,0.157,0.129,0.247,0.278,0.249,0.21,0.187,0.208,0.185,0.139,0.103,0.081,0.135,0.16,0.117,0.038,0.038,0.053,0.027,0.019,0.014,0.043,0.022,Q15119,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Homo sapiens GN=PDK2 PE=1 SV=2 - [PDK2_HUMAN]",24.82,2,6,7,9,47.41,7.13,2,2,43.66,3.93,1,1,68.06,13.76,3,3,69.47,11.06,3,3,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
Q9Y6K9,0.017,0.056,0.01,0.045,0.055,0.051,0.065,0.054,0.015,0.054,0.04,0.04,0.083,0.066,0.075,0.05,0.072,0.066,0.068,0.042,0.086,0.075,0.072,0.059,0.088,0.083,0.064,0.102,0.207,0.174,0.201,0.139,0.023,0.023,0.023,0.018,0.348,0.333,0.336,0.459,Q9Y6K9,NF-kappa-B essential modulator OS=Homo sapiens GN=IKBKG PE=1 SV=2 - [NEMO_HUMAN],24.82,3,11,11,24,95.58,10.5,4,4,106.55,12.65,6,13,47.85,6.21,3,4,48.46,7.88,3,3,unknown,CYTOSOL,0.334987562,unknown
Q9UNS2,0.018,0.049,0.041,0.033,0.081,0.042,0.055,0.05,0.017,0.038,0.027,0.035,0.062,0.042,0.036,0.047,0.053,0.039,0.032,0.039,0.047,0.035,0.042,0.049,0.048,0.05,0.046,0.073,0.044,0.03,0.042,0.036,0.031,0.026,0.022,0.028,0.591,0.631,0.625,0.572,Q9UNS2,COP9 signalosome complex subunit 3 OS=Homo sapiens GN=COPS3 PE=1 SV=3 - [CSN3_HUMAN],24.82,2,8,8,17,26.01,6.38,2,3,56.76,10.4,4,4,74,14.42,4,5,91.21,11.82,4,5,unknown,CYTOSOL,0.806489578,unknown
Q96QZ7,0.01,0.11,0.01,0.072,0.135,0.095,0.094,0.11,0.013,0.087,0.049,0.081,0.127,0.108,0.078,0.094,0.129,0.114,0.091,0.074,0.143,0.108,0.101,0.084,0.113,0.115,0.094,0.107,0.219,0.183,0.26,0.202,0.066,0.047,0.09,0.09,0.028,0.036,0.072,0.073,Q96QZ7-6,"Isoform 6 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Homo sapiens GN=MAGI1 - [MAGI1_HUMAN]",24.81,9,27,28,49,189.1,12.06,15,15,135.72,6.34,8,9,191.2,10.13,12,12,252.93,11.44,12,13,unknown,NUCLEUS,0.407230844,unknown
Q96H20,0.01,0.041,0.018,0.029,0.049,0.047,0.079,0.074,0.01,0.058,0.049,0.068,0.085,0.067,0.08,0.085,0.078,0.075,0.081,0.077,0.129,0.138,0.096,0.087,0.178,0.216,0.122,0.136,0.246,0.176,0.192,0.133,0.081,0.05,0.075,0.069,0.139,0.133,0.206,0.233,Q96H20,Vacuolar-sorting protein SNF8 OS=Homo sapiens GN=SNF8 PE=1 SV=1 - [SNF8_HUMAN],24.81,2,6,6,11,74.77,11.24,3,3,86.11,7.75,2,2,32.52,9.69,2,2,100.82,18.22,4,4,unknown,NUCLEUS,0.588248515,unknown
O75054,0.022,0.169,0.032,0.187,0.26,0.175,0.241,0.235,0.037,0.163,0.154,0.158,0.199,0.146,0.163,0.165,0.127,0.098,0.148,0.08,0.131,0.063,0.105,0.073,0.083,0.045,0.066,0.026,0.041,0.044,0.036,0.051,0.018,0.01,0.016,0.014,0.013,0.029,0.01,0.01,O75054,Immunoglobulin superfamily member 3 OS=Homo sapiens GN=IGSF3 PE=2 SV=3 - [IGSF3_HUMAN],24.79,2,23,23,42,139.76,6.2,7,7,289.29,6.37,6,7,349.14,16.08,14,14,357.4,16.75,13,14,unknown,PM,0.921624206,PM
Q13823,0.01,0.018,0.01,0.015,0.024,0.024,0.036,0.018,0.01,0.035,0.023,0.022,0.046,0.045,0.037,0.035,0.045,0.051,0.043,0.039,0.057,0.057,0.06,0.049,0.048,0.069,0.041,0.217,0.411,0.354,0.537,0.385,0.257,0.262,0.144,0.146,0.066,0.075,0.036,0.064,Q13823,Nucleolar GTP-binding protein 2 OS=Homo sapiens GN=GNL2 PE=1 SV=1 - [NOG2_HUMAN],24.76,1,17,17,36,94.68,10.94,8,8,70.66,6.29,4,5,215.01,16.69,12,13,114.2,14.64,9,10,NUCLEUS,NUCLEUS,1,NUCLEUS
Q96KG9,0.01,0.05,0.017,0.024,0.044,0.063,0.048,0.036,0.01,0.054,0.041,0.042,0.084,0.058,0.066,0.054,0.095,0.082,0.057,0.057,0.176,0.154,0.095,0.084,0.236,0.158,0.118,0.162,0.282,0.114,0.235,0.149,0.042,0.031,0.057,0.061,0.034,0.051,0.25,0.332,Q96KG9-5,Isoform 5 of N-terminal kinase-like protein OS=Homo sapiens GN=SCYL1 - [NTKL_HUMAN],24.76,6,13,13,21,83.65,5.59,4,4,57.8,5.75,3,3,94.23,19.33,9,10,89.73,10.06,4,4,unknown,NUCLEUS,0.611891451,NUCLEUS
Q5VIR6,0.01,0.031,0.01,0.024,0.055,0.037,0.048,0.048,0.01,0.051,0.037,0.056,0.097,0.078,0.063,0.075,0.106,0.093,0.075,0.095,0.178,0.182,0.114,0.107,0.237,0.257,0.127,0.222,0.229,0.181,0.347,0.225,0.06,0.052,0.071,0.062,0.023,0.033,0.086,0.089,Q5VIR6-4,Isoform 4 of Vacuolar protein sorting-associated protein 53 homolog OS=Homo sapiens GN=VPS53 - [VPS53_HUMAN],24.76,4,17,17,23,144.79,6.97,6,6,75.02,9.13,6,6,119.21,7.09,6,6,123.34,7.81,5,5,unknown,NUCLEUS,0.507224742,unknown
Q86TU7,0.01,0.054,0.015,0.03,0.052,0.044,0.036,0.044,0.01,0.048,0.026,0.036,0.072,0.056,0.042,0.055,0.072,0.063,0.056,0.054,0.087,0.09,0.083,0.083,0.113,0.129,0.102,0.15,0.314,0.216,0.373,0.254,0.102,0.086,0.074,0.075,0.173,0.2,0.183,0.216,Q86TU7,Histone-lysine N-methyltransferase setd3 OS=Homo sapiens GN=SETD3 PE=1 SV=1 - [SETD3_HUMAN],24.75,3,12,12,19,119.26,7.41,4,4,80.08,6.57,3,3,95.99,8.59,4,4,127.68,16.16,8,8,unknown,NUCLEUS,0.635820478,NUCLEUS
Q9Y3C0,0.01,0.066,0.014,0.072,0.132,0.109,0.072,0.118,0.01,0.188,0.073,0.132,0.219,0.138,0.106,0.127,0.129,0.099,0.087,0.093,0.138,0.094,0.126,0.082,0.117,0.096,0.088,0.059,0.081,0.064,0.069,0.07,0.048,0.024,0.051,0.027,0.128,0.115,0.256,0.222,Q9Y3C0,WASH complex subunit CCDC53 OS=Homo sapiens GN=CCDC53 PE=1 SV=1 - [CCD53_HUMAN],24.74,1,5,5,8,42.27,13.4,3,3,61.45,10.31,2,2,41.84,13.4,2,2,37.56,7.22,1,1,unknown,PM,0.258269885,unknown
Q99571,0.018,0.242,0.013,0.097,0.279,0.27,0.225,0.278,0.017,0.199,0.211,0.242,0.191,0.112,0.189,0.161,0.104,0.056,0.103,0.06,0.081,0.033,0.065,0.047,0.069,0.027,0.046,0.015,0.098,0.023,0.056,0.051,0.113,0.014,0.015,0.012,0.031,0.016,0.018,0.01,Q99571,P2X purinoceptor 4 OS=Homo sapiens GN=P2RX4 PE=1 SV=2 - [P2RX4_HUMAN],24.74,3,8,8,27,108.58,10.57,3,5,236.53,14.43,5,7,199.13,19.07,5,7,224.05,22.42,6,8,unknown,LYSOSOME,0.741522405,unknown
Q9BW60,0.016,0.048,0.013,0.07,0.089,0.08,0.06,0.09,0.062,0.131,0.061,0.111,0.185,0.161,0.128,0.186,0.2,0.195,0.186,0.188,0.203,0.158,0.204,0.155,0.151,0.109,0.18,0.069,0.037,0.082,0.095,0.081,0.01,0.02,0.03,0.011,0.032,0.016,0.017,0.023,Q9BW60,Elongation of very long chain fatty acids protein 1 OS=Homo sapiens GN=ELOVL1 PE=1 SV=1 - [ELOV1_HUMAN],24.73,2,4,4,20,80.37,4.3,1,2,154.2,9.32,2,6,141.28,24.73,4,6,182.88,13.98,3,6,unknown,ER,0.947811817,unknown
Q15796,0.011,0.037,0.01,0.036,0.035,0.05,0.045,0.048,0.01,0.064,0.028,0.053,0.089,0.084,0.06,0.067,0.074,0.115,0.064,0.065,0.122,0.111,0.081,0.075,0.146,0.1,0.065,0.109,0.291,0.214,0.344,0.239,0.068,0.045,0.062,0.073,0.156,0.161,0.214,0.232,Q15796-2,Isoform Short of Mothers against decapentaplegic homolog 2 OS=Homo sapiens GN=SMAD2 - [SMAD2_HUMAN],24.71,2,5,9,20,285.58,17.85,5,6,98.79,14.19,5,5,148.16,13.5,5,5,72.79,9.15,4,4,unknown,NUCLEUS,0.452551685,unknown
Q13057,0.01,0.031,0.01,0.022,0.038,0.033,0.04,0.044,0.01,0.037,0.019,0.045,0.081,0.054,0.041,0.052,0.084,0.078,0.06,0.109,0.164,0.106,0.136,0.088,0.145,0.1,0.083,0.061,0.08,0.09,0.089,0.081,0.016,0.023,0.027,0.024,0.385,0.415,0.495,0.467,Q13057,Bifunctional coenzyme A synthase OS=Homo sapiens GN=COASY PE=1 SV=4 - [COASY_HUMAN],24.65,2,9,9,12,59.95,1.95,1,1,106,11.88,6,6,105.91,8.16,3,3,76.65,10.64,2,2,unknown,CYTOSOL,0.497064243,unknown
P19174,0.01,0.058,0.012,0.061,0.096,0.059,0.069,0.077,0.013,0.051,0.042,0.059,0.077,0.056,0.053,0.066,0.069,0.057,0.058,0.054,0.073,0.066,0.06,0.058,0.082,0.083,0.057,0.054,0.154,0.113,0.085,0.061,0.019,0.028,0.021,0.023,0.409,0.374,0.512,0.455,P19174-2,"Isoform 2 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 OS=Homo sapiens GN=PLCG1 - [PLCG1_HUMAN]",24.63,2,25,25,49,272.72,11.39,12,14,199.44,6.82,8,9,213.94,13.4,13,13,204.71,11.7,11,13,unknown,CYTOSOL,0.646169897,unknown
P49773,0.01,0.059,0.01,0.019,0.113,0.041,0.058,0.043,0.01,0.032,0.025,0.033,0.052,0.026,0.035,0.029,0.038,0.03,0.033,0.019,0.02,0.025,0.029,0.015,0.014,0.021,0.022,0.01,0.01,0.013,0.01,0.01,0.026,0.029,0.021,0.01,0.732,0.723,0.768,0.821,P49773,Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2 - [HINT1_HUMAN],24.6,1,4,4,9,43.04,19.05,2,2,22.67,11.11,1,1,92.2,24.6,4,4,71.76,12.7,2,2,unknown,CYTOSOL,0.930767448,unknown
Q9Y4J8,0.012,0.072,0.063,0.076,0.1,0.09,0.105,0.091,0.013,0.123,0.09,0.105,0.19,0.168,0.127,0.156,0.191,0.161,0.177,0.105,0.157,0.101,0.105,0.122,0.123,0.085,0.077,0.089,0.117,0.107,0.086,0.111,0.076,0.062,0.09,0.068,0.022,0.032,0.033,0.079,Q9Y4J8-13,Isoform 13 of Dystrobrevin alpha OS=Homo sapiens GN=DTNA - [DTNA_HUMAN],24.6,16,10,16,31,181.39,16.98,11,11,129.22,11.86,7,8,129.64,9.22,5,5,120.86,12.59,7,7,unknown,ER,0.633507612,unknown
Q99666,0.01,0.017,0.01,0.015,0.052,0.019,0.045,0.04,0.018,0.034,0.019,0.052,0.084,0.067,0.055,0.065,0.085,0.084,0.079,0.138,0.13,0.137,0.143,0.108,0.154,0.133,0.104,0.167,0.222,0.226,0.299,0.254,0.201,0.254,0.178,0.131,0.019,0.024,0.028,0.024,Q99666,RANBP2-like and GRIP domain-containing protein 5/6 OS=Homo sapiens GN=RGPD5 PE=1 SV=3 - [RGPD5_HUMAN],24.59,3,11,41,76,231.52,9.92,18,19,317.27,9.07,13,14,321.41,14.16,22,23,248.08,10.48,18,20,unknown,NUCLEUS,0.44171784,unknown
P34949,0.01,0.059,0.043,0.026,0.073,0.04,0.064,0.053,0.01,0.034,0.045,0.03,0.066,0.041,0.065,0.031,0.05,0.028,0.066,0.024,0.041,0.028,0.057,0.03,0.038,0.041,0.063,0.027,0.019,0.026,0.067,0.017,0.025,0.015,0.014,0.015,0.613,0.678,0.516,0.752,P34949-2,Isoform 2 of Mannose-6-phosphate isomerase OS=Homo sapiens GN=MPI - [MPI_HUMAN],24.59,2,5,5,8,48.74,8.84,2,2,49.97,2.49,1,2,0,2.49,1,1,53.94,13.26,2,3,unknown,CYTOSOL,0.944072142,CYTOSOL
P15848,0.027,0.277,0.039,0.108,0.365,0.242,0.205,0.2,0.019,0.175,0.223,0.183,0.22,0.106,0.187,0.151,0.128,0.065,0.129,0.075,0.073,0.045,0.072,0.063,0.054,0.033,0.052,0.042,0.058,0.041,0.056,0.077,0.011,0.01,0.015,0.014,0.02,0.013,0.015,0.02,P15848,Arylsulfatase B OS=Homo sapiens GN=ARSB PE=1 SV=1 - [ARSB_HUMAN],24.58,3,12,12,19,77.71,8.26,4,4,162.6,10.13,6,7,100.46,7.32,2,2,143.65,13.88,6,6,LYSOSOME,LYSOSOME,1,LYSOSOME
Q6PI78,0.01,0.031,0.01,0.013,0.037,0.044,0.076,0.052,0.01,0.076,0.036,0.079,0.114,0.106,0.094,0.087,0.149,0.18,0.151,0.321,0.353,0.224,0.359,0.212,0.246,0.188,0.187,0.087,0.071,0.124,0.079,0.153,0.014,0.019,0.01,0.01,0.015,0.01,0.01,0.01,Q6PI78,Transmembrane protein 65 OS=Homo sapiens GN=TMEM65 PE=1 SV=2 - [TMM65_HUMAN],24.58,1,6,6,25,160.97,22.92,5,8,80.85,14.58,3,3,120.23,15,4,6,145.71,22.92,5,8,unknown,MITOCHONDRIA,0.908355136,unknown
O75127,0.013,0.021,0.01,0.035,0.041,0.03,0.084,0.071,0.015,0.065,0.054,0.089,0.104,0.097,0.09,0.114,0.13,0.164,0.142,0.29,0.32,0.267,0.293,0.181,0.219,0.178,0.174,0.077,0.066,0.126,0.082,0.109,0.037,0.031,0.034,0.026,0.012,0.01,0.013,0.012,O75127,"Pentatricopeptide repeat-containing protein 1, mitochondrial OS=Homo sapiens GN=PTCD1 PE=1 SV=2 - [PTCD1_HUMAN]",24.57,1,12,13,22,71.72,13,6,7,83.34,4.43,4,4,90.69,6.86,4,4,84.62,13.71,7,7,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
Q9UPT8,0.01,0.01,0.01,0.013,0.012,0.01,0.013,0.011,0.01,0.019,0.01,0.011,0.027,0.032,0.011,0.018,0.036,0.043,0.016,0.025,0.068,0.069,0.027,0.033,0.071,0.083,0.031,0.07,0.282,0.274,0.154,0.115,0.335,0.277,0.399,0.355,0.161,0.153,0.284,0.265,Q9UPT8,Zinc finger CCCH domain-containing protein 4 OS=Homo sapiens GN=ZC3H4 PE=1 SV=3 - [ZC3H4_HUMAN],24.56,1,19,19,36,269.72,10.59,7,8,232.68,10.97,9,11,219.19,10.21,8,8,336.78,12.82,9,9,unknown,NUCLEUS,0.800388855,NUCLEUS
Q6PJF5,0.022,0.158,0.05,0.127,0.216,0.154,0.167,0.15,0.035,0.167,0.131,0.138,0.228,0.173,0.17,0.198,0.193,0.14,0.185,0.113,0.116,0.082,0.121,0.1,0.086,0.056,0.083,0.039,0.033,0.051,0.037,0.079,0.011,0.01,0.01,0.012,0.01,0.01,0.01,0.02,Q6PJF5-2,Isoform 2 of Inactive rhomboid protein 2 OS=Homo sapiens GN=RHBDF2 - [RHDF2_HUMAN],24.55,2,18,18,27,177.89,10.88,7,7,252.58,14.03,10,10,125.65,11,6,6,109.46,8.34,4,4,unknown,PM,0.94510544,PM
Q9NPQ8,0.01,0.07,0.013,0.054,0.105,0.072,0.097,0.081,0.01,0.066,0.058,0.069,0.087,0.069,0.07,0.079,0.074,0.053,0.073,0.059,0.063,0.051,0.069,0.063,0.068,0.054,0.064,0.061,0.032,0.037,0.036,0.043,0.037,0.02,0.014,0.015,0.561,0.504,0.355,0.457,Q9NPQ8-4,Isoform 4 of Synembryn-A OS=Homo sapiens GN=RIC8A - [RIC8A_HUMAN],24.53,8,9,9,19,152.2,11.89,5,5,120.6,7.36,3,3,197.47,14.34,4,5,137.31,11.51,5,6,unknown,CYTOSOL,0.709943026,unknown
Q9UNY4,0.01,0.044,0.01,0.032,0.054,0.051,0.046,0.048,0.016,0.069,0.031,0.044,0.106,0.09,0.046,0.055,0.104,0.099,0.059,0.082,0.15,0.136,0.098,0.086,0.173,0.193,0.105,0.143,0.134,0.097,0.125,0.074,0.198,0.138,0.26,0.221,0.034,0.053,0.186,0.194,Q9UNY4,Transcription termination factor 2 OS=Homo sapiens GN=TTF2 PE=1 SV=2 - [TTF2_HUMAN],24.53,2,24,25,37,215.27,12.13,13,13,161.31,7.23,9,9,104.09,8.26,8,8,96.87,8.95,7,7,unknown,NUCLEUS,0.577956034,unknown
Q9BXJ8,0.01,0.071,0.01,0.051,0.134,0.105,0.086,0.109,0.01,0.119,0.058,0.159,0.214,0.159,0.173,0.18,0.212,0.194,0.194,0.174,0.19,0.12,0.208,0.148,0.138,0.115,0.135,0.063,0.047,0.089,0.067,0.084,0.043,0.042,0.05,0.033,0.015,0.01,0.013,0.01,Q9BXJ8-2,Isoform 2 of Transmembrane protein 120A OS=Homo sapiens GN=TMEM120A - [T120A_HUMAN],24.53,2,6,6,16,66.3,5.9,2,2,120.39,11.18,3,4,154.42,17.7,4,5,130.11,18.01,5,5,unknown,ER,0.953514452,unknown
Q8N6T7,0.01,0.023,0.01,0.023,0.137,0.029,0.045,0.027,0.011,0.035,0.034,0.033,0.128,0.068,0.047,0.045,0.112,0.081,0.063,0.086,0.146,0.132,0.11,0.081,0.151,0.207,0.167,0.266,0.12,0.114,0.14,0.108,0.156,0.183,0.223,0.227,0.035,0.127,0.148,0.117,Q8N6T7,NAD-dependent protein deacetylase sirtuin-6 OS=Homo sapiens GN=SIRT6 PE=1 SV=2 - [SIR6_HUMAN],24.51,2,7,7,9,41.88,5.92,2,2,47.98,3.66,1,1,78.04,11.55,3,3,86.89,12.96,3,3,unknown,NUCLEUS-CHROMATIN,0.443083649,unknown
