Protein Group Information,,,,Normalized TMT 10-plex reporter ion values,,,,,,,,,
UniProt ID,UniProt Description,Peptides,PSMs,126,127N,127C,128N,128C,129N,129C,130N,130C,131
Q8BVA2,Transmembrane protein 222 GN=Tmem222 PE=2 SV=1 - [TM222_MOUSE],1,4,0.0434,0.1096,0.0983,0.0923,0.1559,0.2249,0.0951,0.0751,0.0418,0.0636
Q8K5B2,Multiple coagulation factor deficiency protein 2 homolog GN=Mcfd2 PE=2 SV=1 - [MCFD2_MOUSE],1,4,0.0288,0.0353,0.0421,0.0481,0.1122,0.2470,0.1884,0.1597,0.0283,0.1101
Q8R409,Protein HEXIM1 GN=Hexim1 PE=1 SV=1 - [HEXI1_MOUSE],1,4,0.4523,0.0317,0.0676,0.0200,0.0343,0.0466,0.0400,0.0656,0.1080,0.1340
Q8VD00,Transmembrane protein 97 GN=Tmem97 PE=2 SV=1 - [TMM97_MOUSE],1,4,0.0216,0.1013,0.0956,0.0692,0.1499,0.1485,0.0948,0.1416,0.0380,0.1394
Q99KC7,Small cell adhesion glycoprotein GN=Smagp PE=3 SV=2 - [SMAGP_MOUSE],1,4,0.0079,0.3908,0.2741,0.1269,0.0853,0.0419,0.0342,0.0112,0.0180,0.0097
Q99L28,Probable ribosome biogenesis protein RLP24 GN=Rsl24d1 PE=2 SV=1 - [RLP24_MOUSE],1,4,0.2394,0.0311,0.0389,0.0153,0.0286,0.0394,0.0568,0.1002,0.3107,0.1396
Q9CPX8,Cytochrome b-c1 complex subunit 10 GN=Uqcr11 PE=2 SV=1 - [QCR10_MOUSE],1,4,0.0241,0.0255,0.0247,0.0122,0.0318,0.0824,0.2633,0.2156,0.0978,0.2225
Q9CQ89,Protein CutA GN=Cuta PE=2 SV=3 - [CUTA_MOUSE],1,4,0.2760,0.1480,0.1345,0.0543,0.0759,0.1053,0.0879,0.0686,0.0106,0.0389
Q9CQW9,Interferon-induced transmembrane protein 3 GN=Ifitm3 PE=1 SV=1 - [IFM3_MOUSE],1,4,0.1295,0.2203,0.2045,0.0892,0.1044,0.0841,0.0442,0.0505,0.0314,0.0419
O35680,"28S ribosomal protein S12, mitochondrial GN=Mrps12 PE=2 SV=1 - [RT12_MOUSE]",1,3,0.0354,0.0349,0.0405,0.0221,0.0396,0.1044,0.2262,0.2195,0.0756,0.2018
P00848,ATP synthase subunit a GN=Mtatp6 PE=2 SV=1 - [ATP6_MOUSE],1,3,0.0934,0.0801,0.0640,0.0328,0.0524,0.0592,0.1934,0.1585,0.0769,0.1893
P07146,Anionic trypsin-2 GN=Prss2 PE=2 SV=1 - [TRY2_MOUSE],1,3,0.1088,0.1464,0.1255,0.0983,0.1219,0.0677,0.0454,0.0967,0.0806,0.1087
P35279,Ras-related protein Rab-6A GN=Rab6a PE=1 SV=4 - [RAB6A_MOUSE],1,3,0.0202,0.1375,0.2436,0.1197,0.1290,0.1435,0.0865,0.0521,0.0241,0.0437
P36536,GTP-binding protein SAR1a GN=Sar1a PE=2 SV=1 - [SAR1A_MOUSE],1,3,0.2988,0.1273,0.1105,0.0637,0.0519,0.0956,0.0479,0.0688,0.0475,0.0881
P49282-2,Isoform 1 of Natural resistance-associated macrophage protein 2 GN=Slc11a2 - [NRAM2_MOUSE],1,3,0.0174,0.1183,0.1707,0.1403,0.2590,0.1442,0.0485,0.0477,0.0135,0.0404
P56393,"Cytochrome c oxidase subunit 7B, mitochondrial GN=Cox7b PE=2 SV=1 - [COX7B_MOUSE]",1,3,0.0351,0.0233,0.0223,0.0137,0.0213,0.0346,0.1882,0.2711,0.1102,0.2802
P61957,Small ubiquitin-related modifier 2 GN=Sumo2 PE=2 SV=1 - [SUMO2_MOUSE],1,3,0.1731,0.0310,0.0458,0.0198,0.0278,0.0385,0.0919,0.1179,0.3301,0.1241
P61963,DDB1- and CUL4-associated factor 7 GN=Dcaf7 PE=2 SV=1 - [DCAF7_MOUSE],1,3,0.1947,0.1448,0.1110,0.0663,0.1092,0.0930,0.0536,0.0753,0.0665,0.0857
P61979-3,Isoform 3 of Heterogeneous nuclear ribonucleoprotein K GN=Hnrnpk - [HNRPK_MOUSE],1,3,0.1293,0.0593,0.0540,0.0274,0.0396,0.0612,0.0788,0.1015,0.3125,0.1364
P62874;P29387,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 GN=Gnb1 PE=1 SV=3 - [GBB1_MOUSE]|Guanine nucleotide-binding protein subunit beta-4 GN=Gnb4 PE=2 SV=4 - [GBB4_MOUSE],1,3,0.0000,0.3710,0.2015,0.1532,0.1378,0.0650,0.0281,0.0229,0.0039,0.0165
P62880;P62874,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 GN=Gnb2 PE=1 SV=3 - [GBB2_MOUSE]|Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 GN=Gnb1 PE=1 SV=3 - [GBB1_MOUSE],1,3,0.0000,0.2757,0.2532,0.0815,0.1946,0.0624,0.0409,0.0370,0.0000,0.0547
P97379,Ras GTPase-activating protein-binding protein 2 GN=G3bp2 PE=1 SV=2 - [G3BP2_MOUSE],1,3,0.1180,0.0671,0.0747,0.0274,0.0531,0.0660,0.0545,0.1306,0.0617,0.3470
Q3V0A6,Uncharacterized protein C2orf78 homolog GN=Gm5592 PE=2 SV=1 - [CB078_MOUSE],1,3,0.0350,0.3703,0.1315,0.1157,0.0847,0.1210,0.0449,0.0355,0.0298,0.0317
Q4KML4,Costars family protein ABRACL GN=Abracl PE=3 SV=1 - [ABRAL_MOUSE],1,3,0.4034,0.1555,0.1267,0.0478,0.0670,0.0743,0.0349,0.0553,0.0152,0.0198
Q61025-2,Isoform 2 of Intraflagellar transport protein 20 homolog GN=Ift20 - [IFT20_MOUSE],1,3,0.1965,0.0650,0.0756,0.0234,0.0596,0.0899,0.0689,0.1468,0.1471,0.1275
Q62136,Tyrosine-protein phosphatase non-receptor type 21 GN=Ptpn21 PE=1 SV=1 - [PTN21_MOUSE],1,3,0.1131,0.2390,0.1473,0.0506,0.0998,0.0969,0.0538,0.0823,0.0245,0.0926
Q62280,Protein SSXT GN=Ss18 PE=2 SV=2 - [SSXT_MOUSE],1,3,0.1181,0.0241,0.0296,0.0185,0.0284,0.0481,0.0744,0.2130,0.2246,0.2213
Q7M6Y3-5,Isoform 5 of Phosphatidylinositol-binding clathrin assembly protein GN=Picalm - [PICA_MOUSE],1,3,0.0397,0.1611,0.0757,0.0607,0.0807,0.1393,0.1092,0.1379,0.0800,0.1157
Q7TMM9,Tubulin beta-2A chain GN=Tubb2a PE=1 SV=1 - [TBB2A_MOUSE],1,3,0.3352,0.1060,0.0981,0.0618,0.0893,0.0904,0.0479,0.0623,0.0427,0.0664
Q80TN7,Neuron navigator 3 GN=Nav3 PE=1 SV=2 - [NAV3_MOUSE],1,3,0.1409,0.1572,0.0864,0.0572,0.0925,0.0886,0.0612,0.1227,0.0705,0.1227
Q8BMG8,Mitochondrial folate transporter/carrier GN=Slc25a32 PE=2 SV=1 - [MFTC_MOUSE],1,3,0.0306,0.0547,0.0367,0.0317,0.0833,0.1281,0.2255,0.1548,0.0802,0.1742
Q8BUR9,Mitotic-spindle organizing protein 1 GN=Mzt1 PE=1 SV=1 - [MZT1_MOUSE],1,3,0.1467,0.1002,0.0909,0.0537,0.0633,0.0768,0.1018,0.1191,0.1033,0.1442
Q91VC7,Protein phosphatase 1 regulatory subunit 14A GN=Ppp1r14a PE=2 SV=1 - [PP14A_MOUSE],1,3,0.2072,0.0792,0.0792,0.0447,0.0541,0.0443,0.0637,0.1674,0.0994,0.1609
Q924N4-2,Isoform 2 of Solute carrier family 12 member 6 GN=Slc12a6 - [S12A6_MOUSE],1,3,0.0000,0.0760,0.0529,0.0848,0.2458,0.2679,0.1457,0.0822,0.0000,0.0447
Q99JI6;P62835,Ras-related protein Rap-1b GN=Rap1b PE=2 SV=2 - [RAP1B_MOUSE]|Ras-related protein Rap-1A GN=Rap1a PE=2 SV=1 - [RAP1A_MOUSE],1,3,0.0000,0.1113,0.1257,0.0691,0.3029,0.1129,0.0406,0.1492,0.0208,0.0675
Q9CQZ0-2,Isoform 2 of ORM1-like protein 2 GN=Ormdl2 - [ORML2_MOUSE],1,3,0.0296,0.0642,0.0832,0.0606,0.1546,0.1922,0.1000,0.1586,0.0326,0.1241
Q9CWV6,PRKR-interacting protein 1 GN=Prkrip1 PE=1 SV=2 - [PKRI1_MOUSE],1,3,0.2300,0.0378,0.0580,0.0313,0.0356,0.0488,0.0586,0.1072,0.2185,0.1743
Q9CX84,Regulator of G-protein signaling 19 GN=Rgs19 PE=2 SV=1 - [RGS19_MOUSE],1,3,0.0443,0.3218,0.1783,0.1218,0.1512,0.0843,0.0325,0.0240,0.0216,0.0200
Q9D1K7,UPF0687 protein C20orf27 homolog PE=2 SV=3 - [CT027_MOUSE],1,3,0.2014,0.1037,0.0835,0.0565,0.0819,0.0763,0.0533,0.1695,0.0323,0.1416
Q9DB91,Mediator of RNA polymerase II transcription subunit 29 GN=Med29 PE=2 SV=1 - [MED29_MOUSE],1,3,0.2186,0.0419,0.0531,0.0430,0.0607,0.0844,0.0718,0.1202,0.1280,0.1783
Q9DBG9,Tax1-binding protein 3 GN=Tax1bp3 PE=1 SV=1 - [TX1B3_MOUSE],1,3,0.0823,0.2883,0.1771,0.0860,0.0801,0.0864,0.0575,0.0431,0.0466,0.0527
Q9QZV9,NTF2-related export protein 1 GN=Nxt1 PE=1 SV=2 - [NXT1_MOUSE],1,3,0.1319,0.0247,0.0380,0.0208,0.0551,0.0684,0.0780,0.1564,0.2346,0.1920
Q9WVK0,Type-1 angiotensin II receptor-associated protein GN=Agtrap PE=1 SV=2 - [ATRAP_MOUSE],1,3,0.0043,0.0456,0.1257,0.1257,0.3024,0.2791,0.0652,0.0360,0.0000,0.0160
Q9Z0G9-2,Isoform 2 of Claudin-3 GN=Cldn3 - [CLD3_MOUSE],1,3,0.0149,0.2694,0.1861,0.1100,0.1831,0.0957,0.0421,0.0454,0.0236,0.0297
Q9Z110,Delta-1-pyrroline-5-carboxylate synthase GN=Aldh18a1 PE=2 SV=2 - [P5CS_MOUSE],1,3,0.0000,0.0281,0.0260,0.0108,0.0316,0.0991,0.2688,0.2313,0.0805,0.2237
Q9Z204,Heterogeneous nuclear ribonucleoproteins C1/C2 GN=Hnrnpc PE=1 SV=1 - [HNRPC_MOUSE]|Isoform C1 of Heterogeneous nuclear ribonucleoproteins C1/C2 GN=Hnrnpc - [HNRPC_MOUSE],1,3,0.1171,0.0295,0.0391,0.0095,0.0295,0.0277,0.0599,0.0726,0.5188,0.0964
Q9Z2H5-3,Isoform 3 of Band 4.1-like protein 1 GN=Epb41l1 - [E41L1_MOUSE],1,3,0.0333,0.3394,0.1509,0.0985,0.1577,0.0906,0.0497,0.0306,0.0182,0.0310
A2AQ14,Protein Mis18-beta GN=Oip5 PE=2 SV=1 - [MS18B_MOUSE],1,2,0.1093,0.0290,0.0419,0.0200,0.0260,0.0540,0.1153,0.1722,0.2501,0.1822
A2ASZ8-2,Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-2 GN=Slc25a25 - [SCMC2_MOUSE],1,2,0.0340,0.0214,0.0377,0.0186,0.0520,0.0860,0.2028,0.2391,0.0731,0.2353
E9Q4S1,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B GN=Pde8b PE=2 SV=1 - [PDE8B_MOUSE]",1,2,0.0863,0.0557,0.0445,0.1214,0.1390,0.0789,0.1211,0.0917,0.1732,0.0882
F7BWT7-2,Isoform 2 of Tetraspanin-15 GN=Tspan15 - [TSN15_MOUSE],1,2,0.0591,0.1962,0.1148,0.1005,0.1407,0.1191,0.0571,0.0821,0.0693,0.0612
O08542,Ephrin-A4 GN=Efna4 PE=2 SV=2 - [EFNA4_MOUSE],1,2,0.0466,0.1488,0.1193,0.0773,0.1352,0.1053,0.0784,0.1259,0.0510,0.1122
O09008,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe GN=Mfng PE=1 SV=1 - [MFNG_MOUSE]",1,2,0.0677,0.0552,0.0396,0.0315,0.0629,0.0722,0.1346,0.1743,0.1709,0.1910
O09118,Netrin-1 GN=Ntn1 PE=1 SV=3 - [NET1_MOUSE],1,2,0.0871,0.1066,0.1529,0.0943,0.1298,0.1317,0.0760,0.0824,0.0596,0.0797
O35235-3,Isoform 3 of Tumor necrosis factor ligand superfamily member 11 GN=Tnfsf11 - [TNF11_MOUSE],1,2,0.0263,0.0973,0.0907,0.0709,0.1459,0.1201,0.0876,0.1442,0.0768,0.1402
O35445,E3 ubiquitin-protein ligase RNF5 GN=Rnf5 PE=1 SV=1 - [RNF5_MOUSE],1,2,0.1430,0.0409,0.0480,0.0405,0.0866,0.1559,0.1016,0.1139,0.1285,0.1411
O70445,BRCA1-associated RING domain protein 1 GN=Bard1 PE=2 SV=1 - [BARD1_MOUSE],1,2,0.1463,0.0245,0.0238,0.0092,0.0391,0.0722,0.1043,0.1873,0.2219,0.1714
O70622-2,Isoform 2 of Reticulon-2 GN=Rtn2 - [RTN2_MOUSE],1,2,0.0341,0.0802,0.0782,0.0664,0.1336,0.1778,0.0675,0.1429,0.0388,0.1806
O88878,AN1-type zinc finger protein 5 GN=Zfand5 PE=1 SV=1 - [ZFAN5_MOUSE],1,2,0.2227,0.0497,0.0613,0.0321,0.0078,0.0480,0.1190,0.1655,0.1426,0.1514
P03899,NADH-ubiquinone oxidoreductase chain 3 GN=Mtnd3 PE=3 SV=3 - [NU3M_MOUSE],1,2,0.0128,0.0257,0.0328,0.0212,0.0404,0.0919,0.1766,0.2776,0.0665,0.2544
P09528,Ferritin heavy chain GN=Fth1 PE=1 SV=2 - [FRIH_MOUSE],1,2,0.0274,0.0887,0.1621,0.1431,0.2525,0.1486,0.0549,0.0556,0.0159,0.0511
P17047;P17047-3,Lysosome-associated membrane glycoprotein 2 GN=Lamp2 PE=2 SV=2 - [LAMP2_MOUSE]|Isoform LAMP-2C of Lysosome-associated membrane glycoprotein 2 GN=Lamp2 - [LAMP2_MOUSE],1,2,0.0000,0.0895,0.1531,0.1756,0.2559,0.2034,0.0581,0.0478,0.0000,0.0167
P28662,Brain protein I3 GN=Bri3 PE=2 SV=2 - [BRI3_MOUSE],1,2,0.0564,0.0844,0.1362,0.1157,0.2198,0.0902,0.0535,0.1133,0.0302,0.1004
P30999-3,Isoform 3 of Catenin delta-1 GN=Ctnnd1 - [CTND1_MOUSE],1,2,0.1405,0.1575,0.1406,0.0803,0.1535,0.0844,0.0777,0.0655,0.0470,0.0529
P31695,Neurogenic locus notch homolog protein 4 GN=Notch4 PE=1 SV=2 - [NOTC4_MOUSE],1,2,0.0265,0.1235,0.1352,0.0608,0.1668,0.1108,0.1266,0.1573,0.0000,0.0924
P32883-2,Isoform 2B of GTPase KRas GN=Kras - [RASK_MOUSE],1,2,0.0236,0.1933,0.1549,0.1250,0.2482,0.0917,0.0467,0.0485,0.0305,0.0376
P35276,Ras-related protein Rab-3D GN=Rab3d PE=1 SV=1 - [RAB3D_MOUSE],1,2,0.0135,0.1337,0.1110,0.0628,0.1043,0.2010,0.1277,0.1137,0.0353,0.0971
P39054,Dynamin-2 GN=Dnm2 PE=1 SV=2 - [DYN2_MOUSE],1,2,0.0653,0.0914,0.0839,0.0531,0.0951,0.0887,0.1131,0.1734,0.0780,0.1581
P46718,Programmed cell death protein 2 GN=Pdcd2 PE=2 SV=2 - [PDCD2_MOUSE],1,2,0.4495,0.1026,0.0742,0.0556,0.0567,0.0468,0.0446,0.0566,0.0341,0.0793
P52483,Ubiquitin-conjugating enzyme E2 E3 GN=Ube2e3 PE=1 SV=2 - [UB2E3_MOUSE],1,2,0.3319,0.0330,0.0551,0.0202,0.0292,0.0362,0.0539,0.1637,0.1236,0.1532
P54285,Voltage-dependent L-type calcium channel subunit beta-3 GN=Cacnb3 PE=2 SV=2 - [CACB3_MOUSE],1,2,0.0512,0.2263,0.2122,0.0754,0.0929,0.0775,0.0614,0.1149,0.0228,0.0653
P54761;P54754,Ephrin type-B receptor 4 GN=Ephb4 PE=1 SV=2 - [EPHB4_MOUSE]|Ephrin type-B receptor 3 GN=Ephb3 PE=1 SV=2 - [EPHB3_MOUSE],1,2,0.0000,0.2018,0.2171,0.1223,0.1909,0.1071,0.0119,0.0750,0.0000,0.0739
P60764,Ras-related C3 botulinum toxin substrate 3 GN=Rac3 PE=1 SV=1 - [RAC3_MOUSE],1,2,0.0843,0.1305,0.1401,0.0701,0.1469,0.0838,0.0508,0.1067,0.0890,0.0977
P61080,Ubiquitin-conjugating enzyme E2 D1 GN=Ube2d1 PE=2 SV=1 - [UB2D1_MOUSE],1,2,0.3462,0.1111,0.0979,0.0713,0.0858,0.0539,0.0340,0.0832,0.0434,0.0731
P61205,ADP-ribosylation factor 3 GN=Arf3 PE=2 SV=2 - [ARF3_MOUSE],1,2,0.3333,0.1481,0.1497,0.0946,0.1143,0.0802,0.0325,0.0298,0.0067,0.0109
P62311,U6 snRNA-associated Sm-like protein LSm3 GN=Lsm3 PE=3 SV=2 - [LSM3_MOUSE],1,2,0.3261,0.0522,0.0664,0.0353,0.0500,0.0554,0.0487,0.0885,0.1591,0.1183
P62492,Ras-related protein Rab-11A GN=Rab11a PE=1 SV=3 - [RB11A_MOUSE],1,2,0.0418,0.0798,0.1114,0.1088,0.3838,0.0697,0.0000,0.1070,0.0282,0.0695
P62631,Elongation factor 1-alpha 2 GN=Eef1a2 PE=1 SV=1 - [EF1A2_MOUSE],1,2,0.2084,0.0487,0.0636,0.0292,0.0509,0.0573,0.1128,0.1615,0.0868,0.1808
P62748,Hippocalcin-like protein 1 GN=Hpcal1 PE=2 SV=2 - [HPCL1_MOUSE],1,2,0.1547,0.1711,0.1263,0.0938,0.1168,0.1369,0.0697,0.0404,0.0428,0.0475
P62821;Q9D1G1,Ras-related protein Rab-1A GN=Rab1A PE=1 SV=3 - [RAB1A_MOUSE]|Ras-related protein Rab-1B GN=Rab1b PE=1 SV=1 - [RAB1B_MOUSE],1,2,0.0000,0.1021,0.2200,0.0907,0.1835,0.2204,0.0802,0.0446,0.0164,0.0421
P63024,Vesicle-associated membrane protein 3 GN=Vamp3 PE=1 SV=1 - [VAMP3_MOUSE],1,2,0.0371,0.0820,0.1555,0.0973,0.3569,0.1082,0.0532,0.0386,0.0257,0.0454
P63044,Vesicle-associated membrane protein 2 GN=Vamp2 PE=1 SV=2 - [VAMP2_MOUSE],1,2,0.0656,0.0749,0.1071,0.0903,0.2426,0.1187,0.0930,0.0797,0.0456,0.0823
P63094,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short GN=Gnas PE=1 SV=1 - [GNAS2_MOUSE],1,2,0.0395,0.2951,0.1892,0.0962,0.1119,0.0986,0.0551,0.0444,0.0384,0.0315
P68369,Tubulin alpha-1B chain GN=Tuba1b PE=1 SV=2 - [TBA1B_MOUSE]|Tubulin alpha-1A chain GN=Tuba1a PE=1 SV=1 - [TBA1A_MOUSE],1,2,0.4226,0.2502,0.1025,0.0485,0.1106,0.0108,0.0101,0.0000,0.0000,0.0447
P70406,Mitochondrial uncoupling protein 2 GN=Ucp2 PE=1 SV=1 - [UCP2_MOUSE],1,2,0.0245,0.0108,0.0351,0.0140,0.0300,0.1089,0.2903,0.2162,0.0918,0.1784
P80206,Homeobox protein OTX2 GN=Otx2 PE=1 SV=1 - [OTX2_MOUSE],1,2,0.0198,0.0068,0.0093,0.0025,0.0122,0.0415,0.0840,0.3221,0.2173,0.2845
P97348,Rho-related GTP-binding protein RhoD GN=Rhod PE=2 SV=1 - [RHOD_MOUSE],1,2,0.0730,0.2339,0.1793,0.1141,0.1394,0.0828,0.0387,0.0681,0.0276,0.0431
P97379-2,Isoform B of Ras GTPase-activating protein-binding protein 2 GN=G3bp2 - [G3BP2_MOUSE],1,2,0.0987,0.0716,0.0675,0.0387,0.1037,0.1110,0.0922,0.1661,0.0943,0.1563
P97447-2,Isoform 2 of Four and a half LIM domains protein 1 GN=Fhl1 - [FHL1_MOUSE],1,2,0.0520,0.0042,0.0149,0.0139,0.0320,0.0503,0.1282,0.2749,0.1795,0.2503
P97772-2,Isoform 2 of Metabotropic glutamate receptor 1 GN=Grm1 - [GRM1_MOUSE],1,2,0.0519,0.0141,0.0138,0.0101,0.0244,0.0464,0.0858,0.0999,0.5157,0.1378
Q3TA59,JmjC domain-containing protein 8 GN=Jmjd8 PE=2 SV=2 - [JMJD8_MOUSE],1,2,0.0555,0.0980,0.0781,0.0546,0.1200,0.2300,0.1217,0.0990,0.0440,0.0991
Q3U898,Myeloma-overexpressed gene 2 protein homolog GN=Myeov2 PE=3 SV=1 - [MYOV2_MOUSE],1,2,0.4392,0.1456,0.1047,0.0201,0.0592,0.0399,0.0337,0.0464,0.0330,0.0781
Q3UDP0,WD repeat-containing protein 41 GN=Wdr41 PE=2 SV=1 - [WDR41_MOUSE],1,2,0.1335,0.1086,0.1069,0.0930,0.1296,0.0716,0.0772,0.1298,0.0308,0.1190
Q3UGS4,Protein FAM195B GN=Fam195b PE=1 SV=1 - [F195B_MOUSE],1,2,0.2383,0.1000,0.0660,0.0399,0.0488,0.0765,0.0662,0.1220,0.0738,0.1683
Q3UIK4-2,Isoform 2 of Methyltransferase-like protein 14 GN=Mettl14 - [MET14_MOUSE],1,2,0.3800,0.0413,0.0500,0.0122,0.0159,0.0409,0.0625,0.0986,0.1868,0.1118
Q3UJV1,Coiled-coil domain-containing protein 61 GN=Ccdc61 PE=2 SV=1 - [CCD61_MOUSE],1,2,0.0631,0.0429,0.0384,0.0220,0.0573,0.1028,0.1223,0.2132,0.1260,0.2119
Q3UTD9,Small integral membrane protein 15 GN=Smim15 PE=2 SV=1 - [SIM15_MOUSE],1,2,0.0254,0.0498,0.0700,0.0452,0.1007,0.2566,0.1722,0.1364,0.0325,0.1112
Q4KMM3-4,Isoform 4 of Oxidation resistance protein 1 GN=Oxr1 - [OXR1_MOUSE],1,2,0.0707,0.0414,0.0362,0.0195,0.0516,0.0609,0.1478,0.2320,0.1238,0.2161
Q5RKS2,Small integral membrane protein 7 GN=Smim7 PE=3 SV=1 - [SMIM7_MOUSE],1,2,0.0043,0.0499,0.0678,0.1248,0.1692,0.2454,0.1193,0.1266,0.0063,0.0864
Q60715-2,Isoform 2 of Prolyl 4-hydroxylase subunit alpha-1 GN=P4ha1 - [P4HA1_MOUSE],1,2,0.0229,0.0475,0.0599,0.0497,0.0979,0.3308,0.2078,0.0885,0.0296,0.0654
Q60980,Krueppel-like factor 3 GN=Klf3 PE=1 SV=1 - [KLF3_MOUSE],1,2,0.0666,0.0306,0.0748,0.0367,0.0941,0.0993,0.0983,0.1600,0.1661,0.1734
Q60996-3,Isoform 3 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform GN=Ppp2r5c - [2A5G_MOUSE],1,2,0.1377,0.1303,0.0836,0.0423,0.0946,0.1056,0.0819,0.1040,0.1082,0.1118
Q60I26-3,Isoform 3 of ALS2 C-terminal-like protein GN=Als2cl - [AL2CL_MOUSE],1,2,0.0108,0.4221,0.0980,0.0873,0.1215,0.0153,0.0717,0.1232,0.0502,0.0000
Q61127,NGFI-A-binding protein 2 GN=Nab2 PE=1 SV=2 - [NAB2_MOUSE],1,2,0.0516,0.0165,0.0000,0.0000,0.0000,0.0202,0.0902,0.4350,0.0625,0.3239
Q61176,Arginase-1 GN=Arg1 PE=1 SV=1 - [ARGI1_MOUSE],1,2,0.1238,0.1379,0.0921,0.0573,0.1251,0.2078,0.0993,0.0698,0.0420,0.0448
Q61469-2,Isoform 2 of Lipid phosphate phosphohydrolase 1 GN=Ppap2a - [LPP1_MOUSE],1,2,0.0749,0.1383,0.1145,0.1163,0.1999,0.1208,0.0544,0.0806,0.0324,0.0679
Q61481,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A GN=Pde1a PE=2 SV=2 - [PDE1A_MOUSE]",1,2,0.0530,0.1063,0.1104,0.0622,0.0961,0.1682,0.1233,0.1149,0.0588,0.1067
Q62313;Q62314,Trans-Golgi network integral membrane protein 1 GN=Tgoln1 PE=1 SV=1 - [TGON1_MOUSE]|Trans-Golgi network integral membrane protein 2 GN=Tgoln2 PE=1 SV=1 - [TGON2_MOUSE],1,2,0.0000,0.0221,0.2000,0.1726,0.2343,0.2489,0.0961,0.0156,0.0000,0.0105
Q64522,Histone H2A type 2-B GN=Hist2h2ab PE=1 SV=3 - [H2A2B_MOUSE],1,2,0.0196,0.0083,0.0198,0.0137,0.0387,0.0562,0.1304,0.2836,0.1802,0.2495
Q68FL4,Putative adenosylhomocysteinase 3 GN=Ahcyl2 PE=1 SV=1 - [SAHH3_MOUSE],1,2,0.1170,0.1379,0.1135,0.0810,0.1215,0.1328,0.0944,0.0854,0.0401,0.0764
Q6NXH9,"Isoform 2 of Glial fibrillary acidic protein GN=Gfap - [GFAP_MOUSE]|Keratin, type II cytoskeletal 73 GN=Krt73 PE=1 SV=1 - [K2C73_MOUSE]|Keratin, type II cytoskeletal 7 GN=Krt7 PE=1 SV=1 - [K2C7_MOUSE]",1,2,0.0777,0.0995,0.0781,0.0875,0.2073,0.0583,0.0858,0.1338,0.0754,0.0965
Q6P4S6,Serine/threonine-protein kinase SIK3 GN=Sik3 PE=1 SV=3 - [SIK3_MOUSE],1,2,0.3148,0.1244,0.1231,0.0266,0.0572,0.0280,0.0494,0.1405,0.0625,0.0735
Q6P6J9,Thioredoxin domain-containing protein 15 GN=Txndc15 PE=1 SV=1 - [TXD15_MOUSE],1,2,0.1280,0.1024,0.0635,0.0824,0.0909,0.1424,0.0760,0.1407,0.0389,0.1349
Q6PEM8,Proton-coupled folate transporter GN=Slc46a1 PE=1 SV=1 - [PCFT_MOUSE],1,2,0.0797,0.1478,0.1331,0.1104,0.1901,0.0971,0.0511,0.0601,0.0641,0.0666
Q6PHZ5,Putative RNA-binding protein 15B GN=Rbm15b PE=1 SV=2 - [RB15B_MOUSE],1,2,0.1609,0.0483,0.0485,0.0276,0.0538,0.0622,0.0705,0.1210,0.2617,0.1455
Q80TF6,StAR-related lipid transfer protein 9 GN=Stard9 PE=2 SV=2 - [STAR9_MOUSE],1,2,0.0389,0.1232,0.1143,0.0648,0.1252,0.1269,0.0962,0.1294,0.0753,0.1060
Q80U63-2,Isoform 2 of Mitofusin-2 GN=Mfn2 - [MFN2_MOUSE],1,2,0.0369,0.0141,0.0088,0.0077,0.0265,0.0923,0.3379,0.2059,0.0375,0.2324
Q80U72-4,Isoform 3 of Protein scribble homolog GN=Scrib - [SCRIB_MOUSE]|Isoform 4 of Protein scribble homolog GN=Scrib - [SCRIB_MOUSE],1,2,0.0219,0.2933,0.1841,0.0854,0.1209,0.1067,0.0575,0.0535,0.0420,0.0347
Q80UN1,BTB/POZ domain-containing protein KCTD9 GN=Kctd9 PE=2 SV=1 - [KCTD9_MOUSE],1,2,0.2007,0.1384,0.0677,0.0256,0.0990,0.0612,0.0911,0.0680,0.1321,0.1161
Q80YE7-2,Isoform 2 of Death-associated protein kinase 1 GN=Dapk1 - [DAPK1_MOUSE],1,2,0.1570,0.1478,0.0863,0.0670,0.0921,0.0788,0.0734,0.0910,0.1046,0.1020
Q810A3,Tetratricopeptide repeat protein 9C GN=Ttc9c PE=2 SV=1 - [TTC9C_MOUSE],1,2,0.2811,0.1300,0.1049,0.0503,0.0743,0.0794,0.0742,0.0726,0.0563,0.0768
Q8BFY7-2,Isoform 2 of Protein FAM64A GN=Fam64a - [FA64A_MOUSE],1,2,0.1055,0.0849,0.1016,0.0520,0.1041,0.1522,0.1510,0.0884,0.0714,0.0888
